lambda		value

Calibration:
lambda:	800
Abs:	0.0003

Data:
#
900		1.0064
899.5		0.9931
899		0.9923
898.5		1.0089
898		0.9775
897.5		1.0095
897		0.9787
896.5		0.9862
896		0.9753
895.5		1.0041
895		0.9755
894.5		0.9509
894		0.9874
893.5		1.0113
893		1.0086
892.5		1.0052
892		1.0289
891.5		0.9909
891		0.9949
890.5		1.0041
890		0.9983
889.5		0.9931
889		0.9861
888.5		0.9693
888		0.9861
887.5		0.9734
887		1.0095
886.5		0.9624
886		0.9695
885.5		0.9836
885		0.9738
884.5		0.9843
884		0.9755
883.5		0.9746
883		0.9939
882.5		0.983
882		0.9826
881.5		0.9905
881		0.9978
880.5		0.9794
880		0.9829
879.5		0.9882
879		0.9792
878.5		0.9752
878		0.9897
877.5		1.0012
877		0.9878
876.5		0.9951
876		0.9821
875.5		0.9805
875		0.9843
874.5		0.9664
874		0.9949
873.5		0.9786
873		0.9824
872.5		0.9859
872		0.9808
871.5		0.9732
871		0.9892
870.5		0.989
870		0.9844
869.5		0.9797
869		0.9898
868.5		0.9983
868		0.9813
867.5		0.9825
867		0.9847
866.5		0.9873
866		0.984
865.5		0.9921
865		0.9846
864.5		0.9905
864		0.9856
863.5		0.9929
863		0.9956
862.5		0.9887
862		0.9964
861.5		0.9885
861		0.9984
860.5		0.9918
860		0.9935
859.5		1.0003
859		0.9973
858.5		0.9983
858		0.9987
857.5		1.0026
857		0.9934
856.5		0.9929
856		1.0004
855.5		1.0029
855		1.0002
854.5		1.0007
854		1.0008
853.5		0.9998
853		1.0017
852.5		0.9999
852		1.0049
851.5		1.0047
851		1.001
850.5		1.0051
850		1.0049
849.5		1.0059
849		1.0072
848.5		1.0036
848		1.0052
847.5		1.0013
847		1.0059
846.5		1.0089
846		1.0065
845.5		1.0063
845		1.0041
844.5		1.004
844		1.0048
843.5		1.0028
843		1.005
842.5		1.0055
842		1.0064
841.5		1.0042
841		1.0058
840.5		1.0055
840		1.0023
839.5		1.0067
839		1.009
838.5		1.0034
838		1.01
837.5		1.004
837		1.0046
836.5		1.0054
836		1.0046
835.5		1.0064
835		1.0049
834.5		1.0036
834		1.0048
833.5		1.0033
833		1.0035
832.5		1.0038
832		1.0022
831.5		1.0035
831		1.004
830.5		1.0011
830		1.0041
829.5		0.9994
829		1.003
828.5		1.0033
828		1.0018
827.5		1.0019
827		1.0008
826.5		1.0012
826		0.9987
825.5		1.0009
825		1.0007
824.5		1.0019
824		1.0003
823.5		1.0011
823		0.9989
822.5		1.0007
822		1.0011
821.5		0.9991
821		1.0006
820.5		1.0014
820		0.9975
819.5		0.9996
819		1.0007
818.5		0.9985
818		0.9987
817.5		0.9975
817		0.9989
816.5		1.0008
816		1
815.5		0.9981
815		1
814.5		0.9972
814		0.9977
813.5		0.9991
813		0.9987
812.5		1.0001
812		0.9998
811.5		0.999
811		1.0008
810.5		0.9995
810		0.999
809.5		1.001
809		0.9987
808.5		1.0026
808		1.0005
807.5		1.0002
807		0.9987
806.5		0.9985
806		1.0011
805.5		0.9999
805		0.9995
804.5		1.0011
804		0.9997
803.5		1.0013
803		1.0009
802.5		0.9988
802		0.9987
801.5		1.0005
801		1.0013
800.5		1.0003
800		0.9996
799.5		1.0027
799		1.0027
798.5		1.0023
798		1.0017
797.5		1.0025
797		1.0022
796.5		1.0022
796		1.0022
795.5		1.0007
795		1.0026
794.5		1.0014
794		1.0024
793.5		1.0009
793		1.0014
792.5		1.0045
792		1.0024
791.5		1.0033
791		1.0025
790.5		1.0013
790		1.0036
789.5		1.0034
789		1.0031
788.5		1.0027
788		1.003
787.5		1.0037
787		1.0042
786.5		1.003
