lambda		value

Calibration:
lambda:	800
Abs:	-0.0002

Data:
#
900		0.5139
899.5		0.5383
899		0.5602
898.5		0.5378
898		0.5124
897.5		0.5133
897		0.5263
896.5		0.5336
896		0.5381
895.5		0.5332
895		0.5134
894.5		0.5391
894		0.5358
893.5		0.5486
893		0.5405
892.5		0.5386
892		0.5333
891.5		0.5313
891		0.5306
890.5		0.5398
890		0.5284
889.5		0.5514
889		0.523
888.5		0.5355
888		0.5424
887.5		0.531
887		0.5391
886.5		0.527
886		0.536
885.5		0.5308
885		0.5324
884.5		0.5422
884		0.532
883.5		0.5351
883		0.5301
882.5		0.5284
882		0.5324
881.5		0.5423
881		0.542
880.5		0.5335
880		0.5275
879.5		0.5401
879		0.5304
878.5		0.535
878		0.5351
877.5		0.5368
877		0.5399
876.5		0.537
876		0.5353
875.5		0.5272
875		0.527
874.5		0.5324
874		0.5407
873.5		0.5396
873		0.5319
872.5		0.5312
872		0.539
871.5		0.5315
871		0.5414
870.5		0.5353
870		0.5313
869.5		0.5343
869		0.5299
868.5		0.534
868		0.5302
867.5		0.5304
867		0.5357
866.5		0.5294
866		0.535
865.5		0.5371
865		0.5352
864.5		0.5288
864		0.5307
863.5		0.5272
863		0.5288
862.5		0.5272
862		0.5316
861.5		0.5298
861		0.5326
860.5		0.5306
860		0.5285
859.5		0.5341
859		0.5301
858.5		0.528
858		0.5319
857.5		0.5322
857		0.5313
856.5		0.5331
856		0.5276
855.5		0.5312
855		0.5268
854.5		0.5304
854		0.5283
853.5		0.5286
853		0.5304
852.5		0.5283
852		0.529
851.5		0.5278
851		0.5292
850.5		0.5295
850		0.5267
849.5		0.529
849		0.5295
848.5		0.5283
848		0.5269
847.5		0.527
847		0.5272
846.5		0.5258
846		0.5275
845.5		0.5274
845		0.5268
844.5		0.5272
844		0.5268
843.5		0.5276
843		0.5262
842.5		0.5283
842		0.5282
841.5		0.5296
841		0.5265
840.5		0.5293
840		0.5277
839.5		0.5283
839		0.5289
838.5		0.5285
838		0.5275
837.5		0.5277
837		0.5271
836.5		0.5282
836		0.5284
835.5		0.5272
835		0.5281
834.5		0.5258
834		0.5283
833.5		0.5274
833		0.5274
832.5		0.5285
832		0.5292
831.5		0.5273
831		0.5288
830.5		0.5283
830		0.5282
829.5		0.5278
829		0.5293
828.5		0.5288
828		0.5291
827.5		0.5286
827		0.5281
826.5		0.5272
826		0.5285
825.5		0.5289
825		0.5286
824.5		0.5293
824		0.5283
823.5		0.5291
823		0.5277
822.5		0.5278
822		0.5284
821.5		0.5279
821		0.5288
820.5		0.529
820		0.5277
819.5		0.5288
819		0.5284
818.5		0.529
818		0.5277
817.5		0.5293
817		0.5291
816.5		0.5269
816		0.5286
815.5		0.5286
815		0.528
814.5		0.5282
814		0.5276
813.5		0.5285
813		0.5279
812.5		0.5281
812		0.529
811.5		0.5269
811		0.5281
810.5		0.5292
810		0.5281
809.5		0.5287
809		0.5266
808.5		0.5273
808		0.5283
807.5		0.5272
807		0.5285
806.5		0.5277
806		0.5282
805.5		0.5273
805		0.5276
804.5		0.528
804		0.5275
803.5		0.5272
803		0.5269
802.5		0.5279
802		0.5271
801.5		0.5263
801		0.5266
800.5		0.5279
800		0.5268
799.5		0.5276
799		0.5281
798.5		0.5261
798		0.5265
797.5		0.5268
797		0.5257
796.5		0.5262
796		0.5255
795.5		0.5265
795		0.5281
794.5		0.5265
794		0.5266
793.5		0.5265
793		0.5268
792.5		0.5265
792		0.5256
791.5		0.5266
791		0.5262
790.5		0.5266
790		0.5257
789.5		0.5254
789		0.5262
788.5		0.5256
788		0.5253
787.5		0.5267
787		0.5262
