lambda		value

Calibration:
lambda:	800
Abs:	-0.0002

Data:
#
900		0.766
899.5		0.776
899		0.7565
898.5		0.756
898		0.7701
897.5		0.7506
897		0.7649
896.5		0.76
896		0.77
895.5		0.7619
895		0.7457
894.5		0.7546
894		0.7453
893.5		0.772
893		0.7444
892.5		0.7518
892		0.7476
891.5		0.7338
891		0.7499
890.5		0.7673
890		0.7536
889.5		0.7449
889		0.7511
888.5		0.757
888		0.7383
887.5		0.7712
887		0.7487
886.5		0.7446
886		0.7638
885.5		0.7425
885		0.756
884.5		0.7456
884		0.7601
883.5		0.7536
883		0.7407
882.5		0.7468
882		0.7657
881.5		0.7487
881		0.7583
880.5		0.7601
880		0.7569
879.5		0.7525
879		0.7521
878.5		0.7616
878		0.7593
877.5		0.758
877		0.7541
876.5		0.7559
876		0.7578
875.5		0.7515
875		0.7486
874.5		0.7525
874		0.7541
873.5		0.7542
873		0.7485
872.5		0.7476
872		0.7579
871.5		0.7473
871		0.7603
870.5		0.7524
870		0.7545
869.5		0.7573
869		0.7602
868.5		0.7515
868		0.7546
867.5		0.7453
867		0.7624
866.5		0.7556
866		0.7579
865.5		0.7511
865		0.7545
864.5		0.748
864		0.7565
863.5		0.7504
863		0.7583
862.5		0.7579
862		0.7584
861.5		0.762
861		0.7583
860.5		0.7589
860		0.7603
859.5		0.7663
859		0.7579
858.5		0.7556
858		0.7573
857.5		0.7606
857		0.7615
856.5		0.7591
856		0.7593
855.5		0.765
855		0.766
854.5		0.7603
854		0.7617
853.5		0.7634
853		0.7597
852.5		0.7643
852		0.7689
851.5		0.7617
851		0.7636
850.5		0.7674
850		0.7661
849.5		0.7634
849		0.7638
848.5		0.7669
848		0.7668
847.5		0.768
847		0.7684
846.5		0.7665
846		0.765
845.5		0.7679
845		0.7676
844.5		0.769
844		0.7683
843.5		0.7647
843		0.7685
842.5		0.7675
842		0.7673
841.5		0.7669
841		0.7691
840.5		0.7654
840		0.7684
839.5		0.7669
839		0.7675
838.5		0.768
838		0.7674
837.5		0.7687
837		0.7694
836.5		0.7684
836		0.7674
835.5		0.7664
835		0.7667
834.5		0.7692
834		0.7665
833.5		0.7664
833		0.7676
832.5		0.7669
832		0.7675
831.5		0.7657
831		0.7667
830.5		0.7672
830		0.7665
829.5		0.7669
829		0.7656
828.5		0.7668
828		0.7671
827.5		0.7669
827		0.7672
826.5		0.7683
826		0.7669
825.5		0.7674
825		0.7654
824.5		0.7669
824		0.7669
823.5		0.7664
823		0.767
822.5		0.7681
822		0.7672
821.5		0.7687
821		0.7662
820.5		0.765
820		0.767
819.5		0.7667
819		0.7668
818.5		0.7673
818		0.7672
817.5		0.767
817		0.7675
816.5		0.7677
816		0.7669
815.5		0.7649
815		0.7664
814.5		0.7679
814		0.7695
813.5		0.7696
813		0.7683
812.5		0.7691
812		0.7677
811.5		0.7673
811		0.769
810.5		0.767
810		0.7682
809.5		0.7691
809		0.7696
808.5		0.7684
808		0.7697
807.5		0.7684
807		0.7678
806.5		0.7684
806		0.7682
805.5		0.7697
805		0.7671
804.5		0.7703
804		0.7703
803.5		0.7692
803		0.7699
802.5		0.769
802		0.7707
801.5		0.7697
801		0.77
800.5		0.7716
800		0.7714
799.5		0.7712
799		0.7703
798.5		0.7704
798		0.7691
797.5		0.7713
797		0.7694
796.5		0.7721
796		0.7719
795.5		0.7718
795		0.7719
794.5		0.7716
794		0.7711
793.5		0.7709
793		0.7726
792.5		0.7735
792		0.7726
791.5		0.7714
791		0.7725
790.5		0.773
790		0.772
789.5		0.7729
789		0.7718
788.5		0.7723
788		0.7728
787.5		0.7734
787		0.7743
786.5		0.7716
