lambda		value

Calibration:
lambda:	800
Abs:	-0.0001

Data:
#
900		0.9703
899.5		0.9267
899		0.9106
898.5		0.9498
898		0.9309
897.5		0.931
897		0.9447
896.5		0.9262
896		0.9088
895.5		0.9361
895		0.9551
894.5		0.9157
894		0.938
893.5		0.9354
893		0.9152
892.5		0.9387
892		0.931
891.5		0.9139
891		0.9097
890.5		0.9318
890		0.9258
889.5		0.9502
889		0.9372
888.5		0.9321
888		0.9298
887.5		0.9327
887		0.9256
886.5		0.928
886		0.9478
885.5		0.9367
885		0.9178
884.5		0.9373
884		0.933
883.5		0.9373
883		0.9226
882.5		0.9218
882		0.9465
881.5		0.936
881		0.939
880.5		0.9259
880		0.9344
879.5		0.9412
879		0.9346
878.5		0.9341
878		0.9431
877.5		0.9362
877		0.9405
876.5		0.9395
876		0.929
875.5		0.9363
875		0.9455
874.5		0.9406
874		0.9393
873.5		0.9355
873		0.9407
872.5		0.9302
872		0.938
871.5		0.9375
871		0.9409
870.5		0.9381
870		0.9368
869.5		0.9374
869		0.9366
868.5		0.937
868		0.9414
867.5		0.9454
867		0.9391
866.5		0.9499
866		0.9353
865.5		0.9393
865		0.9428
864.5		0.9396
864		0.9409
863.5		0.9443
863		0.9448
862.5		0.9468
862		0.9413
861.5		0.9423
861		0.9468
860.5		0.9422
860		0.9416
859.5		0.9435
859		0.9495
858.5		0.9449
858		0.9502
857.5		0.9487
857		0.945
856.5		0.9464
856		0.9461
855.5		0.9476
855		0.9457
854.5		0.9517
854		0.9493
853.5		0.9501
853		0.9508
852.5		0.9502
852		0.9552
851.5		0.9507
851		0.9514
850.5		0.9548
850		0.9527
849.5		0.953
849		0.9521
848.5		0.9533
848		0.9539
847.5		0.9551
847		0.9544
846.5		0.9535
846		0.9489
845.5		0.9538
845		0.9559
844.5		0.9518
844		0.9542
843.5		0.9543
843		0.9519
842.5		0.9544
842		0.9531
841.5		0.9525
841		0.952
840.5		0.9529
840		0.9536
839.5		0.9541
839		0.9528
838.5		0.9517
838		0.9523
837.5		0.9511
837		0.9529
836.5		0.9536
836		0.9522
835.5		0.9511
835		0.9498
834.5		0.9508
834		0.9486
833.5		0.9505
833		0.95
832.5		0.9503
832		0.9511
831.5		0.9494
831		0.9482
830.5		0.9497
830		0.9488
829.5		0.9487
829		0.9489
828.5		0.9487
828		0.9471
827.5		0.9502
827		0.9469
826.5		0.9468
826		0.9485
825.5		0.9486
825		0.9482
824.5		0.95
824		0.95
823.5		0.9468
823		0.9473
822.5		0.9506
822		0.9477
821.5		0.9469
821		0.9479
820.5		0.9469
820		0.9475
819.5		0.9462
819		0.949
818.5		0.9485
818		0.9478
817.5		0.9464
817		0.948
816.5		0.9454
816		0.9467
815.5		0.9481
815		0.9485
814.5		0.9501
814		0.9489
813.5		0.9462
813		0.949
812.5		0.9454
812		0.9468
811.5		0.9487
811		0.9484
810.5		0.9488
810		0.9476
809.5		0.949
809		0.9479
808.5		0.9483
808		0.9467
807.5		0.9467
807		0.9473
806.5		0.948
806		0.9489
805.5		0.9476
805		0.9489
804.5		0.9493
804		0.9469
803.5		0.9484
803		0.9487
802.5		0.9484
802		0.9513
801.5		0.9477
801		0.9492
800.5		0.9494
800		0.9491
799.5		0.9474
799		0.9479
798.5		0.9492
798		0.9484
797.5		0.9493
797		0.9499
796.5		0.9498
796		0.9499
795.5		0.9476
795		0.9496
794.5		0.9504
794		0.9494
793.5		0.9496
793		0.9501
792.5		0.9503
792		0.9494
791.5		0.9522
791		0.949
790.5		0.9506
790		0.9507
789.5		0.9505
789		0.9511
788.5		0.9502
788		0.9511
787.5		0.9506
787		0.9521
