lambda		value

Calibration:
lambda:	800
Abs:	0.0001

Data:
#
900		0.0905
899.5		0.0898
899		0.083
898.5		0.0871
898		0.0872
897.5		0.0918
897		0.0902
896.5		0.0887
896		0.0878
895.5		0.0876
895		0.0889
894.5		0.0917
894		0.0876
893.5		0.0912
893		0.0959
892.5		0.091
892		0.0884
891.5		0.0921
891		0.0889
890.5		0.0842
890		0.0906
889.5		0.0927
889		0.0892
888.5		0.089
888		0.091
887.5		0.0924
887		0.0872
886.5		0.0917
886		0.0956
885.5		0.0903
885		0.0867
884.5		0.0875
884		0.0899
883.5		0.0871
883		0.093
882.5		0.0905
882		0.089
881.5		0.094
881		0.0937
880.5		0.091
880		0.0889
879.5		0.0893
879		0.0925
878.5		0.0909
878		0.0925
877.5		0.0901
877		0.0902
876.5		0.092
876		0.0911
875.5		0.0895
875		0.0913
874.5		0.0926
874		0.0912
873.5		0.0915
873		0.0925
872.5		0.0937
872		0.0935
871.5		0.0916
871		0.0925
870.5		0.0931
870		0.0921
869.5		0.093
869		0.0943
868.5		0.0905
868		0.093
867.5		0.0925
867		0.0915
866.5		0.0928
866		0.0923
865.5		0.0907
865		0.0921
864.5		0.0918
864		0.0932
863.5		0.0926
863		0.092
862.5		0.0919
862		0.0919
861.5		0.0928
861		0.0916
860.5		0.0941
860		0.0913
859.5		0.093
859		0.0929
858.5		0.0923
858		0.0932
857.5		0.0938
857		0.0928
856.5		0.093
856		0.0945
855.5		0.0927
855		0.0931
854.5		0.0932
854		0.0937
853.5		0.0928
853		0.0948
852.5		0.0939
852		0.0936
851.5		0.0936
851		0.0928
850.5		0.0938
850		0.0934
849.5		0.094
849		0.0936
848.5		0.0938
848		0.0932
847.5		0.0936
847		0.0938
846.5		0.0933
846		0.0935
845.5		0.0937
845		0.0936
844.5		0.0941
844		0.0937
843.5		0.0936
843		0.0942
842.5		0.0936
842		0.0936
841.5		0.0935
841		0.0932
840.5		0.0938
840		0.0938
839.5		0.0937
839		0.0934
838.5		0.0939
838		0.0935
837.5		0.0932
837		0.093
836.5		0.0934
836		0.0933
835.5		0.0933
835		0.093
834.5		0.0932
834		0.0937
833.5		0.0932
833		0.0931
832.5		0.0933
832		0.093
831.5		0.0927
831		0.0926
830.5		0.0924
830		0.0926
829.5		0.093
829		0.0927
828.5		0.0928
828		0.0925
827.5		0.0922
827		0.0923
826.5		0.0921
826		0.0921
825.5		0.0923
825		0.092
824.5		0.0922
824		0.0915
823.5		0.0921
823		0.0919
822.5		0.0917
822		0.0917
821.5		0.0918
821		0.0914
820.5		0.0916
820		0.0914
819.5		0.0914
819		0.0911
818.5		0.091
818		0.0916
817.5		0.0916
817		0.0914
816.5		0.0912
816		0.0912
815.5		0.0912
815		0.0909
814.5		0.0912
814		0.0909
813.5		0.091
813		0.0909
812.5		0.0906
812		0.0909
811.5		0.0908
811		0.0904
810.5		0.0905
810		0.0906
809.5		0.0905
809		0.0908
808.5		0.0903
808		0.0903
807.5		0.0904
807		0.0903
806.5		0.0904
806		0.0899
805.5		0.0898
805		0.0901
804.5		0.09
804		0.0897
803.5		0.0898
803		0.0898
802.5		0.0897
802		0.0897
801.5		0.0898
801		0.0895
800.5		0.0896
800		0.0891
799.5		0.0891
799		0.0892
798.5		0.0891
798		0.0889
797.5		0.0889
797		0.0891
796.5		0.0888
796		0.0886
795.5		0.0887
795		0.0885
794.5		0.089
794		0.0887
793.5		0.0888
793		0.0883
792.5		0.0881
792		0.0883
791.5		0.0884
791		0.0881
790.5		0.0884
790		0.088
789.5		0.0879
789		0.0881
788.5		0.0877
788		0.0875
787.5		0.0877
787		0.0872
786.5		0.0873
