lambda		value

Calibration:
lambda:	800
Abs:	0

Data:
#
900		0.2652
899.5		0.252
899		0.2581
898.5		0.2462
898		0.2614
897.5		0.2518
897		0.241
896.5		0.2476
896		0.2596
895.5		0.2568
895		0.2555
894.5		0.2545
894		0.2609
893.5		0.2553
893		0.2622
892.5		0.2602
892		0.2529
891.5		0.261
891		0.2635
890.5		0.2588
890		0.2579
889.5		0.2541
889		0.2609
888.5		0.255
888		0.258
887.5		0.2621
887		0.259
886.5		0.2638
886		0.2616
885.5		0.2529
885		0.2579
884.5		0.2591
884		0.2571
883.5		0.2584
883		0.2597
882.5		0.2607
882		0.2597
881.5		0.2653
881		0.2625
880.5		0.2659
880		0.2588
879.5		0.264
879		0.2609
878.5		0.2641
878		0.2652
877.5		0.267
877		0.2595
876.5		0.262
876		0.2664
875.5		0.2656
875		0.2662
874.5		0.2666
874		0.268
873.5		0.2702
873		0.2675
872.5		0.2673
872		0.2718
871.5		0.2663
871		0.268
870.5		0.2675
870		0.2702
869.5		0.2705
869		0.2728
868.5		0.2718
868		0.2697
867.5		0.2739
867		0.2709
866.5		0.2707
866		0.2744
865.5		0.2716
865		0.2723
864.5		0.2719
864		0.2737
863.5		0.2736
863		0.2752
862.5		0.2751
862		0.2775
861.5		0.2755
861		0.2778
860.5		0.2774
860		0.2776
859.5		0.2782
859		0.2772
858.5		0.2775
858		0.2789
857.5		0.2785
857		0.2788
856.5		0.2812
856		0.2823
855.5		0.2814
855		0.2825
854.5		0.2833
854		0.2824
853.5		0.2838
853		0.2834
852.5		0.2826
852		0.2836
851.5		0.2838
851		0.2854
850.5		0.2845
850		0.285
849.5		0.2867
849		0.2863
848.5		0.2854
848		0.2873
847.5		0.2879
847		0.2878
846.5		0.2876
846		0.2877
845.5		0.2889
845		0.2888
844.5		0.2875
844		0.2895
843.5		0.2899
843		0.2896
842.5		0.2896
842		0.2904
841.5		0.2907
841		0.2911
840.5		0.2912
840		0.292
839.5		0.2909
839		0.2919
838.5		0.2923
838		0.2916
837.5		0.2925
837		0.2937
836.5		0.2934
836		0.2939
835.5		0.2933
835		0.294
834.5		0.2942
834		0.2945
833.5		0.2944
833		0.2954
832.5		0.2952
832		0.2951
831.5		0.2956
831		0.296
830.5		0.296
830		0.2965
829.5		0.2967
829		0.2977
828.5		0.2972
828		0.2978
827.5		0.2977
827		0.2986
826.5		0.2985
826		0.298
825.5		0.2985
825		0.2995
824.5		0.3004
824		0.3002
823.5		0.3001
823		0.3009
822.5		0.3002
822		0.301
821.5		0.3009
821		0.3011
820.5		0.3023
820		0.3021
819.5		0.3035
819		0.3022
818.5		0.303
818		0.3031
817.5		0.3039
817		0.3045
816.5		0.3038
816		0.305
815.5		0.3052
815		0.3058
814.5		0.3053
814		0.3059
813.5		0.3067
813		0.3071
812.5		0.3074
812		0.3072
811.5		0.3073
811		0.308
810.5		0.3084
810		0.3089
809.5		0.3089
809		0.3097
808.5		0.3106
808		0.3102
807.5		0.3096
807		0.311
806.5		0.3119
806		0.3121
805.5		0.3124
805		0.3122
804.5		0.3137
804		0.3137
803.5		0.3136
803		0.3146
802.5		0.3145
802		0.3148
801.5		0.3155
801		0.3162
800.5		0.3157
800		0.3154
799.5		0.3164
799		0.3165
798.5		0.3185
798		0.3181
797.5		0.3189
797		0.3194
796.5		0.3192
796		0.3192
795.5		0.3202
795		0.3195
794.5		0.3203
794		0.3205
793.5		0.3207
793		0.3216
792.5		0.3224
792		0.3219
791.5		0.3225
791		0.3229
790.5		0.3235
790		0.3242
789.5		0.3243
789		0.3243
788.5		0.3246
788		0.325
787.5		0.3255
787		0.3265
786.5		0.3264
