lambda		value

Calibration:
lambda:	900
Abs:	-0.0128

Data:
#
900		1.0128
899.5		1.0297
899		1.0041
898.5		1.014
898		1.0243
897.5		1.0273
897		0.9853
896.5		0.9901
896		1.0157
895.5		1.0311
895		1.0259
894.5		1.0084
894		1.0298
893.5		0.9861
893		0.9686
892.5		1.0352
892		1.0022
891.5		1.0159
891		1.0014
890.5		1.0118
890		1.0298
889.5		1.0081
889		1.0095
888.5		0.9828
888		1.0091
887.5		1.0069
887		1.0259
886.5		1.0021
886		0.9939
885.5		1.0194
885		1.0299
884.5		1.0001
884		0.987
883.5		1.014
883		0.9853
882.5		1.0031
882		1.0138
881.5		1.0242
881		1.0169
880.5		1.0064
880		0.9984
879.5		0.9986
879		0.9991
878.5		1.0095
878		1.0093
877.5		1.0139
877		0.9944
876.5		1.0056
876		1.0053
875.5		0.9983
875		0.9981
874.5		1.0006
874		1.0054
873.5		0.9987
873		1.0035
872.5		1.0028
872		1.0175
871.5		1.01
871		1.0015
870.5		1.0194
870		1.0124
869.5		1.0152
869		1.013
868.5		1.0116
868		1.0151
867.5		1.0135
867		1.0142
866.5		1.0112
866		1.0171
865.5		1.0136
865		1.0068
864.5		1.0234
864		1.0156
863.5		1.0144
863		1.0187
862.5		1.0143
862		1.0226
861.5		1.0167
861		1.0081
860.5		1.0102
860		1.0215
859.5		1.0169
859		1.0214
858.5		1.0198
858		1.0207
857.5		1.0148
857		1.0201
856.5		1.0223
856		1.0221
855.5		1.0232
855		1.022
854.5		1.0235
854		1.0218
853.5		1.0212
853		1.0216
852.5		1.0279
852		1.0257
851.5		1.0201
851		1.0256
850.5		1.0238
850		1.023
849.5		1.0259
849		1.025
848.5		1.029
848		1.0261
847.5		1.0257
847		1.0262
846.5		1.0275
846		1.0255
845.5		1.0235
845		1.025
844.5		1.0259
844		1.0254
843.5		1.0299
843		1.0257
842.5		1.0245
842		1.0271
841.5		1.0234
841		1.0259
840.5		1.0242
840		1.0253
839.5		1.0262
839		1.0237
838.5		1.0253
838		1.0228
837.5		1.0239
837		1.0229
836.5		1.021
836		1.0238
835.5		1.0231
835		1.0209
834.5		1.0201
834		1.0203
833.5		1.021
833		1.0203
832.5		1.0191
832		1.0186
831.5		1.0191
831		1.0185
830.5		1.0164
830		1.0183
829.5		1.0169
829		1.0198
828.5		1.0166
828		1.0172
827.5		1.0162
827		1.0165
826.5		1.0172
826		1.0153
825.5		1.0166
825		1.0151
824.5		1.0151
824		1.0146
823.5		1.0138
823		1.015
822.5		1.0124
822		1.0156
821.5		1.0144
821		1.0145
820.5		1.0163
820		1.0148
819.5		1.0132
819		1.0128
818.5		1.0148
818		1.0123
817.5		1.0105
817		1.0134
816.5		1.014
816		1.0152
815.5		1.016
815		1.0119
814.5		1.0132
814		1.0128
813.5		1.0125
813		1.0131
812.5		1.0138
812		1.0133
811.5		1.0123
811		1.0134
810.5		1.015
810		1.0134
809.5		1.0157
809		1.0125
808.5		1.0127
808		1.0129
807.5		1.0123
807		1.0132
806.5		1.0122
806		1.0121
805.5		1.0138
805		1.0119
804.5		1.0136
804		1.014
803.5		1.0123
803		1.0143
802.5		1.0131
802		1.0152
801.5		1.0136
801		1.0112
800.5		1.0162
800		1.0131
799.5		1.0131
799		1.0152
798.5		1.0138
798		1.0138
797.5		1.0114
797		1.0139
796.5		1.0143
796		1.0151
795.5		1.0146
795		1.0133
794.5		1.0136
794		1.0145
793.5		1.0153
793		1.0131
792.5		1.0137
792		1.012
791.5		1.0156
791		1.0179
790.5		1.0145
790		1.0167
789.5		1.0136
789		1.0149
788.5		1.0133
788		1.0152
787.5		1.015
787		1.0138
