lambda		value

Calibration:
lambda:	900
Abs:	0

Data:
#
900		1.0039
899.5		0.9927
899		1.0253
898.5		1.0408
898		1.0343
897.5		0.9862
897		1
896.5		1.032
896		1.0222
895.5		1.0231
895		1.0411
894.5		1.0189
894		0.9912
893.5		1.0466
893		1.0363
892.5		1.0283
892		1.03
891.5		1.0212
891		1.0152
890.5		1.0289
890		1.0328
889.5		1.0099
889		1.0413
888.5		1.0216
888		0.9968
887.5		1.0189
887		1.0148
886.5		0.9889
886		1.0282
885.5		1.0116
885		0.9909
884.5		1.0334
884		1.0326
883.5		1.0326
883		1.0265
882.5		1.0142
882		1.0275
881.5		1.0218
881		1.0119
880.5		1.0151
880		1.0218
879.5		1.0076
879		1.0234
878.5		1.0171
878		1.0308
877.5		1.0091
877		1.0131
876.5		1.012
876		1.0219
875.5		1.0341
875		1.0186
874.5		1.0175
874		1.0261
873.5		1.0106
873		1.0198
872.5		1.0344
872		1.0275
871.5		1.0144
871		1.0255
870.5		1.0153
870		1.0186
869.5		1.0169
869		1.0223
868.5		1.0272
868		1.0185
867.5		1.013
867		1.0189
866.5		1.0193
866		1.0289
865.5		1.0227
865		1.0242
864.5		1.0297
864		1.0222
863.5		1.0258
863		1.0304
862.5		1.0251
862		1.0231
861.5		1.0333
861		1.0248
860.5		1.029
860		1.0285
859.5		1.03
859		1.0333
858.5		1.0353
858		1.0286
857.5		1.0332
857		1.0339
856.5		1.0332
856		1.0323
855.5		1.0349
855		1.0297
854.5		1.032
854		1.0343
853.5		1.032
853		1.0347
852.5		1.0326
852		1.0358
851.5		1.0388
851		1.0402
850.5		1.0365
850		1.043
849.5		1.0405
849		1.0429
848.5		1.0414
848		1.0358
847.5		1.0423
847		1.0403
846.5		1.0437
846		1.0386
845.5		1.0405
845		1.0396
844.5		1.0422
844		1.0401
843.5		1.043
843		1.0406
842.5		1.041
842		1.0374
841.5		1.0431
841		1.0413
840.5		1.0391
840		1.0395
839.5		1.0395
839		1.0435
838.5		1.0417
838		1.0418
837.5		1.041
837		1.0408
836.5		1.037
836		1.0389
835.5		1.0385
835		1.0401
834.5		1.0396
834		1.0386
833.5		1.0392
833		1.0368
832.5		1.0374
832		1.0381
831.5		1.0379
831		1.0361
830.5		1.038
830		1.0378
829.5		1.0375
829		1.0387
828.5		1.0373
828		1.0363
827.5		1.0364
827		1.037
826.5		1.0361
826		1.0356
825.5		1.0362
825		1.0359
824.5		1.0365
824		1.0366
823.5		1.0343
823		1.0363
822.5		1.037
822		1.036
821.5		1.0365
821		1.0348
820.5		1.0359
820		1.0346
819.5		1.0336
819		1.0349
818.5		1.0335
818		1.0363
817.5		1.0348
817		1.0328
816.5		1.0353
816		1.0345
815.5		1.036
815		1.035
814.5		1.0327
814		1.0351
813.5		1.0353
813		1.0334
812.5		1.0334
812		1.0331
811.5		1.0354
811		1.0346
810.5		1.0363
810		1.0365
809.5		1.0358
809		1.0345
808.5		1.038
808		1.0347
807.5		1.0342
807		1.0352
806.5		1.0365
806		1.0365
805.5		1.0355
805		1.0326
804.5		1.0354
804		1.0359
803.5		1.0375
803		1.038
802.5		1.0371
802		1.0367
801.5		1.036
801		1.0357
800.5		1.0381
800		1.0362
799.5		1.0377
799		1.0381
798.5		1.0381
798		1.036
797.5		1.0378
797		1.0364
796.5		1.0368
796		1.0381
795.5		1.037
795		1.0382
794.5		1.0378
794		1.038
793.5		1.0381
793		1.0388
792.5		1.0391
792		1.0369
791.5		1.0379
791		1.0383
790.5		1.0396
790		1.0387
789.5		1.0381
789		1.0403
788.5		1.0389
788		1.04
787.5		1.0396
787		1.0405
786.5		1.0406
786		1.0394
