lambda		value

Calibration:
lambda:	900
Abs:	0

Data:
#
900		0.8256
899.5		0.8168
899		0.7957
898.5		0.7899
898		0.7901
897.5		0.809
897		0.813
896.5		0.7976
896		0.7799
895.5		0.7857
895		0.8268
894.5		0.7805
894		0.8122
893.5		0.8007
893		0.7999
892.5		0.7921
892		0.7973
891.5		0.781
891		0.778
890.5		0.7994
890		0.7872
889.5		0.7989
889		0.8105
888.5		0.7969
888		0.7917
887.5		0.7879
887		0.8039
886.5		0.7903
886		0.7969
885.5		0.8081
885		0.7948
884.5		0.7983
884		0.7881
883.5		0.7866
883		0.7838
882.5		0.7988
882		0.809
881.5		0.7971
881		0.8121
880.5		0.7937
880		0.7977
879.5		0.7911
879		0.7926
878.5		0.8032
878		0.7991
877.5		0.7955
877		0.8059
876.5		0.7878
876		0.7935
875.5		0.7924
875		0.7953
874.5		0.7906
874		0.7989
873.5		0.7981
873		0.7959
872.5		0.8036
872		0.7983
871.5		0.7998
871		0.7946
870.5		0.805
870		0.7972
869.5		0.7928
869		0.802
868.5		0.8058
868		0.7976
867.5		0.7941
867		0.8041
866.5		0.7962
866		0.7978
865.5		0.8011
865		0.7987
864.5		0.8046
864		0.8019
863.5		0.7982
863		0.8021
862.5		0.8046
862		0.8071
861.5		0.8018
861		0.8079
860.5		0.8039
860		0.8106
859.5		0.7978
859		0.8036
858.5		0.8045
858		0.8052
857.5		0.8034
857		0.8089
856.5		0.8058
856		0.8039
855.5		0.8061
855		0.8044
854.5		0.8065
854		0.8071
853.5		0.8109
853		0.8043
852.5		0.8087
852		0.8101
851.5		0.808
851		0.8096
850.5		0.8091
850		0.8074
849.5		0.8096
849		0.8108
848.5		0.8089
848		0.8103
847.5		0.8109
847		0.8093
846.5		0.8097
846		0.8106
845.5		0.8094
845		0.8087
844.5		0.811
844		0.8106
843.5		0.8105
843		0.8119
842.5		0.8104
842		0.8102
841.5		0.8105
841		0.8099
840.5		0.8088
840		0.8113
839.5		0.8099
839		0.8094
838.5		0.8109
838		0.8076
837.5		0.8078
837		0.8092
836.5		0.809
836		0.8076
835.5		0.8101
835		0.8064
834.5		0.8077
834		0.8082
833.5		0.8075
833		0.8077
832.5		0.8063
832		0.8077
831.5		0.809
831		0.8056
830.5		0.8061
830		0.8087
829.5		0.8065
829		0.8056
828.5		0.8053
828		0.8061
827.5		0.8078
827		0.806
826.5		0.8041
826		0.8064
825.5		0.8062
825		0.8061
824.5		0.8046
824		0.8034
823.5		0.806
823		0.8067
822.5		0.8042
822		0.8061
821.5		0.804
821		0.8046
820.5		0.8054
820		0.8057
819.5		0.8047
819		0.8046
818.5		0.8053
818		0.8045
817.5		0.8042
817		0.8057
816.5		0.8046
816		0.8058
815.5		0.8041
815		0.8048
814.5		0.8054
814		0.8062
813.5		0.8048
813		0.8051
812.5		0.8055
812		0.804
811.5		0.8052
811		0.8044
810.5		0.8051
810		0.805
809.5		0.8057
809		0.8051
808.5		0.8057
808		0.8048
807.5		0.805
807		0.8059
806.5		0.8061
806		0.8053
805.5		0.8059
805		0.8059
804.5		0.8059
804		0.8066
803.5		0.8066
803		0.8051
802.5		0.8052
802		0.8067
801.5		0.8054
801		0.8046
800.5		0.8072
800		0.806
799.5		0.8067
799		0.8056
798.5		0.8062
798		0.8076
797.5		0.8068
797		0.8064
796.5		0.8066
796		0.8058
795.5		0.8072
795		0.8079
794.5		0.8075
794		0.8084
793.5		0.8072
793		0.8079
792.5		0.8063
792		0.8078
791.5		0.8076
791		0.808
790.5		0.8083
790		0.8081
789.5		0.8078
789		0.8055
788.5		0.8089
788		0.8081
787.5		0.8082
787		0.8094
786.5		0.8069
