lambda		value

Calibration:
lambda:	900
Abs:	0

Data:
#
900		0.9535
899.5		1.0146
899		0.9717
898.5		0.9543
898		0.9898
897.5		1.0107
897		1.0006
896.5		0.9968
896		0.9969
895.5		0.9859
895		1.0118
894.5		1.028
894		1.0298
893.5		1.0081
893		0.9935
892.5		0.9526
892		1.0036
891.5		0.9833
891		1.0014
890.5		1.002
890		0.9655
889.5		0.9691
889		0.9904
888.5		0.9872
888		0.9723
887.5		1.0017
887		0.9952
886.5		0.9785
886		0.9881
885.5		0.9841
885		1.0139
884.5		0.9804
884		1.0031
883.5		0.9844
883		0.9752
882.5		1.0023
882		0.9875
881.5		0.9797
881		0.9952
880.5		0.9877
880		0.9882
879.5		0.9868
879		0.9891
878.5		1.0007
878		0.9937
877.5		1.0131
877		0.9874
876.5		0.9929
876		1.0022
875.5		1.0046
875		0.987
874.5		0.9991
874		0.9937
873.5		0.9618
873		0.99
872.5		1.0027
872		0.9836
871.5		0.9894
871		0.984
870.5		0.9998
870		0.9933
869.5		0.9993
869		0.9977
868.5		1.0023
868		0.9842
867.5		0.988
867		1.0007
866.5		0.9915
866		0.9858
865.5		0.9793
865		0.987
864.5		0.9886
864		0.996
863.5		0.9896
863		0.9905
862.5		1.0004
862		1.0094
861.5		0.9992
861		1.0007
860.5		0.9945
860		0.9982
859.5		1.0005
859		0.9918
858.5		1.0078
858		1.011
857.5		1.0046
857		1.0156
856.5		1.0135
856		1.0044
855.5		1.0128
855		1.014
854.5		1.0103
854		1.0109
853.5		1.0188
853		1.0127
852.5		1.0081
852		1.0135
851.5		1.0117
851		1.0155
850.5		1.019
850		1.0084
849.5		1.017
849		1.0122
848.5		1.0211
848		1.0206
847.5		1.0219
847		1.0171
846.5		1.0156
846		1.0182
845.5		1.0139
845		1.0185
844.5		1.0252
844		1.0203
843.5		1.0225
843		1.0241
842.5		1.0219
842		1.0216
841.5		1.0232
841		1.0241
840.5		1.0265
840		1.0208
839.5		1.0272
839		1.0236
838.5		1.0239
838		1.0282
837.5		1.0285
837		1.0292
836.5		1.0255
836		1.0248
835.5		1.0262
835		1.0279
834.5		1.0284
834		1.0265
833.5		1.0264
833		1.0281
832.5		1.0308
832		1.0241
831.5		1.0303
831		1.0276
830.5		1.0289
830		1.0292
829.5		1.0296
829		1.0269
828.5		1.0281
828		1.0246
827.5		1.0281
827		1.0319
826.5		1.0299
826		1.0303
825.5		1.0287
825		1.0298
824.5		1.0314
824		1.0321
823.5		1.0334
823		1.03
822.5		1.0325
822		1.0347
821.5		1.0355
821		1.0337
820.5		1.036
820		1.0326
819.5		1.0358
819		1.0341
818.5		1.0334
818		1.0372
817.5		1.0379
817		1.0367
816.5		1.0373
816		1.038
815.5		1.0401
815		1.0388
814.5		1.0418
814		1.0411
813.5		1.0445
813		1.0445
812.5		1.0419
812		1.043
811.5		1.0467
811		1.0477
810.5		1.0441
810		1.0456
809.5		1.0469
809		1.0469
808.5		1.0482
808		1.0495
807.5		1.0473
807		1.05
806.5		1.0508
806		1.0503
805.5		1.0509
805		1.0564
804.5		1.0551
804		1.055
803.5		1.0555
803		1.0559
802.5		1.0569
802		1.0561
801.5		1.0586
801		1.0597
800.5		1.0601
800		1.0618
799.5		1.0625
799		1.0604
798.5		1.0622
798		1.0632
797.5		1.0646
797		1.0664
796.5		1.0666
796		1.067
795.5		1.0691
795		1.07
794.5		1.0714
794		1.0707
793.5		1.0751
793		1.0732
792.5		1.075
792		1.0755
791.5		1.0784
791		1.0757
790.5		1.0785
790		1.0786
789.5		1.079
789		1.0812
788.5		1.0818
788		1.0776
787.5		1.0809
787		1.0827
786.5		1.0825
