lambda		value

Calibration:
lambda:	900
Abs:	0

Data:
#
900		0.9406
899.5		1.0238
899		1.0127
898.5		1.0307
898		0.9705
897.5		1.044
897		0.9893
896.5		0.9886
896		0.9741
895.5		1.0248
895		1.0104
894.5		1.0033
894		0.9548
893.5		1.0187
893		0.9874
892.5		0.9896
892		0.989
891.5		1.0191
891		0.9959
890.5		0.9795
890		0.9937
889.5		1.0057
889		0.9859
888.5		0.9842
888		0.9989
887.5		1.0122
887		1.0207
886.5		0.9903
886		1.0064
885.5		0.9952
885		0.9697
884.5		0.9953
884		0.9877
883.5		1.0133
883		1.0066
882.5		0.9733
882		0.9812
881.5		0.9893
881		1.0068
880.5		0.9983
880		1.0015
879.5		1
879		0.9985
878.5		0.9906
878		0.9961
877.5		0.9822
877		0.9924
876.5		0.994
876		0.9868
875.5		1.0248
875		0.9998
874.5		0.9805
874		0.9976
873.5		0.986
873		1.0109
872.5		1.0075
872		0.9983
871.5		1.0036
871		1.0095
870.5		1.0125
870		1.0046
869.5		0.9973
869		1.0059
868.5		0.995
868		1.0121
867.5		0.9862
867		0.9993
866.5		1.0025
866		1.0066
865.5		1.0093
865		1.0032
864.5		1.0007
864		1.006
863.5		1.0057
863		1.02
862.5		1.0079
862		1.0155
861.5		1.0009
861		1.0029
860.5		1.017
860		0.996
859.5		1.0183
859		1.0164
858.5		1.0174
858		1.0256
857.5		1.0186
857		1.0138
856.5		1.0203
856		1.0156
855.5		1.0189
855		1.0174
854.5		1.0169
854		1.0195
853.5		1.0209
853		1.0122
852.5		1.0236
852		1.0202
851.5		1.028
851		1.023
850.5		1.0221
850		1.0281
849.5		1.0268
849		1.0256
848.5		1.026
848		1.0294
847.5		1.0258
847		1.0174
846.5		1.0279
846		1.0222
845.5		1.0331
845		1.0291
844.5		1.0281
844		1.0293
843.5		1.0296
843		1.0274
842.5		1.0306
842		1.0321
841.5		1.0307
841		1.0324
840.5		1.0335
840		1.0286
839.5		1.0329
839		1.0334
838.5		1.0307
838		1.035
837.5		1.0302
837		1.0331
836.5		1.0343
836		1.0372
835.5		1.0344
835		1.0361
834.5		1.0336
834		1.0358
833.5		1.0342
833		1.0407
832.5		1.0318
832		1.0367
831.5		1.0363
831		1.0334
830.5		1.0367
830		1.04
829.5		1.0325
829		1.0362
828.5		1.0353
828		1.0389
827.5		1.0374
827		1.0353
826.5		1.0367
826		1.0389
825.5		1.0375
825		1.0412
824.5		1.0375
824		1.0375
823.5		1.0412
823		1.0435
822.5		1.0386
822		1.0416
821.5		1.04
821		1.0433
820.5		1.0395
820		1.0431
819.5		1.0404
819		1.0433
818.5		1.0454
818		1.0436
817.5		1.0419
817		1.0481
816.5		1.0438
816		1.0492
815.5		1.0454
815		1.048
814.5		1.046
814		1.0489
813.5		1.0497
813		1.0514
812.5		1.0496
812		1.0521
811.5		1.053
811		1.0523
810.5		1.0532
810		1.0549
809.5		1.0575
809		1.0563
808.5		1.057
808		1.0574
807.5		1.0598
807		1.0602
806.5		1.0569
806		1.0575
805.5		1.0585
805		1.0591
804.5		1.0608
804		1.0587
803.5		1.0623
803		1.0649
802.5		1.0644
802		1.0643
801.5		1.0675
801		1.065
800.5		1.0689
800		1.0692
799.5		1.0705
799		1.0673
798.5		1.0727
798		1.0716
797.5		1.0732
797		1.0736
796.5		1.0721
796		1.0746
795.5		1.0757
795		1.0734
794.5		1.0793
794		1.0788
793.5		1.0813
793		1.0821
792.5		1.0811
792		1.0814
791.5		1.0844
791		1.0852
790.5		1.086
790		1.0855
789.5		1.0873
789		1.0861
788.5		1.0907
788		1.0892
787.5		1.0899
787		1.0903
786.5		1.0915
