lambda		value

Calibration:
lambda:	800
Abs:	0.0006

Data:
#
900		0.419177
899.5		0.419685
899		0.443861
898.5		0.425672
898		0.429646
897.5		0.438339
897		0.449465
896.5		0.448484
896		0.441617
895.5		0.423825
895		0.414049
894.5		0.443149
894		0.408326
893.5		0.433669
893		0.452194
892.5		0.434949
892		0.433182
891.5		0.43185
891		0.426142
890.5		0.442441
890		0.421809
889.5		0.446702
889		0.434826
888.5		0.441956
888		0.429074
887.5		0.434253
887		0.430251
886.5		0.429482
886		0.444909
885.5		0.427463
885		0.430624
884.5		0.450527
884		0.436453
883.5		0.430271
883		0.43804
882.5		0.443602
882		0.446555
881.5		0.432756
881		0.435506
880.5		0.434774
880		0.437392
879.5		0.440755
879		0.443272
878.5		0.440149
878		0.445761
877.5		0.437213
877		0.447537
876.5		0.438754
876		0.442618
875.5		0.445562
875		0.447379
874.5		0.442193
874		0.435011
873.5		0.448223
873		0.442716
872.5		0.435952
872		0.432556
871.5		0.442136
871		0.441284
870.5		0.434822
870		0.441174
869.5		0.439241
869		0.438207
868.5		0.439423
868		0.434492
867.5		0.441188
867		0.43998
866.5		0.444712
866		0.436914
865.5		0.442444
865		0.440741
864.5		0.439437
864		0.441561
863.5		0.444489
863		0.441791
862.5		0.440736
862		0.444345
861.5		0.442871
861		0.445595
860.5		0.447065
860		0.437488
859.5		0.44059
859		0.441302
858.5		0.443693
858		0.440318
857.5		0.44571
857		0.440282
856.5		0.440809
856		0.442483
855.5		0.442397
855		0.441535
854.5		0.440879
854		0.440631
853.5		0.444963
853		0.444687
852.5		0.439755
852		0.441601
851.5		0.444654
851		0.441842
850.5		0.443718
850		0.443178
849.5		0.440624
849		0.442895
848.5		0.440756
848		0.442217
847.5		0.443972
847		0.442963
846.5		0.441902
846		0.443072
845.5		0.445237
845		0.442895
844.5		0.442699
844		0.443412
843.5		0.442433
843		0.445356
842.5		0.444203
842		0.444148
841.5		0.444984
841		0.443292
840.5		0.443939
840		0.443752
839.5		0.442963
839		0.44495
838.5		0.442764
838		0.444951
837.5		0.442982
837		0.444808
836.5		0.446143
836		0.443916
835.5		0.445215
835		0.444599
834.5		0.446145
834		0.443771
833.5		0.445349
833		0.445361
832.5		0.446787
832		0.446512
831.5		0.445693
831		0.446855
830.5		0.44799
830		0.447442
829.5		0.447269
829		0.44598
828.5		0.4483
828		0.447434
827.5		0.447481
827		0.448045
826.5		0.448032
826		0.448482
825.5		0.447303
825		0.449271
824.5		0.448971
824		0.448596
823.5		0.450255
823		0.449416
822.5		0.451687
822		0.447849
821.5		0.449086
821		0.44974
820.5		0.449033
820		0.449206
819.5		0.450625
819		0.450906
818.5		0.449406
818		0.450931
817.5		0.451545
817		0.451135
816.5		0.450665
816		0.450824
815.5		0.450264
815		0.452014
814.5		0.451126
814		0.451807
813.5		0.451942
813		0.452171
812.5		0.451555
812		0.45098
811.5		0.452433
811		0.451936
810.5		0.451313
810		0.453436
809.5		0.451397
809		0.453244
808.5		0.453053
808		0.453663
807.5		0.453535
807		0.453727
806.5		0.455183
806		0.452624
805.5		0.454855
805		0.454618
804.5		0.454645
804		0.454764
803.5		0.454336
803		0.454727
802.5		0.454573
802		0.454019
801.5		0.454245
801		0.455639
800.5		0.454663
800		0.454973
799.5		0.455573
799		0.454518
798.5		0.455954
798		0.455754
797.5		0.456851
797		0.457109
796.5		0.455727
796		0.456661
795.5		0.457089
795		0.457183
794.5		0.457146
794		0.456435
793.5		0.456569
793		0.457575
792.5		0.4572
792		0.45888
791.5		0.456932
791		0.455387
790.5		0.457534
790		0.45683
789.5		0.458546
789		0.457651
788.5		0.460684
788		0.459511
