lambda		value

Calibration:
lambda:	800
Abs:	-0.0003

Data:
#
900		0.3095
899.5		0.313502
899		0.325028
898.5		0.311826
898		0.311616
897.5		0.318581
897		0.335013
896.5		0.329172
896		0.317978
895.5		0.315722
895		0.31754
894.5		0.323825
894		0.306883
893.5		0.317682
893		0.330613
892.5		0.310739
892		0.321811
891.5		0.322002
891		0.331479
890.5		0.32032
890		0.310226
889.5		0.323219
889		0.312732
888.5		0.326082
888		0.309545
887.5		0.312946
887		0.30688
886.5		0.321338
886		0.322597
885.5		0.314922
885		0.310589
884.5		0.322293
884		0.323855
883.5		0.310228
883		0.327095
882.5		0.324043
882		0.322078
881.5		0.312933
881		0.314013
880.5		0.315419
880		0.325487
879.5		0.318929
879		0.317449
878.5		0.312832
878		0.319819
877.5		0.320048
877		0.31958
876.5		0.320105
876		0.317179
875.5		0.324302
875		0.321729
874.5		0.321219
874		0.321076
873.5		0.320925
873		0.318159
872.5		0.318586
872		0.317707
871.5		0.316486
871		0.31769
870.5		0.314922
870		0.321228
869.5		0.317039
869		0.314537
868.5		0.318182
868		0.31737
867.5		0.315679
867		0.315358
866.5		0.315304
866		0.314547
865.5		0.317146
865		0.320523
864.5		0.313378
864		0.316613
863.5		0.31869
863		0.316731
862.5		0.316525
862		0.314419
861.5		0.31786
861		0.32121
860.5		0.317024
860		0.314662
859.5		0.3171
859		0.314198
858.5		0.316187
858		0.31521
857.5		0.317864
857		0.315398
856.5		0.314611
856		0.316358
855.5		0.315816
855		0.315299
854.5		0.315821
854		0.316056
853.5		0.31545
853		0.315424
852.5		0.314156
852		0.314147
851.5		0.316192
851		0.314179
850.5		0.316716
850		0.317066
849.5		0.314283
849		0.31397
848.5		0.312734
848		0.313629
847.5		0.314246
847		0.312611
846.5		0.314379
846		0.314901
845.5		0.314238
845		0.314958
844.5		0.313987
844		0.313846
843.5		0.311867
843		0.313259
842.5		0.314421
842		0.313714
841.5		0.314665
841		0.31221
840.5		0.313724
840		0.313086
839.5		0.3134
839		0.314868
838.5		0.313877
838		0.313366
837.5		0.313817
837		0.314028
836.5		0.314521
836		0.312562
835.5		0.312283
835		0.314056
834.5		0.313511
834		0.314739
833.5		0.31343
833		0.313548
832.5		0.314519
832		0.313084
831.5		0.313624
831		0.314408
830.5		0.314169
830		0.313476
829.5		0.314212
829		0.313903
828.5		0.314505
828		0.312923
827.5		0.313733
827		0.314237
826.5		0.313023
826		0.315411
825.5		0.313708
825		0.314377
824.5		0.314576
824		0.314234
823.5		0.314286
823		0.314907
822.5		0.314726
822		0.31412
821.5		0.313898
821		0.315164
820.5		0.3142
820		0.313373
819.5		0.315374
819		0.3155
818.5		0.315868
818		0.315558
817.5		0.315826
817		0.314112
816.5		0.315222
816		0.314046
815.5		0.314593
815		0.315884
814.5		0.314874
814		0.3161
813.5		0.315395
813		0.315305
812.5		0.315385
812		0.315042
811.5		0.315458
811		0.315211
810.5		0.315306
810		0.315511
809.5		0.314588
809		0.315995
808.5		0.316432
808		0.315368
807.5		0.316358
807		0.315874
806.5		0.315789
806		0.316622
805.5		0.315085
805		0.316885
804.5		0.315947
804		0.315921
803.5		0.315858
803		0.316126
802.5		0.316105
802		0.316441
801.5		0.316347
801		0.317308
800.5		0.317321
800		0.317405
799.5		0.317705
799		0.31664
798.5		0.317283
798		0.318182
797.5		0.318947
797		0.31815
796.5		0.317624
796		0.31757
795.5		0.318327
795		0.31914
794.5		0.318845
794		0.318159
793.5		0.318204
793		0.318604
792.5		0.318913
792		0.319456
791.5		0.318309
791		0.317083
790.5		0.318958
790		0.319056
789.5		0.319744
789		0.31913
788.5		0.31974
788		0.319633
