Data1:
lambda		value

Calibration:
lambda:	800
Abs:	-0.0009

Data:
#
900		0.149111
899.5		0.156167
899		0.153645
898.5		0.14434
898		0.14544
897.5		0.150133
897		0.151577
896.5		0.15247
896		0.157947
895.5		0.152027
895		0.155766
894.5		0.153985
894		0.151042
893.5		0.15669
893		0.161334
892.5		0.148485
892		0.15404
891.5		0.151938
891		0.150222
890.5		0.142057
890		0.142787
889.5		0.153228
889		0.149704
888.5		0.152174
888		0.143244
887.5		0.144667
887		0.147973
886.5		0.150924
886		0.149842
885.5		0.154686
885		0.154859
884.5		0.151837
884		0.154083
883.5		0.151228
883		0.15353
882.5		0.154506
882		0.158746
881.5		0.157609
881		0.150194
880.5		0.149869
880		0.154533
879.5		0.156732
879		0.151282
878.5		0.149103
878		0.157256
877.5		0.155536
877		0.152006
876.5		0.154922
876		0.15215
875.5		0.150492
875		0.15387
874.5		0.152975
874		0.152739
873.5		0.156817
873		0.152123
872.5		0.155259
872		0.151696
871.5		0.153337
871		0.148792
870.5		0.153296
870		0.153169
869.5		0.151346
869		0.152078
868.5		0.156094
868		0.153056
867.5		0.149406
867		0.157186
866.5		0.151852
866		0.153747
865.5		0.154184
865		0.154736
864.5		0.150514
864		0.152781
863.5		0.15446
863		0.150224
862.5		0.150684
862		0.152712
861.5		0.152315
861		0.154534
860.5		0.156814
860		0.154563
859.5		0.152782
859		0.151605
858.5		0.153632
858		0.153198
857.5		0.154498
857		0.151801
856.5		0.153846
856		0.154471
855.5		0.153907
855		0.154585
854.5		0.154257
854		0.154814
853.5		0.153023
853		0.154448
852.5		0.154081
852		0.154218
851.5		0.155968
851		0.153246
850.5		0.154013
850		0.154234
849.5		0.154681
849		0.154423
848.5		0.153816
848		0.154354
847.5		0.154909
847		0.155227
846.5		0.155225
846		0.155038
845.5		0.156235
845		0.155904
844.5		0.155766
844		0.156632
843.5		0.154171
843		0.156685
842.5		0.156179
842		0.156666
841.5		0.156052
841		0.156851
840.5		0.156621
840		0.157043
839.5		0.155621
839		0.156896
838.5		0.156549
838		0.156541
837.5		0.157359
837		0.156129
836.5		0.158406
836		0.156979
835.5		0.157187
835		0.157728
834.5		0.157555
834		0.157028
833.5		0.15801
833		0.157524
832.5		0.158208
832		0.158188
831.5		0.158308
831		0.157706
830.5		0.158136
830		0.158334
829.5		0.157559
829		0.157801
828.5		0.157706
828		0.158607
827.5		0.157769
827		0.157821
826.5		0.158109
826		0.158708
825.5		0.157109
825		0.157743
824.5		0.158441
824		0.158121
823.5		0.158946
823		0.157958
822.5		0.158568
822		0.157166
821.5		0.158551
821		0.158136
820.5		0.157853
820		0.157889
819.5		0.157942
819		0.158405
818.5		0.15779
818		0.158484
817.5		0.15897
817		0.15811
816.5		0.157916
816		0.158026
815.5		0.157302
815		0.158247
814.5		0.158442
814		0.158605
813.5		0.158652
813		0.158258
812.5		0.158347
812		0.158526
811.5		0.158384
811		0.15811
810.5		0.157958
810		0.157911
809.5		0.157848
809		0.158253
808.5		0.157521
808		0.158389
807.5		0.158384
807		0.158142
806.5		0.1582
806		0.158616
805.5		0.158646
805		0.158348
804.5		0.158179
804		0.158115
803.5		0.158284
803		0.158268
802.5		0.157358
802		0.157627
801.5		0.15738
801		0.158058
800.5		0.15747
800		0.157458
799.5		0.157858
799		0.157926
798.5		0.158047
798		0.157947
797.5		0.157526
797		0.158131
796.5		0.158168
796		0.157344
795.5		0.157921
795		0.157327
794.5		0.157679
794		0.157837
793.5		0.157512
793		0.157858
792.5		0.157863
792		0.157632
791.5		0.156966
791		0.156806
790.5		0.157637
790		0.157093
789.5		0.157779
789		0.157774
788.5		0.157127
