Data1:
lambda		value

Calibration:
lambda:	800
Abs:	-0

Data:
#
900		0.249875
899.5		0.262148
899		0.262159
898.5		0.242382
898		0.249209
897.5		0.253303
897		0.272475
896.5		0.253224
896		0.257331
895.5		0.260707
895		0.253258
894.5		0.253893
894		0.255434
893.5		0.266701
893		0.267818
892.5		0.260444
892		0.261652
891.5		0.257778
891		0.270566
890.5		0.264143
890		0.261827
889.5		0.255276
889		0.258932
888.5		0.272868
888		0.261847
887.5		0.260616
887		0.256418
886.5		0.270475
886		0.273144
885.5		0.25559
885		0.254622
884.5		0.269301
884		0.274772
883.5		0.257069
883		0.286978
882.5		0.269495
882		0.267613
881.5		0.255168
881		0.270871
880.5		0.27615
880		0.268852
879.5		0.27519
879		0.273631
878.5		0.270976
878		0.266312
877.5		0.265887
877		0.280954
876.5		0.275063
876		0.274945
875.5		0.276898
875		0.270355
874.5		0.276152
874		0.271994
873.5		0.273336
873		0.279281
872.5		0.273315
872		0.275687
871.5		0.275655
871		0.277924
870.5		0.274173
870		0.277294
869.5		0.272927
869		0.273627
868.5		0.270806
868		0.27495
867.5		0.277289
867		0.277794
866.5		0.274922
866		0.2751
865.5		0.274263
865		0.279561
864.5		0.276354
864		0.280399
863.5		0.284231
863		0.278739
862.5		0.280264
862		0.277365
861.5		0.281487
861		0.282312
860.5		0.282018
860		0.281932
859.5		0.282327
859		0.278786
858.5		0.284494
858		0.286423
857.5		0.283219
857		0.282721
856.5		0.282897
856		0.282755
855.5		0.284229
855		0.284567
854.5		0.284937
854		0.283831
853.5		0.284396
853		0.286267
852.5		0.283011
852		0.286095
851.5		0.288282
851		0.286025
850.5		0.28693
850		0.287157
849.5		0.28673
849		0.289258
848.5		0.2893
848		0.288746
847.5		0.289058
847		0.291778
846.5		0.290024
846		0.291782
845.5		0.290182
845		0.29242
844.5		0.292457
844		0.291514
843.5		0.292093
843		0.293699
842.5		0.294344
842		0.294773
841.5		0.294863
841		0.293444
840.5		0.296014
840		0.295495
839.5		0.295134
839		0.295864
838.5		0.297076
838		0.297712
837.5		0.296795
837		0.298376
836.5		0.300427
836		0.297813
835.5		0.298614
835		0.299464
834.5		0.299603
834		0.301132
833.5		0.30003
833		0.301231
832.5		0.301093
832		0.301144
831.5		0.303479
831		0.302467
830.5		0.303
830		0.303522
829.5		0.304144
829		0.303169
828.5		0.303837
828		0.304053
827.5		0.304656
827		0.305063
826.5		0.305647
826		0.305228
825.5		0.306527
825		0.306188
824.5		0.306886
824		0.30684
823.5		0.307585
823		0.308015
822.5		0.308216
822		0.308628
821.5		0.308998
821		0.309966
820.5		0.308413
820		0.310073
819.5		0.310869
819		0.311193
818.5		0.310772
818		0.311849
817.5		0.312813
817		0.312506
816.5		0.312719
816		0.311246
815.5		0.312195
815		0.313977
814.5		0.313769
814		0.313894
813.5		0.314389
813		0.3145
812.5		0.315679
812		0.315837
811.5		0.316954
811		0.316105
810.5		0.3158
810		0.317105
809.5		0.316577
809		0.317791
808.5		0.318127
808		0.318664
807.5		0.318855
807		0.319168
806.5		0.319287
806		0.320821
805.5		0.320276
805		0.319884
804.5		0.32014
804		0.320711
803.5		0.322458
803		0.322313
802.5		0.3232
802		0.322223
801.5		0.323238
801		0.324817
800.5		0.322999
800		0.3249
799.5		0.3249
799		0.324519
798.5		0.325272
798		0.326971
797.5		0.326455
797		0.326839
796.5		0.327107
796		0.327246
795.5		0.327209
795		0.328534
794.5		0.328336
794		0.328939
793.5		0.328577
793		0.3305
792.5		0.330402
792		0.330964
791.5		0.330175
791		0.329916
790.5		0.331136
790		0.331008
789.5		0.332334
789		0.332002
788.5		0.333533
788		0.332103
