lambda		value

Calibration:
lambda:	800
Abs:	0.0006

Data:
#
900		0.25523
899.5		0.261909
899		0.258885
898.5		0.255723
898		0.254403
897.5		0.241614
897		0.270276
896.5		0.268128
896		0.263872
895.5		0.246118
895		0.252914
894.5		0.261888
894		0.260604
893.5		0.26049
893		0.267986
892.5		0.244053
892		0.264643
891.5		0.257633
891		0.259897
890.5		0.255686
890		0.256077
889.5		0.263978
889		0.269532
888.5		0.268909
888		0.255977
887.5		0.258155
887		0.255187
886.5		0.257285
886		0.261579
885.5		0.25445
885		0.252903
884.5		0.261354
884		0.27042
883.5		0.257123
883		0.267291
882.5		0.266929
882		0.257774
881.5		0.265413
881		0.260865
880.5		0.263121
880		0.269117
879.5		0.263275
879		0.27329
878.5		0.267423
878		0.267075
877.5		0.265147
877		0.271133
876.5		0.267466
876		0.267346
875.5		0.269043
875		0.269098
874.5		0.274395
874		0.267319
873.5		0.273807
873		0.274096
872.5		0.270448
872		0.268579
871.5		0.269598
871		0.278599
870.5		0.270558
870		0.269851
869.5		0.268497
869		0.268688
868.5		0.271671
868		0.273217
867.5		0.270954
867		0.271764
866.5		0.273083
866		0.273072
865.5		0.275528
865		0.279025
864.5		0.269882
864		0.274578
863.5		0.275707
863		0.273433
862.5		0.277933
862		0.271087
861.5		0.277767
861		0.278459
860.5		0.277973
860		0.27565
859.5		0.277113
859		0.27667
858.5		0.279197
858		0.276663
857.5		0.278594
857		0.279412
856.5		0.278009
856		0.278758
855.5		0.27786
855		0.279877
854.5		0.279758
854		0.279238
853.5		0.282084
853		0.28098
852.5		0.279629
852		0.281126
851.5		0.281995
851		0.282143
850.5		0.283437
850		0.281185
849.5		0.28275
849		0.281618
848.5		0.28238
848		0.282695
847.5		0.283202
847		0.283457
846.5		0.283587
846		0.284048
845.5		0.2857
845		0.285474
844.5		0.287789
844		0.286547
843.5		0.284098
843		0.286166
842.5		0.286605
842		0.286363
841.5		0.288303
841		0.286406
840.5		0.287086
840		0.288454
839.5		0.287506
839		0.288218
838.5		0.288256
838		0.289763
837.5		0.288557
837		0.289239
836.5		0.291174
836		0.291258
835.5		0.289875
835		0.292395
834.5		0.292428
834		0.291675
833.5		0.29177
833		0.292172
832.5		0.293018
832		0.29396
831.5		0.294012
831		0.29379
830.5		0.294006
830		0.293649
829.5		0.294956
829		0.294702
828.5		0.295244
828		0.295665
827.5		0.295561
827		0.296968
826.5		0.297957
826		0.297624
825.5		0.296341
825		0.297983
824.5		0.298083
824		0.299331
823.5		0.29797
823		0.299111
822.5		0.29979
822		0.299132
821.5		0.29979
821		0.29966
820.5		0.299222
820		0.300769
819.5		0.30025
819		0.302072
818.5		0.300569
818		0.302423
817.5		0.302368
817		0.302591
816.5		0.302709
816		0.303245
815.5		0.302005
815		0.304248
814.5		0.303852
814		0.304774
813.5		0.304666
813		0.304383
812.5		0.30457
812		0.305222
811.5		0.306028
811		0.305992
810.5		0.305303
810		0.306792
809.5		0.306687
809		0.30827
808.5		0.308308
808		0.308046
807.5		0.307631
807		0.308654
806.5		0.309264
806		0.309295
805.5		0.309669
805		0.309657
804.5		0.310131
804		0.310307
803.5		0.311636
803		0.311613
802.5		0.311387
802		0.311333
801.5		0.311831
801		0.313083
800.5		0.31212
800		0.312487
799.5		0.314189
799		0.313929
798.5		0.314069
798		0.314569
797.5		0.315225
797		0.315037
796.5		0.315111
796		0.314859
795.5		0.316515
795		0.315626
794.5		0.316832
794		0.316747
793.5		0.316394
793		0.318191
792.5		0.3178
792		0.319042
791.5		0.317397
791		0.317467
790.5		0.319145
790		0.318046
789.5		0.319532
789		0.319716
788.5		0.320428
788		0.32022
