lambda		value

Calibration:
lambda:	800
Abs:	-0.0001

Data:
#
900		0.109722
899.5		0.113898
899		0.120977
898.5		0.107992
898		0.109166
897.5		0.112294
897		0.113545
896.5		0.115546
896		0.112097
895.5		0.105589
895		0.110574
894.5		0.111312
894		0.11369
893.5		0.115096
893		0.110193
892.5		0.109959
892		0.117064
891.5		0.118257
891		0.110785
890.5		0.105927
890		0.113198
889.5		0.117375
889		0.112694
888.5		0.112704
888		0.11033
887.5		0.114197
887		0.101096
886.5		0.114852
886		0.112957
885.5		0.11089
885		0.106598
884.5		0.114375
884		0.119918
883.5		0.111289
883		0.118071
882.5		0.116958
882		0.110811
881.5		0.109968
881		0.109274
880.5		0.116569
880		0.115588
879.5		0.116071
879		0.114694
878.5		0.11149
878		0.113721
877.5		0.109601
877		0.113817
876.5		0.109107
876		0.111761
875.5		0.114178
875		0.115115
874.5		0.111482
874		0.109432
873.5		0.112509
873		0.11267
872.5		0.110224
872		0.110702
871.5		0.113139
871		0.112797
870.5		0.111685
870		0.113568
869.5		0.109759
869		0.1131
868.5		0.110855
868		0.109171
867.5		0.111844
867		0.110168
866.5		0.110098
866		0.108754
865.5		0.109934
865		0.112296
864.5		0.108967
864		0.110712
863.5		0.112742
863		0.110769
862.5		0.112354
862		0.111529
861.5		0.111189
861		0.110843
860.5		0.111913
860		0.110659
859.5		0.110967
859		0.111464
858.5		0.110648
858		0.111938
857.5		0.111399
857		0.110913
856.5		0.111067
856		0.109702
855.5		0.110671
855		0.1111
854.5		0.110836
854		0.110032
853.5		0.111486
853		0.110252
852.5		0.110257
852		0.110793
851.5		0.110416
851		0.110113
850.5		0.109814
850		0.11
849.5		0.10929
849		0.109684
848.5		0.10935
848		0.110157
847.5		0.109707
847		0.110343
846.5		0.109808
846		0.109827
845.5		0.109451
845		0.109091
844.5		0.109586
844		0.108949
843.5		0.109254
843		0.109016
842.5		0.109441
842		0.109062
841.5		0.108967
841		0.10929
840.5		0.109375
840		0.108663
839.5		0.108863
839		0.10933
838.5		0.109059
838		0.108833
837.5		0.108814
837		0.108823
836.5		0.109127
836		0.108231
835.5		0.108504
835		0.108245
834.5		0.108232
834		0.10821
833.5		0.107837
833		0.108012
832.5		0.108041
832		0.108691
831.5		0.107842
831		0.108006
830.5		0.108232
830		0.10763
829.5		0.108178
829		0.107271
828.5		0.107613
828		0.107449
827.5		0.107556
827		0.107225
826.5		0.106851
826		0.107453
825.5		0.107015
825		0.106975
824.5		0.106975
824		0.106929
823.5		0.107014
823		0.106088
822.5		0.107064
822		0.106423
821.5		0.106351
821		0.106241
820.5		0.10605
820		0.106009
819.5		0.106179
819		0.106221
818.5		0.10541
818		0.105974
817.5		0.105564
817		0.105758
816.5		0.105395
816		0.104969
815.5		0.104786
815		0.105016
814.5		0.104779
814		0.105021
813.5		0.105353
813		0.10469
812.5		0.104716
812		0.104369
811.5		0.104473
811		0.104158
810.5		0.103992
810		0.103858
809.5		0.103421
809		0.103852
808.5		0.103831
808		0.10361
807.5		0.103573
807		0.103379
806.5		0.103483
806		0.103093
805.5		0.103018
805		0.102913
804.5		0.102638
804		0.102298
803.5		0.102772
803		0.102567
802.5		0.10229
802		0.102175
801.5		0.101939
801		0.102184
800.5		0.102173
800		0.10179
799.5		0.10199
799		0.101377
798.5		0.101819
798		0.101419
797.5		0.101262
797		0.101109
796.5		0.100669
796		0.100289
795.5		0.100739
795		0.10097
794.5		0.10034
794		0.10025
793.5		0.100369
793		0.09999
792.5		0.10023
792		0.1001
791.5		0.0997407
791		0.0994129
790.5		0.0994508
790		0.0991332
789.5		0.0990406
789		0.0991117
788.5		0.0989703
