lambda		value

Calibration:
lambda:	800
Abs:	0.0001

Data:
#
900		0.278711
899.5		0.290703
899		0.267232
898.5		0.281175
898		0.289289
897.5		0.278474
897		0.308816
896.5		0.289999
896		0.278603
895.5		0.279792
895		0.279352
894.5		0.288183
894		0.286347
893.5		0.293453
893		0.298618
892.5		0.28317
892		0.282406
891.5		0.282038
891		0.291338
890.5		0.289305
890		0.283002
889.5		0.281737
889		0.288267
888.5		0.303115
888		0.279948
887.5		0.289625
887		0.283895
886.5		0.294165
886		0.294586
885.5		0.286623
885		0.289269
884.5		0.297193
884		0.306531
883.5		0.293565
883		0.294414
882.5		0.294171
882		0.287727
881.5		0.287141
881		0.295008
880.5		0.293798
880		0.29192
879.5		0.296022
879		0.296785
878.5		0.293586
878		0.297159
877.5		0.298891
877		0.295964
876.5		0.303305
876		0.299667
875.5		0.295401
875		0.302467
874.5		0.301398
874		0.296614
873.5		0.298427
873		0.299101
872.5		0.298909
872		0.294932
871.5		0.294843
871		0.295963
870.5		0.294077
870		0.296737
869.5		0.296208
869		0.297359
868.5		0.298277
868		0.298333
867.5		0.297111
867		0.297103
866.5		0.298297
866		0.300329
865.5		0.298181
865		0.302536
864.5		0.297169
864		0.300279
863.5		0.30014
863		0.296867
862.5		0.300669
862		0.300476
861.5		0.298854
861		0.304151
860.5		0.303711
860		0.299415
859.5		0.301783
859		0.301527
858.5		0.303596
858		0.301141
857.5		0.302915
857		0.303406
856.5		0.304033
856		0.302706
855.5		0.301881
855		0.302934
854.5		0.302088
854		0.303391
853.5		0.304563
853		0.303649
852.5		0.302355
852		0.302914
851.5		0.304598
851		0.303437
850.5		0.304473
850		0.304516
849.5		0.303644
849		0.30421
848.5		0.302422
848		0.303288
847.5		0.30558
847		0.304245
846.5		0.303953
846		0.305048
845.5		0.307433
845		0.305792
844.5		0.30789
844		0.306165
843.5		0.304613
843		0.305679
842.5		0.306338
842		0.307131
841.5		0.306573
841		0.306211
840.5		0.308408
840		0.30659
839.5		0.307404
839		0.307175
838.5		0.307776
838		0.307746
837.5		0.308004
837		0.30821
836.5		0.309387
836		0.308035
835.5		0.309338
835		0.309814
834.5		0.311153
834		0.309999
833.5		0.308692
833		0.310198
832.5		0.310369
832		0.310623
831.5		0.310071
831		0.310852
830.5		0.310407
830		0.311113
829.5		0.31075
829		0.310848
828.5		0.312238
828		0.310757
827.5		0.312562
827		0.311871
826.5		0.311753
826		0.312244
825.5		0.312338
825		0.312706
824.5		0.313105
824		0.313162
823.5		0.313812
823		0.312937
822.5		0.314351
822		0.313448
821.5		0.313823
821		0.313393
820.5		0.313827
820		0.313299
819.5		0.3142
819		0.315126
818.5		0.313399
818		0.315184
817.5		0.315853
817		0.315037
816.5		0.314648
816		0.315569
815.5		0.314519
815		0.316011
814.5		0.3148
814		0.315226
813.5		0.315921
813		0.316032
812.5		0.31621
812		0.316568
811.5		0.317085
811		0.316737
810.5		0.31663
810		0.317137
809.5		0.315511
809		0.317622
808.5		0.316258
808		0.317995
807.5		0.317286
807		0.3178
806.5		0.317718
806		0.31825
805.5		0.31731
805		0.318114
804.5		0.317573
804		0.317646
803.5		0.318687
803		0.31815
802.5		0.318832
802		0.317964
801.5		0.318872
801		0.319639
800.5		0.317946
800		0.319132
799.5		0.319032
799		0.318663
798.5		0.319208
798		0.319808
797.5		0.320477
797		0.319876
796.5		0.319349
796		0.319194
795.5		0.319553
795		0.320368
794.5		0.320172
794		0.319485
793.5		0.319828
793		0.320632
792.5		0.32074
792		0.321185
791.5		0.320032
791		0.319797
790.5		0.320583
790		0.319482
789.5		0.321072
789		0.321254
788.5		0.321668
788		0.321357
