lambda		value

Calibration:
lambda:	800
Abs:	-0.0007

Data:
#
900		-0.022
899.5		-0.0326
899		-0.0128
898.5		-0.0383
898		-0.0174
897.5		-0.0292
897		-0.056
896.5		-0.0199
896		-0.0535
895.5		-0.0183
895		-0.0306
894.5		-0.0172
894		-0.0088
893.5		-0.0266
893		-0.0006
892.5		-0.0263
892		-0.0367
891.5		-0.0311
891		-0.015
890.5		-0.0282
890		-0.0138
889.5		-0.0069
889		-0.0154
888.5		-0.0259
888		-0.0119
887.5		-0.0346
887		-0.0085
886.5		-0.026
886		-0.0088
885.5		-0.0039
885		-0.0151
884.5		-0.023
884		0.0023
883.5		-0.0129
883		-0.0152
882.5		-0.0212
882		-0.008
881.5		-0.0193
881		-0.0003
880.5		-0.0156
880		-0.0064
879.5		-0.0091
879		-0.008
878.5		-0.0299
878		-0.0177
877.5		-0.0182
877		-0.0221
876.5		0.0027
876		-0.0014
875.5		-0.015
875		-0.0006
874.5		-0.0095
874		-0.0005
873.5		0.0089
873		0.0045
872.5		-0.0094
872		0.0075
871.5		-0.004
871		-0.0065
870.5		0.0044
870		0.0014
869.5		0.0034
869		0.0095
868.5		0.0022
868		0.0105
867.5		0.0009
867		0.0041
866.5		0.0099
866		0.0037
865.5		0.0035
865		0.016
864.5		0.0179
864		0.0132
863.5		0.0088
863		0.0147
862.5		0.0136
862		0.0173
861.5		0.0173
861		0.012
860.5		0.0234
860		0.0227
859.5		0.0159
859		0.0177
858.5		0.024
858		0.018
857.5		0.0228
857		0.0239
856.5		0.0249
856		0.0303
855.5		0.0216
855		0.0279
854.5		0.0293
854		0.0333
853.5		0.0321
853		0.0274
852.5		0.0282
852		0.035
851.5		0.0354
851		0.034
850.5		0.033
850		0.0366
849.5		0.0361
849		0.0391
848.5		0.0439
848		0.0409
847.5		0.0352
847		0.0392
846.5		0.0404
846		0.0418
845.5		0.0467
845		0.0462
844.5		0.0418
844		0.0479
843.5		0.0453
843		0.0504
842.5		0.049
842		0.051
841.5		0.0498
841		0.0487
840.5		0.0515
840		0.055
839.5		0.052
839		0.0543
838.5		0.054
838		0.0534
837.5		0.053
837		0.0561
836.5		0.0574
836		0.0559
835.5		0.0578
835		0.0599
834.5		0.058
834		0.0599
833.5		0.0609
833		0.0596
832.5		0.0615
832		0.0634
831.5		0.0635
831		0.0626
830.5		0.0637
830		0.0647
829.5		0.0668
829		0.0696
828.5		0.0672
828		0.0677
827.5		0.0678
827		0.0694
826.5		0.0692
826		0.0705
825.5		0.0705
825		0.0716
824.5		0.0731
824		0.0733
823.5		0.0742
823		0.0741
822.5		0.0746
822		0.0749
821.5		0.0752
821		0.0785
820.5		0.0786
820		0.0786
819.5		0.0792
819		0.0798
818.5		0.0807
818		0.0818
817.5		0.0842
817		0.0826
816.5		0.0833
816		0.084
815.5		0.086
815		0.0858
814.5		0.0867
814		0.0866
813.5		0.0875
813		0.0889
812.5		0.0907
812		0.0908
811.5		0.0906
811		0.0909
810.5		0.0924
810		0.0932
809.5		0.094
809		0.0947
808.5		0.095
808		0.0966
807.5		0.0974
807		0.0979
806.5		0.0988
806		0.1005
805.5		0.1001
805		0.1011
804.5		0.103
804		0.1024
803.5		0.1047
803		0.1057
802.5		0.105
802		0.106
801.5		0.1063
801		0.1089
800.5		0.1083
800		0.1093
799.5		0.1105
799		0.1124
798.5		0.1125
798		0.1106
797.5		0.1142
797		0.1141
796.5		0.1152
796		0.1158
795.5		0.1173
795		0.1176
794.5		0.1194
794		0.1193
793.5		0.1201
793		0.1201
792.5		0.1221
792		0.1231
791.5		0.1235
791		0.1236
790.5		0.1252
790		0.1268
789.5		0.1279
