lambda		value

Calibration:
lambda:	800
Abs:	0

Data:
#
900		0.0435131
899.5		0.0381664
899		0.0389506
898.5		0.0420621
898		0.0389636
897.5		0.0334254
897		0.0462868
896.5		0.0433982
896		0.0366048
895.5		0.0426326
895		0.0371248
894.5		0.0435045
894		0.0374742
893.5		0.0406989
893		0.0416536
892.5		0.0416789
892		0.0393287
891.5		0.0421819
891		0.0411818
890.5		0.0416542
890		0.0413101
889.5		0.0392965
889		0.0429546
888.5		0.043003
888		0.0445783
887.5		0.0477963
887		0.0414692
886.5		0.0410516
886		0.0411909
885.5		0.042532
885		0.0403226
884.5		0.0417427
884		0.0419961
883.5		0.0417624
883		0.043921
882.5		0.0459596
882		0.0447687
881.5		0.0416378
881		0.0424387
880.5		0.0404712
880		0.0440475
879.5		0.0411974
879		0.0454361
878.5		0.0464673
878		0.0436659
877.5		0.0435651
877		0.0450423
876.5		0.0454408
876		0.0435396
875.5		0.04527
875		0.0450761
874.5		0.0459747
874		0.0430313
873.5		0.0438312
873		0.0441236
872.5		0.0427402
872		0.0448029
871.5		0.0443374
871		0.0458316
870.5		0.0430289
870		0.0439308
869.5		0.0429099
869		0.0449045
868.5		0.0449675
868		0.0443114
867.5		0.0440824
867		0.0441514
866.5		0.0447851
866		0.0443227
865.5		0.0457771
865		0.0453859
864.5		0.045432
864		0.0454863
863.5		0.0451413
863		0.0448488
862.5		0.0453456
862		0.0463596
861.5		0.0459346
861		0.0471357
860.5		0.0447297
860		0.0455177
859.5		0.0453278
859		0.0456213
858.5		0.0462899
858		0.0457523
857.5		0.0470201
857		0.0467726
856.5		0.0458779
856		0.046779
855.5		0.046926
855		0.0463872
854.5		0.0468131
854		0.0473877
853.5		0.0471183
853		0.0470005
852.5		0.0473985
852		0.0470077
851.5		0.0473684
851		0.0477037
850.5		0.0478876
850		0.0488167
849.5		0.0477883
849		0.0484238
848.5		0.0476425
848		0.0482725
847.5		0.048094
847		0.0482677
846.5		0.0480087
846		0.0485974
845.5		0.0485946
845		0.0485226
844.5		0.0485782
844		0.0486022
843.5		0.0484854
843		0.0490816
842.5		0.0489421
842		0.0487179
841.5		0.0493913
841		0.0494668
840.5		0.0494511
840		0.0494961
839.5		0.0495509
839		0.0497724
838.5		0.0498913
838		0.0500149
837.5		0.0499604
837		0.050208
836.5		0.0504018
836		0.0504601
835.5		0.050495
835		0.0508037
834.5		0.0508441
834		0.0505361
833.5		0.0509971
833		0.0507347
832.5		0.0512922
832		0.0515167
831.5		0.0508946
831		0.0515218
830.5		0.0519286
830		0.051532
829.5		0.0517035
829		0.0516539
828.5		0.0521176
828		0.0517877
827.5		0.0520387
827		0.0526211
826.5		0.052186
826		0.0523848
825.5		0.0524165
825		0.052994
824.5		0.0527944
824		0.0530205
823.5		0.052863
823		0.0527997
822.5		0.0532373
822		0.0533666
821.5		0.0530311
821		0.0531256
820.5		0.0532297
820		0.0536089
819.5		0.0536946
819		0.0537161
818.5		0.0538085
818		0.0540432
817.5		0.0540405
817		0.0541837
816.5		0.0542512
816		0.0544856
815.5		0.0543424
815		0.0548658
814.5		0.0548945
814		0.0547164
813.5		0.0552331
813		0.0551
812.5		0.0553612
812		0.0555889
811.5		0.055044
811		0.0553834
810.5		0.0553947
810		0.0556833
809.5		0.0554558
809		0.0561337
808.5		0.0559224
808		0.0564113
807.5		0.0565452
807		0.0564944
806.5		0.0568512
806		0.0565566
805.5		0.0567603
805		0.0568682
804.5		0.0568716
804		0.0571486
803.5		0.0572458
803		0.0573312
802.5		0.0578
802		0.0572797
801.5		0.0576712
801		0.05791
800.5		0.0578208
800		0.0584
799.5		0.0582
799		0.058577
