lambda		value

Calibration:
lambda:	800
Abs:	0

Data:
#
900		0.526
899.5		0.5148
899		0.5251
898.5		0.5244
898		0.5094
897.5		0.5346
897		0.5086
896.5		0.5386
896		0.5298
895.5		0.5232
895		0.5213
894.5		0.5246
894		0.5124
893.5		0.5228
893		0.5063
892.5		0.5105
892		0.5218
891.5		0.5165
891		0.5314
890.5		0.5241
890		0.5287
889.5		0.5427
889		0.5239
888.5		0.5362
888		0.5192
887.5		0.5267
887		0.5034
886.5		0.5292
886		0.5312
885.5		0.5289
885		0.5302
884.5		0.5198
884		0.5198
883.5		0.5224
883		0.5263
882.5		0.516
882		0.5198
881.5		0.5237
881		0.5213
880.5		0.5242
880		0.526
879.5		0.5171
879		0.5288
878.5		0.5272
878		0.5301
877.5		0.527
877		0.531
876.5		0.5172
876		0.5295
875.5		0.526
875		0.5279
874.5		0.5305
874		0.5257
873.5		0.5211
873		0.5281
872.5		0.5222
872		0.5208
871.5		0.5214
871		0.519
870.5		0.5221
870		0.5246
869.5		0.5278
869		0.5261
868.5		0.5218
868		0.5248
867.5		0.5211
867		0.524
866.5		0.5258
866		0.5242
865.5		0.5234
865		0.5229
864.5		0.517
864		0.5209
863.5		0.5205
863		0.5231
862.5		0.5177
862		0.5191
861.5		0.5176
861		0.5208
860.5		0.5209
860		0.5192
859.5		0.5212
859		0.5219
858.5		0.521
858		0.5223
857.5		0.5187
857		0.521
856.5		0.5161
856		0.5236
855.5		0.5243
855		0.5191
854.5		0.5169
854		0.52
853.5		0.5216
853		0.5181
852.5		0.5176
852		0.5165
851.5		0.5192
851		0.5187
850.5		0.5186
850		0.5169
849.5		0.5192
849		0.5197
848.5		0.5167
848		0.518
847.5		0.518
847		0.5172
846.5		0.5177
846		0.5192
845.5		0.5193
845		0.5189
844.5		0.5174
844		0.5168
843.5		0.5173
843		0.5164
842.5		0.5205
842		0.5181
841.5		0.5207
841		0.5177
840.5		0.5178
840		0.517
839.5		0.5165
839		0.5183
838.5		0.5177
838		0.5185
837.5		0.5181
837		0.5178
836.5		0.5186
836		0.518
835.5		0.5188
835		0.5184
834.5		0.5183
834		0.52
833.5		0.5186
833		0.5185
832.5		0.5183
832		0.5198
831.5		0.5196
831		0.5205
830.5		0.5211
830		0.5198
829.5		0.5188
829		0.5191
828.5		0.5194
828		0.5195
827.5		0.5181
827		0.5201
826.5		0.5202
826		0.5195
825.5		0.5198
825		0.52
824.5		0.5208
824		0.5211
823.5		0.5203
823		0.5203
822.5		0.5197
822		0.5199
821.5		0.5205
821		0.5205
820.5		0.5197
820		0.5208
819.5		0.5201
819		0.52
818.5		0.5189
818		0.5194
817.5		0.5216
817		0.5215
816.5		0.5205
816		0.5189
815.5		0.5198
815		0.5202
814.5		0.5199
814		0.5195
813.5		0.5203
813		0.5197
812.5		0.5198
812		0.5204
811.5		0.5184
811		0.5197
810.5		0.5183
810		0.52
809.5		0.5181
809		0.5184
808.5		0.5199
808		0.5182
807.5		0.5189
807		0.5177
806.5		0.5182
806		0.5193
805.5		0.5176
805		0.5177
804.5		0.5183
804		0.5177
803.5		0.5169
803		0.5175
802.5		0.5179
802		0.5178
801.5		0.5169
801		0.5165
800.5		0.5164
800		0.5163
799.5		0.5153
799		0.5169
798.5		0.5167
798		0.5158
797.5		0.5159
797		0.5164
796.5		0.5162
796		0.5159
795.5		0.5154
795		0.5147
794.5		0.5148
794		0.5153
793.5		0.5144
793		0.5137
792.5		0.5141
792		0.5143
791.5		0.5138
791		0.5145
790.5		0.5133
790		0.5135
789.5		0.5135
789		0.5127
788.5		0.5133
788		0.5117
787.5		0.5121
787		0.5132
786.5		0.5123
