lambda		value

Calibration:
lambda:	800
Abs:	0.0002

Data:
#
900		0.8479
899.5		0.8483
899		0.8201
898.5		0.8174
898		0.8347
897.5		0.8528
897		0.8369
896.5		0.8271
896		0.8562
895.5		0.8274
895		0.8445
894.5		0.8572
894		0.8492
893.5		0.8512
893		0.8527
892.5		0.8821
892		0.8391
891.5		0.8219
891		0.8222
890.5		0.8395
890		0.8604
889.5		0.8259
889		0.8523
888.5		0.8424
888		0.8387
887.5		0.8266
887		0.8248
886.5		0.8332
886		0.8623
885.5		0.8167
885		0.8367
884.5		0.8395
884		0.8465
883.5		0.8303
883		0.8314
882.5		0.8344
882		0.8344
881.5		0.8439
881		0.849
880.5		0.8314
880		0.8356
879.5		0.8385
879		0.8453
878.5		0.8388
878		0.8274
877.5		0.836
877		0.8333
876.5		0.8311
876		0.8335
875.5		0.8359
875		0.8284
874.5		0.8421
874		0.8455
873.5		0.8503
873		0.8305
872.5		0.8372
872		0.8466
871.5		0.836
871		0.831
870.5		0.8293
870		0.8378
869.5		0.8382
869		0.8377
868.5		0.8379
868		0.8396
867.5		0.839
867		0.8421
866.5		0.8375
866		0.8382
865.5		0.8405
865		0.8331
864.5		0.8414
864		0.8355
863.5		0.8409
863		0.8451
862.5		0.8462
862		0.8425
861.5		0.843
861		0.8339
860.5		0.8426
860		0.8439
859.5		0.8439
859		0.8441
858.5		0.8457
858		0.8524
857.5		0.844
857		0.8467
856.5		0.8421
856		0.8449
855.5		0.8456
855		0.8449
854.5		0.8439
854		0.8486
853.5		0.8503
853		0.843
852.5		0.8444
852		0.8466
851.5		0.8494
851		0.8462
850.5		0.8518
850		0.8473
849.5		0.8521
849		0.8516
848.5		0.8471
848		0.8542
847.5		0.8518
847		0.8512
846.5		0.8536
846		0.8531
845.5		0.852
845		0.8521
844.5		0.855
844		0.8561
843.5		0.8524
843		0.8558
842.5		0.8557
842		0.8536
841.5		0.8519
841		0.8525
840.5		0.8531
840		0.853
839.5		0.8542
839		0.8504
838.5		0.8556
838		0.8563
837.5		0.8555
837		0.8574
836.5		0.8542
836		0.8539
835.5		0.852
835		0.8554
834.5		0.8537
834		0.8528
833.5		0.853
833		0.8562
832.5		0.8524
832		0.8542
831.5		0.8502
831		0.8512
830.5		0.8533
830		0.8516
829.5		0.8531
829		0.8504
828.5		0.8494
828		0.8522
827.5		0.8507
827		0.8494
826.5		0.8518
826		0.8525
825.5		0.8506
825		0.849
824.5		0.8514
824		0.8507
823.5		0.8523
823		0.851
822.5		0.8494
822		0.8495
821.5		0.8479
821		0.8494
820.5		0.8493
820		0.8508
819.5		0.85
819		0.8483
818.5		0.8508
818		0.8502
817.5		0.8518
817		0.8463
816.5		0.8475
816		0.8495
815.5		0.8502
815		0.8491
814.5		0.8482
814		0.8492
813.5		0.8487
813		0.8507
812.5		0.8493
812		0.8481
811.5		0.8496
811		0.8505
810.5		0.8487
810		0.8514
809.5		0.8498
809		0.85
808.5		0.8504
808		0.8497
807.5		0.8504
807		0.8493
806.5		0.8508
806		0.8515
805.5		0.849
805		0.8505
804.5		0.8503
804		0.8511
803.5		0.8503
803		0.8504
802.5		0.8513
802		0.8486
801.5		0.8506
801		0.8515
800.5		0.8512
800		0.8515
799.5		0.849
799		0.8503
798.5		0.8513
798		0.8508
797.5		0.8501
797		0.8517
796.5		0.8517
796		0.8521
795.5		0.8517
795		0.8522
794.5		0.8515
794		0.8512
793.5		0.8531
793		0.8518
792.5		0.8522
792		0.8521
791.5		0.8519
791		0.8531
790.5		0.8522
790		0.8523
789.5		0.8542
789		0.8526
788.5		0.8536
788		0.8533
787.5		0.8535
787		0.852
