lambda		value

Calibration:
lambda:	800
Abs:	-0.0009

Data:
#
900		0.3207
899.5		0.3151
899		0.3146
898.5		0.3251
898		0.3153
897.5		0.3216
897		0.3325
896.5		0.3338
896		0.3068
895.5		0.3224
895		0.3262
894.5		0.3258
894		0.3168
893.5		0.3176
893		0.3089
892.5		0.3187
892		0.3092
891.5		0.3252
891		0.3251
890.5		0.3121
890		0.31
889.5		0.3195
889		0.3238
888.5		0.323
888		0.3337
887.5		0.3128
887		0.3244
886.5		0.3261
886		0.3167
885.5		0.3119
885		0.3148
884.5		0.3111
884		0.3079
883.5		0.3162
883		0.3205
882.5		0.3181
882		0.3145
881.5		0.3197
881		0.3133
880.5		0.3181
880		0.3088
879.5		0.3187
879		0.3178
878.5		0.3102
878		0.3174
877.5		0.32
877		0.3203
876.5		0.3188
876		0.3126
875.5		0.3203
875		0.3178
874.5		0.3152
874		0.3178
873.5		0.3166
873		0.3236
872.5		0.3213
872		0.3176
871.5		0.3153
871		0.3198
870.5		0.3214
870		0.3224
869.5		0.3193
869		0.3156
868.5		0.3185
868		0.3184
867.5		0.3191
867		0.3204
866.5		0.3205
866		0.3214
865.5		0.3199
865		0.3211
864.5		0.317
864		0.321
863.5		0.3214
863		0.3206
862.5		0.3213
862		0.3232
861.5		0.3238
861		0.3218
860.5		0.3198
860		0.3194
859.5		0.3183
859		0.3195
858.5		0.3226
858		0.3212
857.5		0.3221
857		0.3234
856.5		0.321
856		0.3208
855.5		0.3221
855		0.3235
854.5		0.3208
854		0.3233
853.5		0.3241
853		0.3242
852.5		0.3246
852		0.324
851.5		0.3231
851		0.3236
850.5		0.3254
850		0.3232
849.5		0.3235
849		0.3239
848.5		0.3221
848		0.3247
847.5		0.3246
847		0.3248
846.5		0.3248
846		0.3238
845.5		0.326
845		0.3244
844.5		0.327
844		0.3243
843.5		0.3255
843		0.3259
842.5		0.3249
842		0.3254
841.5		0.3255
841		0.3258
840.5		0.3255
840		0.3246
839.5		0.3249
839		0.3258
838.5		0.325
838		0.3248
837.5		0.326
837		0.3262
836.5		0.3262
836		0.3243
835.5		0.3256
835		0.3264
834.5		0.3266
834		0.3266
833.5		0.3273
833		0.3247
832.5		0.3256
832		0.3262
831.5		0.325
831		0.3258
830.5		0.3254
830		0.3247
829.5		0.3249
829		0.3257
828.5		0.3248
828		0.3256
827.5		0.3256
827		0.3255
826.5		0.3259
826		0.3251
825.5		0.3254
825		0.3244
824.5		0.3243
824		0.3256
823.5		0.3258
823		0.3254
822.5		0.3245
822		0.3252
821.5		0.3259
821		0.3255
820.5		0.3262
820		0.3256
819.5		0.3259
819		0.3257
818.5		0.3255
818		0.3255
817.5		0.3257
817		0.325
816.5		0.3263
816		0.3255
815.5		0.3267
815		0.3261
814.5		0.3262
814		0.3258
813.5		0.3265
813		0.3268
812.5		0.3265
812		0.3269
811.5		0.3269
811		0.3268
810.5		0.3262
810		0.3268
809.5		0.3268
809		0.3271
808.5		0.3277
808		0.3275
807.5		0.3282
807		0.3279
806.5		0.328
806		0.3281
805.5		0.3283
805		0.3276
804.5		0.3277
804		0.328
803.5		0.3289
803		0.3284
802.5		0.3291
802		0.3289
801.5		0.328
801		0.3295
800.5		0.3292
800		0.3297
799.5		0.3297
799		0.3297
798.5		0.3293
798		0.33
797.5		0.3298
797		0.3311
796.5		0.3303
796		0.3299
795.5		0.3299
795		0.3311
794.5		0.3308
794		0.3313
793.5		0.3311
793		0.3316
792.5		0.3327
792		0.3316
791.5		0.3319
791		0.3317
790.5		0.3329
790		0.3323
789.5		0.3323
789		0.3324
788.5		0.3334
788		0.3325
787.5		0.3326
787		0.3336
