lambda		value

Calibration:
lambda:	800
Abs:	0.0005

Data:
#
900		0.2812
899.5		0.2764
899		0.2799
898.5		0.2918
898		0.2803
897.5		0.2788
897		0.2652
896.5		0.2772
896		0.281
895.5		0.2741
895		0.2906
894.5		0.2888
894		0.275
893.5		0.2711
893		0.2815
892.5		0.2705
892		0.279
891.5		0.2712
891		0.2776
890.5		0.2779
890		0.2796
889.5		0.2855
889		0.275
888.5		0.2741
888		0.2728
887.5		0.2726
887		0.2803
886.5		0.2787
886		0.2736
885.5		0.277
885		0.2741
884.5		0.2756
884		0.2708
883.5		0.2673
883		0.2772
882.5		0.2808
882		0.2784
881.5		0.2732
881		0.273
880.5		0.275
880		0.2784
879.5		0.2695
879		0.2758
878.5		0.2686
878		0.2731
877.5		0.2752
877		0.2735
876.5		0.281
876		0.2792
875.5		0.2781
875		0.2799
874.5		0.2775
874		0.276
873.5		0.2781
873		0.2778
872.5		0.2755
872		0.2743
871.5		0.2792
871		0.2739
870.5		0.2805
870		0.2686
869.5		0.2757
869		0.2773
868.5		0.2772
868		0.2758
867.5		0.2787
867		0.2758
866.5		0.2761
866		0.2751
865.5		0.2772
865		0.279
864.5		0.2755
864		0.2761
863.5		0.2779
863		0.2779
862.5		0.2782
862		0.2773
861.5		0.2765
861		0.2772
860.5		0.2769
860		0.2787
859.5		0.2787
859		0.2785
858.5		0.2787
858		0.2791
857.5		0.2781
857		0.2796
856.5		0.2813
856		0.2776
855.5		0.2789
855		0.2814
854.5		0.28
854		0.2778
853.5		0.2806
853		0.2802
852.5		0.2801
852		0.2822
851.5		0.2793
851		0.2819
850.5		0.2818
850		0.2797
849.5		0.2805
849		0.2814
848.5		0.2812
848		0.2818
847.5		0.2813
847		0.2817
846.5		0.2824
846		0.2821
845.5		0.2812
845		0.2832
844.5		0.2818
844		0.2815
843.5		0.2821
843		0.283
842.5		0.2819
842		0.2817
841.5		0.2812
841		0.2823
840.5		0.2814
840		0.2815
839.5		0.2822
839		0.2823
838.5		0.2815
838		0.2818
837.5		0.2828
837		0.2817
836.5		0.2817
836		0.2821
835.5		0.2824
835		0.2819
834.5		0.2815
834		0.2815
833.5		0.2817
833		0.2813
832.5		0.2825
832		0.2821
831.5		0.2823
831		0.2823
830.5		0.2826
830		0.2822
829.5		0.2823
829		0.2813
828.5		0.2827
828		0.2819
827.5		0.282
827		0.2821
826.5		0.2824
826		0.282
825.5		0.2819
825		0.2822
824.5		0.2829
824		0.2818
823.5		0.2825
823		0.2823
822.5		0.2829
822		0.2822
821.5		0.2827
821		0.2828
820.5		0.2824
820		0.283
819.5		0.2832
819		0.2821
818.5		0.2827
818		0.2826
817.5		0.283
817		0.2826
816.5		0.2825
816		0.2839
815.5		0.2837
815		0.283
814.5		0.2835
814		0.2842
813.5		0.2839
813		0.2832
812.5		0.2842
812		0.2844
811.5		0.2841
811		0.2848
810.5		0.2846
810		0.2845
809.5		0.2847
809		0.2851
808.5		0.2845
808		0.2841
807.5		0.2853
807		0.2853
806.5		0.2854
806		0.2854
805.5		0.2859
805		0.2864
804.5		0.2861
804		0.2853
803.5		0.286
803		0.2859
802.5		0.2861
802		0.2869
801.5		0.2867
801		0.2865
800.5		0.2871
800		0.2874
799.5		0.2879
799		0.287
798.5		0.2875
798		0.2875
797.5		0.2877
797		0.2873
796.5		0.2883
796		0.2871
795.5		0.2887
795		0.2887
794.5		0.288
794		0.2892
793.5		0.2889
793		0.2886
792.5		0.2896
792		0.289
791.5		0.2902
791		0.2897
790.5		0.2899
790		0.2898
789.5		0.2898
789		0.2903
788.5		0.2903
788		0.2906
787.5		0.291
787		0.2907
786.5		0.2915
