lambda		value

Calibration:
lambda:	800
Abs:	-0.0007

Data:
#
900		1.02159
899.5		1.01504
899		1.02128
898.5		1.03664
898		1.00544
897.5		1.01409
897		1.08541
896.5		1.04316
896		1.05003
895.5		0.999607
895		1.01687
894.5		1.02129
894		0.991547
893.5		1.05433
893		1.04643
892.5		1.00342
892		1.04738
891.5		1.0275
891		1.02629
890.5		1.02882
890		0.996462
889.5		1.01125
889		1.01835
888.5		1.05719
888		1.01525
887.5		1.04032
887		0.995067
886.5		1.03668
886		1.02781
885.5		0.996922
885		0.997641
884.5		1.03574
884		1.0237
883.5		1.01128
883		1.04348
882.5		1.03079
882		1.00659
881.5		1.00741
881		0.995819
880.5		1.02173
880		1.02069
879.5		1.02322
879		1.02159
878.5		1.0329
878		1.02086
877.5		1.01667
877		1.04084
876.5		1.00413
876		1.00856
875.5		1.02952
875		1.01512
874.5		1.02155
874		1.00755
873.5		1.00487
873		1.00444
872.5		1.01918
872		0.987464
871.5		1.00642
871		1.01759
870.5		0.988679
870		0.9986
869.5		0.993817
869		0.989906
868.5		0.998599
868		0.986836
867.5		0.998002
867		0.994111
866.5		0.99129
866		0.991639
865.5		0.995306
865		0.989541
864.5		0.971414
864		0.983652
863.5		0.989222
863		0.979131
862.5		0.984529
862		0.972778
861.5		0.978492
861		0.992267
860.5		0.978753
860		0.968487
859.5		0.979691
859		0.973538
858.5		0.968831
858		0.973916
857.5		0.97486
857		0.968641
856.5		0.965541
856		0.960384
855.5		0.967946
855		0.962857
854.5		0.960044
854		0.957698
853.5		0.959457
853		0.963734
852.5		0.956967
852		0.952334
851.5		0.957229
851		0.953415
850.5		0.9561
850		0.953295
849.5		0.951061
849		0.948943
848.5		0.940488
848		0.946138
847.5		0.952137
847		0.947721
846.5		0.945326
846		0.94581
845.5		0.942835
845		0.941932
844.5		0.945437
844		0.939882
843.5		0.93828
843		0.937136
842.5		0.93963
842		0.935252
841.5		0.939862
841		0.938629
840.5		0.937438
840		0.932965
839.5		0.935096
839		0.935133
838.5		0.933952
838		0.936857
837.5		0.936233
837		0.934092
836.5		0.934563
836		0.933459
835.5		0.932225
835		0.932176
834.5		0.934802
834		0.932731
833.5		0.931093
833		0.933029
832.5		0.932254
832		0.930829
831.5		0.930267
831		0.931717
830.5		0.93257
830		0.929814
829.5		0.929019
829		0.923566
828.5		0.928899
828		0.927846
827.5		0.928671
827		0.9268
826.5		0.926354
826		0.926812
825.5		0.925612
825		0.9259
824.5		0.924404
824		0.924666
823.5		0.924506
823		0.923499
822.5		0.9254
822		0.922149
821.5		0.922954
821		0.919569
820.5		0.917821
820		0.919194
819.5		0.920064
819		0.919832
818.5		0.917099
818		0.918292
817.5		0.917543
817		0.916484
816.5		0.915236
816		0.913442
815.5		0.910721
815		0.914657
814.5		0.91257
814		0.913035
813.5		0.912409
813		0.910463
812.5		0.908029
812		0.908382
811.5		0.909491
811		0.908192
810.5		0.905246
810		0.905894
809.5		0.90302
809		0.905209
808.5		0.904729
808		0.902949
807.5		0.90269
807		0.901379
806.5		0.90138
806		0.89977
805.5		0.898642
805		0.89935
804.5		0.895925
804		0.896166
803.5		0.89539
803		0.892604
802.5		0.894374
802		0.891504
801.5		0.892629
801		0.892171
800.5		0.888324
800		0.890077
799.5		0.888878
799		0.885122
798.5		0.886259
798		0.888157
797.5		0.886687
797		0.884573
796.5		0.883122
796		0.881819
795.5		0.880762
795		0.881607
794.5		0.879545
794		0.878854
793.5		0.877356
793		0.879285
792.5		0.87676
792		0.877251
791.5		0.873704
791		0.871606
790.5		0.872967
790		0.869461
789.5		0.871055
789		0.868628
788.5		0.871216
788		0.867471
