lambda		value

Calibration:
lambda:	800
Abs:	-0.0007

Data:
#
900		-0.0219912
899.5		-0.0320456
899		-0.0129071
898.5		-0.0382388
898		-0.0171954
897.5		-0.0287713
897		-0.0575599
896.5		-0.0203539
896		-0.053324
895.5		-0.0179641
895		-0.0301924
894.5		-0.0172691
894		-0.0086495
893.5		-0.0273185
893		-0.000627484
892.5		-0.0257137
892		-0.0370782
891.5		-0.0309915
891		-0.0151668
890.5		-0.0282169
890		-0.013564
889.5		-0.0069298
889		-0.0154448
888.5		-0.02669
888		-0.0119394
887.5		-0.0347914
887		-0.00838678
886.5		-0.0262706
886		-0.00896587
885.5		-0.00387289
885		-0.0148403
884.5		-0.0232864
884		0.00235994
883.5		-0.0128794
883		-0.0156234
882.5		-0.021399
882		-0.00798882
881.5		-0.0190749
881		-0.000298656
880.5		-0.0156942
880		-0.00649087
879.5		-0.00922734
879		-0.00810783
878.5		-0.029987
878		-0.017755
877.5		-0.0181727
877		-0.0225051
876.5		0.00271849
876		-0.00141001
875.5		-0.0152145
875		-0.000608704
874.5		-0.00961344
874		-0.000503525
873.5		0.00902362
873		0.00454041
872.5		-0.00949111
872		0.00746194
871.5		-0.00400962
871		-0.00657163
870.5		0.00436941
870		0.0014
869.5		0.00339051
869		0.0094943
868.5		0.00220176
868		0.0104717
867.5		0.000899011
867		0.00409263
866.5		0.00991189
866		0.00368269
865.5		0.00349581
865		0.0160901
864.5		0.0177052
864		0.0131579
863.5		0.00878244
863		0.014608
862.5		0.0135742
862		0.0171253
861.5		0.0172259
861		0.0120518
860.5		0.0234516
860		0.0224953
859.5		0.0158288
859		0.0175421
858.5		0.0238237
858		0.0178518
857.5		0.0227454
857		0.0237174
856.5		0.0246559
856		0.0300089
855.5		0.0213692
855		0.0276347
854.5		0.0289783
854		0.0329899
853.5		0.03182
853		0.0271502
852.5		0.0277696
852		0.0345406
851.5		0.0351295
851		0.033557
850.5		0.032628
850		0.0362161
849.5		0.0356191
849		0.0386135
848.5		0.0431832
848		0.0403472
847.5		0.034738
847		0.0386664
846.5		0.039799
846		0.0412595
845.5		0.0461873
845		0.0456251
844.5		0.0412432
844		0.0472853
843.5		0.0445209
843		0.0497385
842.5		0.0484142
842		0.0502612
841.5		0.0492582
841		0.0480513
840.5		0.0508994
840		0.0542995
839.5		0.0512922
839		0.0536933
838.5		0.0533123
838		0.0528504
837.5		0.0523974
837		0.0555171
836.5		0.0569106
836		0.0552699
835.5		0.0571881
835		0.0593951
834.5		0.0575568
834		0.0594305
833.5		0.0603807
833		0.0591329
832.5		0.0610907
832		0.0630093
831.5		0.0630774
831		0.0622205
830.5		0.0634462
830		0.0643205
829.5		0.0665007
829		0.0690887
828.5		0.0669189
828		0.0673766
827.5		0.0675433
827		0.0691166
826.5		0.0688694
826		0.0702961
825.5		0.0702051
825		0.0714072
824.5		0.0729032
824		0.0731391
823.5		0.0740963
823		0.0739078
822.5		0.0746
822		0.0746611
821.5		0.0750499
821		0.0783355
820.5		0.0782947
820		0.0784118
819.5		0.0791367
819		0.0797681
818.5		0.0805068
818		0.0818082
817.5		0.0843603
817		0.0825175
816.5		0.0831669
816		0.0837655
815.5		0.0856915
815		0.0858429
814.5		0.0866307
814		0.0865654
813.5		0.0874913
813		0.0888378
812.5		0.0905732
812		0.0907184
811.5		0.0906091
811		0.0908092
810.5		0.0921604
810		0.0931069
809.5		0.0936908
809		0.0946905
808.5		0.0949715
808		0.0965517
807.5		0.0974097
807		0.0978217
806.5		0.0988198
806		0.10053
805.5		0.0999601
805		0.101151
804.5		0.102877
804		0.102236
803.5		0.10471
803		0.1055
802.5		0.104927
