lambda		value

Calibration:
lambda:	800
Abs:	-10

Data:
#
900		0.0312372
899.5		0.0314253
899		0.0313256
898.5		0.0300612
898		0.0311319
897.5		0.0305787
897		0.0319261
896.5		0.0316389
896		0.0315744
895.5		0.0303685
895		0.0288755
894.5		0.0302129
894		0.0314069
893.5		0.0316231
893		0.0293095
892.5		0.031083
892		0.0307032
891.5		0.0310012
891		0.0310967
890.5		0.0309673
890		0.0309076
889.5		0.0313597
889		0.0314467
888.5		0.0325077
888		0.0310113
887.5		0.0304353
887		0.0309186
886.5		0.0317135
886		0.0312363
885.5		0.0316728
885		0.0312341
884.5		0.0312096
884		0.0313836
883.5		0.0306157
883		0.0309327
882.5		0.0310737
882		0.0313253
881.5		0.0311595
881		0.0313165
880.5		0.0315829
880		0.0305681
879.5		0.0315689
879		0.0320044
878.5		0.032065
878		0.0319474
877.5		0.0316886
877		0.0316811
876.5		0.0314487
876		0.0322774
875.5		0.0324345
875		0.0313063
874.5		0.0317543
874		0.0317586
873.5		0.0322149
873		0.0323282
872.5		0.0322302
872		0.0322053
871.5		0.0318272
871		0.0322522
870.5		0.0321634
870		0.0317838
869.5		0.0323756
869		0.0323821
868.5		0.0320589
868		0.0322214
867.5		0.0322897
867		0.0323604
866.5		0.0323419
866		0.0323064
865.5		0.0323622
865		0.032364
864.5		0.0322607
864		0.0324381
863.5		0.0326416
863		0.0325107
862.5		0.032451
862		0.0326355
861.5		0.0326348
861		0.0327785
860.5		0.0329087
860		0.0327659
859.5		0.0328523
859		0.0329751
858.5		0.0326165
858		0.0325684
857.5		0.033213
857		0.0330789
856.5		0.0330723
856		0.0329367
855.5		0.0331695
855		0.0331459
854.5		0.0334048
854		0.0334826
853.5		0.03333
853		0.0335377
852.5		0.0334278
852		0.0335252
851.5		0.0333788
851		0.03358
850.5		0.0336128
850		0.0337333
849.5		0.0336608
849		0.0335183
848.5		0.0337966
848		0.0335331
847.5		0.0337613
847		0.0337235
846.5		0.0338103
846		0.0338255
845.5		0.0338498
845		0.033936
844.5		0.0339877
844		0.0340256
843.5		0.0340843
843		0.0340156
842.5		0.0340919
842		0.0340657
841.5		0.0341771
841		0.0341239
840.5		0.0343381
840		0.0341803
839.5		0.0343137
839		0.0342488
838.5		0.0342348
838		0.034297
837.5		0.0343299
837		0.0343058
836.5		0.0344934
836		0.0344665
835.5		0.0344687
835		0.0345482
834.5		0.0345235
834		0.0344956
833.5		0.0344843
833		0.0344229
832.5		0.0345448
832		0.0346827
831.5		0.034563
831		0.0346103
830.5		0.0346896
830		0.0346473
829.5		0.0346971
829		0.0348606
828.5		0.0347526
828		0.0348688
827.5		0.0348265
827		0.0347256
826.5		0.0347779
826		0.0349203
825.5		0.0349616
825		0.0349391
824.5		0.0349391
824		0.0350043
823.5		0.0350069
823		0.0349212
822.5		0.0350931
822		0.0352102
821.5		0.0351413
821		0.0351592
820.5		0.0352534
820		0.0351946
819.5		0.0353088
819		0.0352191
818.5		0.0353127
818		0.0353571
817.5		0.0353811
817		0.0354354
816.5		0.0353244
816		0.0354569
815.5		0.0355361
815		0.0354584
814.5		0.0355633
814		0.0355101
813.5		0.035611
813		0.0356545
812.5		0.0357614
812		0.0357993
811.5		0.0358299
811		0.0357627
810.5		0.0359029
810		0.0359172
809.5		0.0358552
809		0.0359565
808.5		0.036074
808		0.0360643
807.5		0.0361026
807		0.036136
806.5		0.0361939
806		0.0361669
805.5		0.0361886
805		0.0362494
804.5		0.0362984
804		0.0363788
803.5		0.0363572
803		0.0364051
802.5		0.0364727
802		0.0365112
801.5		0.0365438
801		0.036479
800.5		0.0366624
800		0.0366091
799.5		0.0366182
