lambda		value

Calibration:
lambda:	800
Abs:	0.0004

Data:
#
900		0.603322
899.5		0.582661
899		0.578639
898.5		0.565217
898		0.574001
897.5		0.570034
897		0.572752
896.5		0.575978
896		0.571343
895.5		0.572425
895		0.571612
894.5		0.586893
894		0.537932
893.5		0.584207
893		0.607162
892.5		0.557013
892		0.579953
891.5		0.560355
891		0.567466
890.5		0.572073
890		0.56076
889.5		0.578826
889		0.566667
888.5		0.588466
888		0.555946
887.5		0.577512
887		0.564204
886.5		0.567368
886		0.572317
885.5		0.578785
885		0.554506
884.5		0.581289
884		0.576271
883.5		0.554123
883		0.579646
882.5		0.557498
882		0.56503
881.5		0.554863
881		0.551724
880.5		0.561789
880		0.563001
879.5		0.592224
879		0.557021
878.5		0.564659
878		0.549508
877.5		0.564774
877		0.578754
876.5		0.568793
876		0.565739
875.5		0.564379
875		0.5714
874.5		0.560733
874		0.564069
873.5		0.56892
873		0.564444
872.5		0.565855
872		0.559661
871.5		0.560361
871		0.566296
870.5		0.558604
870		0.556412
869.5		0.562244
869		0.55908
868.5		0.560665
868		0.561502
867.5		0.5576
867		0.558409
866.5		0.561692
866		0.556397
865.5		0.552145
865		0.562569
864.5		0.553223
864		0.555034
863.5		0.560795
863		0.551333
862.5		0.561451
862		0.552274
861.5		0.554027
861		0.560125
860.5		0.563058
860		0.552183
859.5		0.555511
859		0.556206
858.5		0.552619
858		0.556791
857.5		0.555578
857		0.554143
856.5		0.551745
856		0.552548
855.5		0.553036
855		0.553892
854.5		0.553663
854		0.555886
853.5		0.551851
853		0.555401
852.5		0.549389
852		0.552954
851.5		0.554441
851		0.553799
850.5		0.553598
850		0.552947
849.5		0.547313
849		0.549679
848.5		0.549188
848		0.550958
847.5		0.5492
847		0.548929
846.5		0.548619
846		0.548814
845.5		0.551188
845		0.549679
844.5		0.548104
844		0.551438
843.5		0.546635
843		0.548409
842.5		0.551533
842		0.548836
841.5		0.548965
841		0.54761
840.5		0.548135
840		0.54744
839.5		0.546756
839		0.547713
838.5		0.547045
838		0.547211
837.5		0.546516
837		0.546265
836.5		0.547891
836		0.543799
835.5		0.546355
835		0.546953
834.5		0.547685
834		0.546385
833.5		0.545509
833		0.545193
832.5		0.545843
832		0.544921
831.5		0.545843
831		0.545771
830.5		0.544521
830		0.54369
829.5		0.545246
829		0.541489
828.5		0.543714
828		0.542692
827.5		0.543433
827		0.544965
826.5		0.543688
826		0.543322
825.5		0.542618
825		0.542532
824.5		0.54373
824		0.542503
823.5		0.543737
823		0.540689
822.5		0.542297
822		0.539766
821.5		0.542312
821		0.540759
820.5		0.539589
820		0.540597
819.5		0.540862
819		0.540478
818.5		0.539499
818		0.540248
817.5		0.540421
817		0.538954
816.5		0.53953
816		0.538485
815.5		0.537756
815		0.539764
814.5		0.539062
814		0.538977
813.5		0.538038
813		0.537415
812.5		0.537939
812		0.536807
811.5		0.536544
811		0.535654
810.5		0.535996
810		0.536354
809.5		0.535921
809		0.535536
808.5		0.536729
808		0.535221
807.5		0.535543
807		0.535561
806.5		0.535096
806		0.535149
805.5		0.53374
805		0.534455
804.5		0.534847
804		0.533933
803.5		0.534141
803		0.533673
802.5		0.534014
802		0.531197
801.5		0.532947
801		0.533728
800.5		0.531365
800		0.531913
799.5		0.532113
799		0.530498
798.5		0.531541
798		0.53194
797.5		0.531917
797		0.530788
796.5		0.530975
796		0.530252
795.5		0.529518
795		0.530206
794.5		0.530047
794		0.529271
793.5		0.529048
793		0.530812
792.5		0.528494
792		0.530396
791.5		0.528091
791		0.526683
790.5		0.529071
790		0.526615
789.5		0.528647
789		0.527462
788.5		0.527806
788		0.527104
