lambda		value

Calibration:
lambda:	800
Abs:	-0.0005

Data:
#
900		0.464907
899.5		0.49592
899		0.48936
898.5		0.47863
898		0.46753
897.5		0.493841
897		0.483088
896.5		0.483069
896		0.481607
895.5		0.449288
895		0.467581
894.5		0.477706
894		0.481715
893.5		0.48187
893		0.501569
892.5		0.473988
892		0.476152
891.5		0.475232
891		0.471481
890.5		0.47548
890		0.459005
889.5		0.467805
889		0.481192
888.5		0.483818
888		0.47426
887.5		0.473197
887		0.465607
886.5		0.471248
886		0.481708
885.5		0.460568
885		0.454831
884.5		0.48
884		0.491071
883.5		0.470841
883		0.490079
882.5		0.474003
882		0.472533
881.5		0.468664
881		0.464602
880.5		0.467096
880		0.472814
879.5		0.482657
879		0.484744
878.5		0.465944
878		0.456306
877.5		0.457705
877		0.481972
876.5		0.463343
876		0.476176
875.5		0.465152
875		0.470928
874.5		0.467814
874		0.476732
873.5		0.469932
873		0.466747
872.5		0.467077
872		0.462335
871.5		0.463806
871		0.473556
870.5		0.462753
870		0.458292
869.5		0.460702
869		0.465714
868.5		0.462663
868		0.470424
867.5		0.46718
867		0.466653
866.5		0.459844
866		0.458835
865.5		0.464136
865		0.464896
864.5		0.459834
864		0.462014
863.5		0.46087
863		0.459596
862.5		0.462514
862		0.456733
861.5		0.464695
861		0.469111
860.5		0.467322
860		0.458717
859.5		0.45823
859		0.457672
858.5		0.458201
858		0.458189
857.5		0.461485
857		0.460248
856.5		0.461127
856		0.460723
855.5		0.456165
855		0.458292
854.5		0.456821
854		0.457987
853.5		0.458457
853		0.457582
852.5		0.456121
852		0.457605
851.5		0.459256
851		0.455577
850.5		0.459751
850		0.455859
849.5		0.457515
849		0.45891
848.5		0.454349
848		0.456438
847.5		0.455236
847		0.45442
846.5		0.454429
846		0.455524
845.5		0.457117
845		0.45723
844.5		0.453568
844		0.455174
843.5		0.453357
843		0.453953
842.5		0.455776
842		0.455002
841.5		0.456569
841		0.455147
840.5		0.453539
840		0.452553
839.5		0.452545
839		0.453071
838.5		0.452849
838		0.452386
837.5		0.451498
837		0.452242
836.5		0.453193
836		0.451642
835.5		0.449381
835		0.45304
834.5		0.453102
834		0.45192
833.5		0.452301
833		0.451226
832.5		0.451366
832		0.451292
831.5		0.450969
831		0.450741
830.5		0.451285
830		0.450731
829.5		0.450264
829		0.448868
828.5		0.4499
828		0.449333
827.5		0.448784
827		0.449945
826.5		0.448537
826		0.448589
825.5		0.447211
825		0.448878
824.5		0.448978
824		0.448104
823.5		0.447863
823		0.448524
822.5		0.44859
822		0.448056
821.5		0.447395
821		0.446751
820.5		0.44605
820		0.445919
819.5		0.446832
819		0.446711
818.5		0.445121
818		0.446434
817.5		0.446438
817		0.445843
816.5		0.444278
816		0.443746
815.5		0.44409
815		0.444811
814.5		0.444733
814		0.444611
813.5		0.444144
813		0.443678
812.5		0.443468
812		0.44239
811.5		0.443633
811		0.442746
810.5		0.442538
810		0.443245
809.5		0.441731
809		0.443244
808.5		0.441756
808		0.442467
807.5		0.441532
807		0.439736
806.5		0.441877
806		0.442521
805.5		0.440671
805		0.440508
804.5		0.441159
804		0.439585
803.5		0.440632
803		0.439653
802.5		0.44018
802		0.439058
801.5		0.439461
801		0.440116
800.5		0.437027
800		0.43978
799.5		0.43958
799		0.438061
798.5		0.437775
798		0.438973
797.5		0.438827
797		0.43823
796.5		0.439054
796		0.437007
795.5		0.437126
795		0.437594
794.5		0.437163
794		0.437169
793.5		0.436422
793		0.437381
792.5		0.437319
792		0.437362
791.5		0.435793
791		0.434696
790.5		0.435572
790		0.435216
789.5		0.435764
789		0.435798
788.5		0.435795
788		0.435268
