lambda		value

Calibration:
lambda:	800
Abs:	-0.0002

Data:
#
900		0.4861
899.5		0.4617
899		0.4398
898.5		0.4622
898		0.4876
897.5		0.4867
897		0.4737
896.5		0.4664
896		0.4619
895.5		0.4668
895		0.4866
894.5		0.4609
894		0.4642
893.5		0.4514
893		0.4595
892.5		0.4614
892		0.4667
891.5		0.4687
891		0.4694
890.5		0.4602
890		0.4716
889.5		0.4486
889		0.477
888.5		0.4645
888		0.4576
887.5		0.469
887		0.4609
886.5		0.473
886		0.464
885.5		0.4692
885		0.4676
884.5		0.4578
884		0.468
883.5		0.4649
883		0.4699
882.5		0.4716
882		0.4676
881.5		0.4577
881		0.458
880.5		0.4665
880		0.4725
879.5		0.4599
879		0.4696
878.5		0.465
878		0.4649
877.5		0.4632
877		0.4601
876.5		0.463
876		0.4647
875.5		0.4728
875		0.473
874.5		0.4676
874		0.4593
873.5		0.4604
873		0.4681
872.5		0.4688
872		0.461
871.5		0.4685
871		0.4586
870.5		0.4647
870		0.4687
869.5		0.4657
869		0.4701
868.5		0.466
868		0.4698
867.5		0.4696
867		0.4643
866.5		0.4706
866		0.465
865.5		0.4629
865		0.4648
864.5		0.4712
864		0.4693
863.5		0.4728
863		0.4712
862.5		0.4728
862		0.4684
861.5		0.4702
861		0.4674
860.5		0.4694
860		0.4715
859.5		0.4659
859		0.4699
858.5		0.472
858		0.4681
857.5		0.4678
857		0.4687
856.5		0.4669
856		0.4724
855.5		0.4688
855		0.4732
854.5		0.4696
854		0.4717
853.5		0.4714
853		0.4696
852.5		0.4717
852		0.471
851.5		0.4722
851		0.4708
850.5		0.4705
850		0.4733
849.5		0.471
849		0.4705
848.5		0.4717
848		0.4731
847.5		0.473
847		0.4728
846.5		0.4742
846		0.4725
845.5		0.4726
845		0.4732
844.5		0.4728
844		0.4732
843.5		0.4724
843		0.4738
842.5		0.4717
842		0.4718
841.5		0.4704
841		0.4735
840.5		0.4707
840		0.4723
839.5		0.4717
839		0.4711
838.5		0.4715
838		0.4725
837.5		0.4723
837		0.4729
836.5		0.4718
836		0.4716
835.5		0.4728
835		0.4719
834.5		0.4742
834		0.4717
833.5		0.4726
833		0.4726
832.5		0.4715
832		0.4708
831.5		0.4727
831		0.4712
830.5		0.4717
830		0.4718
829.5		0.4722
829		0.4707
828.5		0.4712
828		0.4709
827.5		0.4714
827		0.4719
826.5		0.4728
826		0.4715
825.5		0.4711
825		0.4714
824.5		0.4707
824		0.4717
823.5		0.4709
823		0.4723
822.5		0.4722
822		0.4716
821.5		0.4721
821		0.4712
820.5		0.471
820		0.4723
819.5		0.4712
819		0.4716
818.5		0.471
818		0.4723
817.5		0.4707
817		0.4709
816.5		0.4731
816		0.4714
815.5		0.4714
815		0.472
814.5		0.4718
814		0.4724
813.5		0.4715
813		0.4721
812.5		0.4719
812		0.471
811.5		0.4731
811		0.4719
810.5		0.4708
810		0.4719
809.5		0.4713
809		0.4734
808.5		0.4727
808		0.4717
807.5		0.4728
807		0.4715
806.5		0.4723
806		0.4718
805.5		0.4727
805		0.4724
804.5		0.472
804		0.4725
803.5		0.4728
803		0.4731
802.5		0.4721
802		0.4729
801.5		0.4737
801		0.4734
800.5		0.4721
800		0.4732
799.5		0.4724
799		0.4719
798.5		0.4739
798		0.4735
797.5		0.4732
797		0.4743
796.5		0.4738
796		0.4745
795.5		0.4735
795		0.4719
794.5		0.4735
794		0.4734
793.5		0.4735
793		0.4732
792.5		0.4735
792		0.4744
791.5		0.4734
791		0.4738
790.5		0.4734
790		0.4743
789.5		0.4746
789		0.4738
788.5		0.4744
788		0.4747
787.5		0.4733
787		0.4738
