lambda		value

Calibration:
lambda:	800
Abs:	-0.0004

Data:
#
900		0.6898
899.5		0.7116
899		0.7001
898.5		0.672
898		0.6938
897.5		0.6885
897		0.7086
896.5		0.7206
896		0.6989
895.5		0.6984
895		0.6822
894.5		0.7007
894		0.72
893.5		0.694
893		0.6959
892.5		0.6949
892		0.6724
891.5		0.6818
891		0.7083
890.5		0.702
890		0.6997
889.5		0.6935
889		0.7023
888.5		0.6987
888		0.6982
887.5		0.7197
887		0.6978
886.5		0.684
886		0.7051
885.5		0.6818
885		0.7097
884.5		0.6915
884		0.6954
883.5		0.6826
883		0.6941
882.5		0.6816
882		0.6934
881.5		0.6923
881		0.7052
880.5		0.7008
880		0.7015
879.5		0.6951
879		0.708
878.5		0.7063
878		0.7041
877.5		0.7031
877		0.7049
876.5		0.6916
876		0.6884
875.5		0.6945
875		0.6923
874.5		0.6964
874		0.7031
873.5		0.6932
873		0.6963
872.5		0.6973
872		0.7007
871.5		0.6963
871		0.7
870.5		0.7007
870		0.696
869.5		0.695
869		0.7031
868.5		0.6984
868		0.7038
867.5		0.7052
867		0.7033
866.5		0.7059
866		0.6975
865.5		0.7053
865		0.6989
864.5		0.7017
864		0.7039
863.5		0.7041
863		0.6995
862.5		0.7041
862		0.7075
861.5		0.7088
861		0.7053
860.5		0.6996
860		0.7057
859.5		0.7027
859		0.7054
858.5		0.6997
858		0.7033
857.5		0.7066
857		0.7083
856.5		0.7103
856		0.7067
855.5		0.7083
855		0.7091
854.5		0.7032
854		0.7083
853.5		0.7055
853		0.7072
852.5		0.7079
852		0.7103
851.5		0.7088
851		0.7106
850.5		0.7103
850		0.7108
849.5		0.708
849		0.7095
848.5		0.7093
848		0.7105
847.5		0.7101
847		0.7097
846.5		0.7094
846		0.7098
845.5		0.7102
845		0.7104
844.5		0.7107
844		0.7105
843.5		0.707
843		0.7104
842.5		0.7107
842		0.7097
841.5		0.7078
841		0.7115
840.5		0.7098
840		0.7095
839.5		0.7087
839		0.711
838.5		0.7085
838		0.7092
837.5		0.7084
837		0.7101
836.5		0.709
836		0.7085
835.5		0.7065
835		0.7068
834.5		0.7072
834		0.7086
833.5		0.7058
833		0.7055
832.5		0.7068
832		0.7075
831.5		0.7067
831		0.7061
830.5		0.706
830		0.7075
829.5		0.7062
829		0.7063
828.5		0.7054
828		0.7063
827.5		0.7061
827		0.7056
826.5		0.7052
826		0.7049
825.5		0.7036
825		0.7041
824.5		0.7049
824		0.7051
823.5		0.7058
823		0.7051
822.5		0.7054
822		0.7032
821.5		0.7058
821		0.7041
820.5		0.7032
820		0.7042
819.5		0.7043
819		0.7031
818.5		0.704
818		0.7046
817.5		0.7034
817		0.7061
816.5		0.7055
816		0.7049
815.5		0.7034
815		0.7034
814.5		0.7041
814		0.7049
813.5		0.7035
813		0.7042
812.5		0.7048
812		0.7031
811.5		0.7043
811		0.7044
810.5		0.7047
810		0.7047
809.5		0.7055
809		0.7046
808.5		0.7024
808		0.704
807.5		0.7045
807		0.7044
806.5		0.706
806		0.7034
805.5		0.7042
805		0.7051
804.5		0.704
804		0.7056
803.5		0.7048
803		0.7043
802.5		0.7058
802		0.7046
801.5		0.7059
801		0.7051
800.5		0.7035
800		0.7046
799.5		0.7056
799		0.7061
798.5		0.7054
798		0.7055
797.5		0.7048
797		0.7046
796.5		0.706
796		0.706
795.5		0.7059
795		0.7057
794.5		0.7057
794		0.7058
793.5		0.7051
793		0.7054
792.5		0.7078
792		0.7067
791.5		0.7048
791		0.7045
790.5		0.7071
790		0.7058
789.5		0.7055
789		0.707
788.5		0.7055
788		0.7048
787.5		0.7063
787		0.7068
