lambda		value

Calibration:
lambda:	800
Abs:	-0.0006

Data:
#
900		-0.0064
899.5		-0.0023
899		0.0267
898.5		-0.0011
898		0.0014
897.5		-0.0012
897		0.0083
896.5		0.0024
896		0.0071
895.5		0.0066
895		0.0053
894.5		0.0119
894		0.0165
893.5		0.0081
893		-0.0054
892.5		0.0013
892		0.0132
891.5		0.0011
891		0.0053
890.5		-0.011
890		0.0131
889.5		0.0086
889		-0.0009
888.5		0.0035
888		0.0076
887.5		0.0012
887		0.0033
886.5		0.0133
886		0.0123
885.5		0.0019
885		0.0039
884.5		0.0142
884		0.0046
883.5		0.0006
883		0.0075
882.5		0.006
882		0.0117
881.5		0.0025
881		0.0011
880.5		0.003
880		0.0079
879.5		0.0042
879		0.0012
878.5		0.0067
878		0.01
877.5		0.0038
877		0.0059
876.5		0.0037
876		0.0105
875.5		0.0069
875		0.0063
874.5		0.0047
874		0.0036
873.5		0.0054
873		0.0019
872.5		0.0056
872		0.0036
871.5		0.0025
871		0.0071
870.5		0.0062
870		0.0008
869.5		0.0032
869		0.0074
868.5		0.0018
868		0.0007
867.5		0.0039
867		0.0055
866.5		0.0035
866		0.0063
865.5		0.002
865		0.0065
864.5		-0.001
864		0.0013
863.5		0.0028
863		0.0006
862.5		0.0052
862		0.0009
861.5		0.0018
861		0.0014
860.5		0.0021
860		0.0027
859.5		-0.0006
859		0.0016
858.5		-0.0005
858		0.001
857.5		0.0008
857		0.0002
856.5		0.0004
856		0.0005
855.5		-0.0032
855		-0.0027
854.5		-0.0013
854		-0.0015
853.5		-0.0014
853		-0.002
852.5		-0.0015
852		-0.0003
851.5		-0.0016
851		-0.0038
850.5		-0.0018
850		-0.0026
849.5		-0.0006
849		-0.0016
848.5		-0.002
848		-0.0022
847.5		-0.0034
847		-0.0036
846.5		-0.0042
846		-0.0032
845.5		-0.0031
845		-0.0029
844.5		-0.0021
844		-0.0029
843.5		-0.0023
843		-0.0023
842.5		-0.003
842		-0.0029
841.5		-0.0029
841		-0.002
840.5		-0.0021
840		-0.0017
839.5		-0.0025
839		-0.0033
838.5		-0.0012
838		-0.0003
837.5		-0.0016
837		-0.0014
836.5		-0.0008
836		-0.0008
835.5		-0.0027
835		-0.0005
834.5		-0.0018
834		-0.001
833.5		-0.0005
833		-0.0015
832.5		-0.0013
832		-0.0009
831.5		-0.0005
831		0
830.5		-0.001
830		0.0006
829.5		0.0003
829		0.0005
828.5		-0.0011
828		0.0002
827.5		0.0005
827		0.0014
826.5		0.0007
826		0.001
825.5		0.001
825		0.0011
824.5		0.0009
824		0.0013
823.5		-0.0009
823		0.0009
822.5		0.0007
822		0.0007
821.5		0.0002
821		0.0009
820.5		0.0008
820		0.0003
819.5		0.0016
819		0.0011
818.5		0.0014
818		0.0005
817.5		0.0009
817		0.0011
816.5		0.0002
816		0.0013
815.5		0.001
815		0.0006
814.5		0.0009
814		0.0006
813.5		0.0005
813		0.0013
812.5		0.0012
812		0.001
811.5		0.0001
811		0.0012
810.5		0.0012
810		0.0007
809.5		0.0013
809		-0.0003
808.5		0.0017
808		0.001
807.5		0.0001
807		0.0017
806.5		0.0001
806		0.0009
805.5		0.0006
805		0.0009
804.5		0.0004
804		0.0002
803.5		0.0002
803		0.0011
802.5		-0.001
802		0.0005
801.5		-0.0008
801		0.0004
800.5		-0.0003
800		-0.0009
799.5		0.0003
799		-0.0008
798.5		-0.0003
798		-0.0009
797.5		-0.0011
797		-0.001
796.5		-0.0007
796		-0.0009
795.5		-0.0008
795		-0.0005
794.5		-0.0009
794		0
793.5		-0.0004
793		-0.0005
792.5		-0.0006
792		-0.0014
791.5		0.0001
