lambda		value

Calibration:
lambda:	800
Abs:	-0.0006

Data:
#
900		1.0064
899.5		1.0023
899		0.9733
898.5		1.0011
898		0.9986
897.5		1.0012
897		0.9917
896.5		0.9976
896		0.9929
895.5		0.9934
895		0.9947
894.5		0.9881
894		0.9835
893.5		0.9919
893		1.0054
892.5		0.9987
892		0.9868
891.5		0.9989
891		0.9947
890.5		1.011
890		0.9869
889.5		0.9914
889		1.0009
888.5		0.9965
888		0.9924
887.5		0.9988
887		0.9967
886.5		0.9867
886		0.9877
885.5		0.9981
885		0.9961
884.5		0.9858
884		0.9954
883.5		0.9994
883		0.9925
882.5		0.994
882		0.9883
881.5		0.9975
881		0.9989
880.5		0.997
880		0.9921
879.5		0.9958
879		0.9988
878.5		0.9933
878		0.99
877.5		0.9962
877		0.9941
876.5		0.9963
876		0.9895
875.5		0.9931
875		0.9937
874.5		0.9953
874		0.9964
873.5		0.9946
873		0.9981
872.5		0.9944
872		0.9964
871.5		0.9975
871		0.9929
870.5		0.9938
870		0.9992
869.5		0.9968
869		0.9926
868.5		0.9982
868		0.9993
867.5		0.9961
867		0.9945
866.5		0.9965
866		0.9937
865.5		0.998
865		0.9935
864.5		1.001
864		0.9987
863.5		0.9972
863		0.9994
862.5		0.9948
862		0.9991
861.5		0.9982
861		0.9986
860.5		0.9979
860		0.9973
859.5		1.0006
859		0.9984
858.5		1.0005
858		0.999
857.5		0.9992
857		0.9998
856.5		0.9996
856		0.9995
855.5		1.0032
855		1.0027
854.5		1.0013
854		1.0015
853.5		1.0014
853		1.002
852.5		1.0015
852		1.0003
851.5		1.0016
851		1.0038
850.5		1.0018
850		1.0026
849.5		1.0006
849		1.0016
848.5		1.002
848		1.0022
847.5		1.0034
847		1.0036
846.5		1.0042
846		1.0032
845.5		1.0031
845		1.0029
844.5		1.0021
844		1.0029
843.5		1.0023
843		1.0023
842.5		1.003
842		1.0029
841.5		1.0029
841		1.002
840.5		1.0021
840		1.0017
839.5		1.0025
839		1.0033
838.5		1.0012
838		1.0003
837.5		1.0016
837		1.0014
836.5		1.0008
836		1.0008
835.5		1.0027
835		1.0005
834.5		1.0018
834		1.001
833.5		1.0005
833		1.0015
832.5		1.0013
832		1.0009
831.5		1.0005
831		1
830.5		1.001
830		0.9994
829.5		0.9997
829		0.9995
828.5		1.0011
828		0.9998
827.5		0.9995
827		0.9986
826.5		0.9993
826		0.999
825.5		0.999
825		0.9989
824.5		0.9991
824		0.9987
823.5		1.0009
823		0.9991
822.5		0.9993
822		0.9993
821.5		0.9998
821		0.9991
820.5		0.9992
820		0.9997
819.5		0.9984
819		0.9989
818.5		0.9986
818		0.9995
817.5		0.9991
817		0.9989
816.5		0.9998
816		0.9987
815.5		0.999
815		0.9994
814.5		0.9991
814		0.9994
813.5		0.9995
813		0.9987
812.5		0.9988
812		0.999
811.5		0.9999
811		0.9988
810.5		0.9988
810		0.9993
809.5		0.9987
809		1.0003
808.5		0.9983
808		0.999
807.5		0.9999
807		0.9983
806.5		0.9999
806		0.9991
805.5		0.9994
805		0.9991
804.5		0.9996
804		0.9998
803.5		0.9998
803		0.9989
802.5		1.001
802		0.9995
801.5		1.0008
801		0.9996
800.5		1.0003
800		1.0009
799.5		0.9997
799		1.0008
798.5		1.0003
798		1.0009
797.5		1.0011
797		1.001
796.5		1.0007
796		1.0009
795.5		1.0008
795		1.0005
794.5		1.0009
794		1
793.5		1.0004
793		1.0005
792.5		1.0006
792		1.0014
791.5		0.9999
791		1.0009
790.5		1.0011
790		1.0011
789.5		1.0015
789		1.0017
788.5		1.0018
788		1.0018
787.5		1.0008
787		1.0012
786.5		1.001
