lambda		value

Calibration:
lambda:	800
Abs:	0.0005

Data:
#
900		0.0761
899.5		0.0757
899		0.0816
898.5		0.0733
898		0.0683
897.5		0.0769
897		0.0668
896.5		0.0738
896		0.0705
895.5		0.0716
895		0.0733
894.5		0.073
894		0.0717
893.5		0.0774
893		0.072
892.5		0.0729
892		0.0724
891.5		0.0688
891		0.0753
890.5		0.0769
890		0.0737
889.5		0.0745
889		0.0702
888.5		0.0729
888		0.0732
887.5		0.0758
887		0.0735
886.5		0.0725
886		0.0771
885.5		0.0765
885		0.0725
884.5		0.0789
884		0.0717
883.5		0.073
883		0.0723
882.5		0.0738
882		0.0718
881.5		0.0729
881		0.0762
880.5		0.0739
880		0.0722
879.5		0.0716
879		0.0769
878.5		0.0752
878		0.0748
877.5		0.0762
877		0.0747
876.5		0.0759
876		0.0742
875.5		0.0748
875		0.0745
874.5		0.0753
874		0.076
873.5		0.0748
873		0.0761
872.5		0.0744
872		0.0757
871.5		0.0758
871		0.076
870.5		0.0762
870		0.078
869.5		0.0749
869		0.0765
868.5		0.077
868		0.0759
867.5		0.0749
867		0.0773
866.5		0.0769
866		0.0761
865.5		0.0751
865		0.0764
864.5		0.0767
864		0.0759
863.5		0.0751
863		0.0764
862.5		0.0766
862		0.0768
861.5		0.0771
861		0.0769
860.5		0.0779
860		0.0771
859.5		0.0769
859		0.0765
858.5		0.0769
858		0.0776
857.5		0.0769
857		0.0767
856.5		0.0773
856		0.0778
855.5		0.0771
855		0.078
854.5		0.0781
854		0.0781
853.5		0.0775
853		0.0776
852.5		0.0772
852		0.0778
851.5		0.0778
851		0.0778
850.5		0.0776
850		0.0782
849.5		0.0777
849		0.0775
848.5		0.078
848		0.0771
847.5		0.0782
847		0.0781
846.5		0.0782
846		0.0786
845.5		0.078
845		0.0787
844.5		0.0778
844		0.0781
843.5		0.0779
843		0.0786
842.5		0.0778
842		0.078
841.5		0.078
841		0.0782
840.5		0.0782
840		0.078
839.5		0.078
839		0.0781
838.5		0.0784
838		0.0782
837.5		0.0781
837		0.0786
836.5		0.0782
836		0.0781
835.5		0.0777
835		0.0779
834.5		0.0782
834		0.0778
833.5		0.0781
833		0.0781
832.5		0.0779
832		0.0784
831.5		0.078
831		0.0778
830.5		0.0779
830		0.0778
829.5		0.0776
829		0.0778
828.5		0.0779
828		0.0779
827.5		0.0775
827		0.0776
826.5		0.0777
826		0.0779
825.5		0.0779
825		0.078
824.5		0.0776
824		0.0778
823.5		0.0776
823		0.078
822.5		0.0779
822		0.0774
821.5		0.0781
821		0.0778
820.5		0.0778
820		0.0777
819.5		0.0778
819		0.0777
818.5		0.0778
818		0.0776
817.5		0.0776
817		0.0775
816.5		0.0779
816		0.0774
815.5		0.0772
815		0.0775
814.5		0.0775
814		0.0776
813.5		0.0778
813		0.0779
812.5		0.0774
812		0.0776
811.5		0.0776
811		0.0776
810.5		0.0771
810		0.0775
809.5		0.0767
809		0.0777
808.5		0.0774
808		0.0772
807.5		0.0775
807		0.0773
806.5		0.0775
806		0.0771
805.5		0.0772
805		0.0772
804.5		0.0772
804		0.0771
803.5		0.0772
803		0.077
802.5		0.0768
802		0.0771
801.5		0.0772
801		0.0772
800.5		0.0769
800		0.077
799.5		0.0771
799		0.0768
798.5		0.0771
798		0.0767
797.5		0.0769
797		0.0769
796.5		0.0769
796		0.0767
795.5		0.0766
795		0.0769
794.5		0.0769
794		0.0765
793.5		0.0766
793		0.0766
792.5		0.0766
792		0.0763
791.5		0.0766
791		0.0764
790.5		0.0764
790		0.0765
789.5		0.0764
789		0.0762
788.5		0.076
788		0.0762
787.5		0.0763
787		0.0759
