lambda		value

Calibration:
lambda:	800
Abs:	0.0006

Data:
#
900		0.255
899.5		0.2661
899		0.2564
898.5		0.2558
898		0.2571
897.5		0.2449
897		0.2626
896.5		0.2618
896		0.2644
895.5		0.2504
895		0.256
894.5		0.2605
894		0.2648
893.5		0.2533
893		0.2559
892.5		0.2493
892		0.2616
891.5		0.2582
891		0.2567
890.5		0.2552
890		0.2602
889.5		0.2625
889		0.2684
888.5		0.2606
888		0.2548
887.5		0.2564
887		0.2583
886.5		0.2543
886		0.2564
885.5		0.2559
885		0.257
884.5		0.2578
884		0.2632
883.5		0.2572
883		0.2597
882.5		0.2641
882		0.2578
881.5		0.2682
881		0.2617
880.5		0.2612
880		0.265
879.5		0.2593
879		0.2693
878.5		0.2663
878		0.2659
877.5		0.2652
877		0.2659
876.5		0.2653
876		0.2651
875.5		0.2649
875		0.2649
874.5		0.2708
874		0.2651
873.5		0.2697
873		0.2713
872.5		0.2675
872		0.2696
871.5		0.2686
871		0.2752
870.5		0.2721
870		0.2695
869.5		0.2689
869		0.2685
868.5		0.2711
868		0.2736
867.5		0.2709
867		0.2719
866.5		0.2724
866		0.274
865.5		0.2755
865		0.2771
864.5		0.2725
864		0.2751
863.5		0.2759
863		0.2748
862.5		0.2781
862		0.2735
861.5		0.2786
861		0.2769
860.5		0.277
860		0.2778
859.5		0.278
859		0.2788
858.5		0.2809
858		0.2786
857.5		0.2789
857		0.2812
856.5		0.2804
856		0.2811
855.5		0.2805
855		0.2822
854.5		0.2825
854		0.2815
853.5		0.2842
853		0.2832
852.5		0.2836
852		0.2845
851.5		0.2838
851		0.2855
850.5		0.2863
850		0.2838
849.5		0.2862
849		0.2848
848.5		0.2867
848		0.2862
847.5		0.2866
847		0.287
846.5		0.2875
846		0.2874
845.5		0.2885
845		0.2887
844.5		0.2913
844		0.2899
843.5		0.2887
843		0.2896
842.5		0.2897
842		0.2902
841.5		0.2911
841		0.2899
840.5		0.2901
840		0.2918
839.5		0.2911
839		0.2911
838.5		0.2916
838		0.2924
837.5		0.2915
837		0.2919
836.5		0.2933
836		0.2942
835.5		0.2926
835		0.2945
834.5		0.2943
834		0.2936
833.5		0.2939
833		0.2941
832.5		0.2946
832		0.2954
831.5		0.2956
831		0.2952
830.5		0.2948
830		0.295
829.5		0.2959
829		0.2965
828.5		0.2961
828		0.2967
827.5		0.2963
827		0.2978
826.5		0.299
826		0.2981
825.5		0.2972
825		0.2984
824.5		0.2985
824		0.2996
823.5		0.298
823		0.2995
822.5		0.2994
822		0.2997
821.5		0.3
821		0.2999
820.5		0.3
820		0.3011
819.5		0.3001
819		0.3018
818.5		0.3009
818		0.302
817.5		0.3014
817		0.3025
816.5		0.3028
816		0.3037
815.5		0.3027
815		0.3037
814.5		0.3037
814		0.3045
813.5		0.3043
813		0.3042
812.5		0.3046
812		0.3051
811.5		0.3056
811		0.3059
810.5		0.3057
810		0.3067
809.5		0.3073
809		0.3079
808.5		0.308
808		0.3078
807.5		0.3072
807		0.3085
806.5		0.3088
806		0.3088
805.5		0.3097
805		0.3091
804.5		0.3101
804		0.3104
803.5		0.3112
803		0.3118
802.5		0.3112
802		0.3118
801.5		0.3118
801		0.3123
800.5		0.3129
800		0.3123
799.5		0.314
799		0.3144
798.5		0.3141
798		0.3146
797.5		0.3145
797		0.3151
796.5		0.3153
796		0.3153
795.5		0.3168
795		0.3155
794.5		0.3168
794		0.317
793.5		0.3169
793		0.318
792.5		0.3178
792		0.3185
791.5		0.318
791		0.3188
790.5		0.3194
790		0.319
789.5		0.3195
789		0.3201
788.5		0.3203
788		0.3207
787.5		0.3206
787		0.3218
