lambda		value

Calibration:
lambda:	900
Abs:	0.0446

Data:
#
900		0.9554
899.5		0.9128
899		0.9395
898.5		0.9607
898		0.9162
897.5		0.9615
897		0.9516
896.5		0.9465
896		0.9534
895.5		0.9234
895		0.9073
894.5		0.942
894		0.9093
893.5		0.9257
893		0.9183
892.5		0.9224
892		0.9424
891.5		0.9284
891		0.915
890.5		0.9357
890		0.9312
889.5		0.907
889		0.9268
888.5		0.9174
888		0.9418
887.5		0.9429
887		0.9561
886.5		0.9317
886		0.9291
885.5		0.938
885		0.9167
884.5		0.927
884		0.9382
883.5		0.9424
883		0.9379
882.5		0.9269
882		0.9284
881.5		0.9188
881		0.9344
880.5		0.9142
880		0.9331
879.5		0.9286
879		0.931
878.5		0.9374
878		0.9298
877.5		0.9325
877		0.9412
876.5		0.9229
876		0.9361
875.5		0.9328
875		0.9245
874.5		0.9321
874		0.9303
873.5		0.9318
873		0.9304
872.5		0.9328
872		0.9293
871.5		0.9314
871		0.94
870.5		0.9269
870		0.9345
869.5		0.9289
869		0.9312
868.5		0.9337
868		0.9359
867.5		0.9363
867		0.9346
866.5		0.9383
866		0.9299
865.5		0.9363
865		0.9407
864.5		0.9363
864		0.937
863.5		0.9352
863		0.9393
862.5		0.9398
862		0.9408
861.5		0.9342
861		0.9418
860.5		0.9364
860		0.9379
859.5		0.9444
859		0.9362
858.5		0.9436
858		0.9451
857.5		0.9455
857		0.9374
856.5		0.9469
856		0.9385
855.5		0.9475
855		0.9464
854.5		0.9417
854		0.9393
853.5		0.9426
853		0.9443
852.5		0.9482
852		0.9423
851.5		0.9436
851		0.9499
850.5		0.9471
850		0.948
849.5		0.9461
849		0.9451
848.5		0.9456
848		0.9486
847.5		0.9478
847		0.9462
846.5		0.9453
846		0.9466
845.5		0.9491
845		0.9492
844.5		0.9453
844		0.946
843.5		0.9447
843		0.9462
842.5		0.9448
842		0.9495
841.5		0.9452
841		0.944
840.5		0.9446
840		0.9448
839.5		0.9454
839		0.9472
838.5		0.9457
838		0.9445
837.5		0.9421
837		0.9424
836.5		0.9394
836		0.9415
835.5		0.9424
835		0.9433
834.5		0.9419
834		0.9411
833.5		0.9417
833		0.9378
832.5		0.937
832		0.9385
831.5		0.9405
831		0.9384
830.5		0.939
830		0.9385
829.5		0.9392
829		0.9379
828.5		0.9369
828		0.9367
827.5		0.9403
827		0.9369
826.5		0.9368
826		0.9358
825.5		0.9358
825		0.9361
824.5		0.9337
824		0.9352
823.5		0.9353
823		0.9362
822.5		0.9355
822		0.9374
821.5		0.935
821		0.9348
820.5		0.9343
820		0.9332
819.5		0.9331
819		0.9361
818.5		0.9344
818		0.9336
817.5		0.9335
817		0.9338
816.5		0.9329
816		0.9339
815.5		0.9345
815		0.9338
814.5		0.9352
814		0.9337
813.5		0.9343
813		0.9336
812.5		0.9335
812		0.9335
811.5		0.9331
811		0.935
810.5		0.9339
810		0.9346
809.5		0.9328
809		0.9329
808.5		0.9343
808		0.934
807.5		0.9316
807		0.9337
806.5		0.9321
806		0.9338
805.5		0.9354
805		0.9342
804.5		0.9343
804		0.9331
803.5		0.9353
803		0.935
802.5		0.9349
802		0.9358
801.5		0.9344
801		0.9335
800.5		0.9358
800		0.9344
799.5		0.9344
799		0.9341
798.5		0.9355
798		0.9344
797.5		0.9354
797		0.9364
796.5		0.9351
796		0.9364
795.5		0.9342
795		0.9344
794.5		0.9363
794		0.9357
793.5		0.9347
793		0.9357
792.5		0.9337
792		0.9369
791.5		0.9353
791		0.9343
790.5		0.9366
790		0.9345
789.5		0.9329
789		0.9372
788.5		0.9361
788		0.9359
787.5		0.9358
787		0.9367
