lambda		value

Calibration:
lambda:	900
Abs:	0

Data:
#
900		0.0289
899.5		0.0375
899		0.03
898.5		0.0399
898		0.0503
897.5		0.0319
897		0.0439
896.5		0.0334
896		0.0371
895.5		0.0343
895		0.0412
894.5		0.0348
894		0.0322
893.5		0.037
893		0.0428
892.5		0.0367
892		0.0301
891.5		0.0354
891		0.0391
890.5		0.0388
890		0.0373
889.5		0.0451
889		0.0341
888.5		0.0396
888		0.0458
887.5		0.0386
887		0.0457
886.5		0.04
886		0.0311
885.5		0.0473
885		0.0363
884.5		0.0366
884		0.0318
883.5		0.0278
883		0.0402
882.5		0.0358
882		0.0395
881.5		0.0447
881		0.0442
880.5		0.032
880		0.0368
879.5		0.0342
879		0.0444
878.5		0.0372
878		0.0419
877.5		0.0422
877		0.0378
876.5		0.0454
876		0.041
875.5		0.0416
875		0.0364
874.5		0.04
874		0.0392
873.5		0.0387
873		0.0328
872.5		0.0379
872		0.0348
871.5		0.0335
871		0.0394
870.5		0.041
870		0.0396
869.5		0.0413
869		0.036
868.5		0.0383
868		0.0373
867.5		0.0408
867		0.0338
866.5		0.0354
866		0.0384
865.5		0.0412
865		0.037
864.5		0.0387
864		0.0325
863.5		0.0361
863		0.0364
862.5		0.037
862		0.038
861.5		0.0333
861		0.0343
860.5		0.0366
860		0.0322
859.5		0.0356
859		0.033
858.5		0.0316
858		0.0342
857.5		0.0352
857		0.0316
856.5		0.0319
856		0.0323
855.5		0.0333
855		0.0327
854.5		0.0329
854		0.0341
853.5		0.0325
853		0.0317
852.5		0.0295
852		0.0298
851.5		0.0317
851		0.0311
850.5		0.0306
850		0.0305
849.5		0.0293
849		0.0308
848.5		0.031
848		0.0297
847.5		0.0307
847		0.0301
846.5		0.0301
846		0.0307
845.5		0.0292
845		0.029
844.5		0.0295
844		0.028
843.5		0.0298
843		0.0319
842.5		0.0284
842		0.0298
841.5		0.0294
841		0.0318
840.5		0.0296
840		0.0302
839.5		0.0296
839		0.0298
838.5		0.0303
838		0.0308
837.5		0.0297
837		0.029
836.5		0.0304
836		0.0294
835.5		0.0312
835		0.0287
834.5		0.0299
834		0.0313
833.5		0.0306
833		0.0313
832.5		0.0301
832		0.0307
831.5		0.0309
831		0.0309
830.5		0.0309
830		0.0313
829.5		0.0315
829		0.0314
828.5		0.0324
828		0.0308
827.5		0.0314
827		0.031
826.5		0.0316
826		0.0319
825.5		0.0311
825		0.0308
824.5		0.0318
824		0.0321
823.5		0.0319
823		0.0325
822.5		0.0327
822		0.0326
821.5		0.0324
821		0.0319
820.5		0.0327
820		0.0319
819.5		0.0331
819		0.0329
818.5		0.0324
818		0.033
817.5		0.0332
817		0.0318
816.5		0.0334
816		0.0326
815.5		0.032
815		0.033
814.5		0.0331
814		0.0319
813.5		0.0326
813		0.0317
812.5		0.033
812		0.0323
811.5		0.0326
811		0.0326
810.5		0.0326
810		0.0321
809.5		0.0327
809		0.0324
808.5		0.0328
808		0.0327
807.5		0.0324
807		0.0321
806.5		0.032
806		0.0326
805.5		0.0324
805		0.0317
804.5		0.0328
804		0.0318
803.5		0.0316
803		0.0322
802.5		0.0322
802		0.0316
801.5		0.0327
801		0.0318
800.5		0.0318
800		0.0318
799.5		0.032
799		0.0311
798.5		0.0326
798		0.0317
797.5		0.0319
797		0.0313
796.5		0.0311
796		0.0325
795.5		0.0309
795		0.0322
794.5		0.0309
794		0.0315
793.5		0.0314
793		0.0314
792.5		0.0311
792		0.0304
791.5		0.0305
791		0.0314
790.5		0.0303
790		0.0309
789.5		0.031
789		0.0309
788.5		0.0309
788		0.0314
787.5		0.0303
787		0.0309
786.5		0.0316
