lambda		value

Calibration:
lambda:	900
Abs:	0

Data:
#
900		-7.6098
899.5		0.1274
899		-0.0287
898.5		0.4502
898		0.7407
897.5		0.5589
897		0.211
896.5		0.3005
896		0.0972
895.5		-0.1833
895		-1.52
894.5		-3.8748
894		0.0754
893.5		-10.2654
893		-1.4814
892.5		-1.1063
892		0.5512
891.5		0.9357
891		0.6917
890.5		0.9189
890		0.1004
889.5		0.221
889		0.3659
888.5		-0.3241
888		-0.2016
887.5		-2.0448
887		52.9036
886.5		-1.2614
886		-0.0525
885.5		0.2918
885		-0.0651
884.5		-0.0093
884		0.3902
883.5		0.1448
883		-0.0637
882.5		0.065
882		-0.3139
881.5		-0.4564
881		0.4865
880.5		1.3573
880		0.4584
879.5		0.1307
879		2.1553
878.5		4.0059
878		0.0576
877.5		0.5897
877		0.5781
876.5		0.4437
876		0.0443
875.5		21.2033
875		0.1673
874.5		0.0669
874		-0.1215
873.5		-0.046
873		0.5859
872.5		-0.0777
872		0.078
871.5		0.8258
871		-1.2905
870.5		-2.1261
870		5.6145
869.5		2.2494
869		31.3658
868.5		-0.1553
868		0.0411
867.5		0.1815
867		0.3913
866.5		0.1571
866		0.3279
865.5		-0.5519
865		5.5831
864.5		1.7067
864		-6.7125
863.5		0.0758
863		-0.6919
862.5		0.3626
862		-0.4586
861.5		0.4414
861		0.5264
860.5		-0.183
860		0.4257
859.5		0.0233
859		0.0512
858.5		3.1617
858		0.2348
857.5		-4.13
857		0.3199
856.5		-0.2622
856		0.0506
855.5		0.2364
855		0.4658
854.5		0.7475
854		0.3279
853.5		0.0794
853		0.0406
852.5		-0.1261
852		0.0166
851.5		-0.0323
851		0.2016
850.5		0.1971
850		0.3033
849.5		0.2804
849		0.12
848.5		0.1474
848		0.401
847.5		0.5165
847		0.2311
846.5		0.049
846		0.1072
845.5		0.1302
845		0.1876
844.5		0.3102
844		0.3248
843.5		0.2261
843		0.4845
842.5		0.4796
842		0.3595
841.5		0.2398
841		0.2351
840.5		0.2009
840		0.2745
839.5		0.2592
839		0.2331
838.5		0.2394
838		0.243
837.5		0.157
837		0.2857
836.5		0.3278
836		0.3482
835.5		0.2561
835		0.2087
834.5		0.1868
834		0.1307
833.5		0.1324
833		0.2755
832.5		0.2651
832		0.2267
831.5		0.2832
831		0.1545
830.5		0.1426
830		0.1613
829.5		0.2552
829		0.2109
828.5		0.2909
828		0.286
827.5		0.3694
827		0.3957
826.5		0.422
826		0.2692
825.5		0.218
825		0.201
824.5		0.2169
824		0.3391
823.5		0.3287
823		0.3395
822.5		0.3603
822		0.3126
821.5		0.2678
821		0.3012
820.5		0.2698
820		0.279
819.5		0.193
819		0.228
818.5		0.2472
818		0.1878
817.5		0.1651
817		0.0935
816.5		0.1596
816		0.2236
815.5		0.32
815		0.3406
814.5		0.3045
814		0.2689
813.5		0.2216
813		0.1781
812.5		0.2453
812		0.3309
811.5		0.4001
811		0.3299
810.5		0.3063
810		0.2551
809.5		0.2473
809		0.1686
808.5		0.1461
808		0.1643
807.5		0.1836
807		0.2487
806.5		0.2913
806		0.2401
805.5		0.2622
805		0.1983
804.5		0.2421
804		0.2797
803.5		0.2853
803		0.2722
802.5		0.291
802		0.1908
801.5		0.2113
801		0.149
800.5		0.1572
800		0.1769
799.5		0.2073
799		0.2191
798.5		0.207
798		0.1878
797.5		0.1965
797		0.1807
796.5		0.2276
796		0.2469
795.5		0.2485
795		0.2714
794.5		0.2691
794		0.2486
793.5		0.21
793		0.2008
792.5		0.2118
792		0.1968
791.5		0.1853
791		0.1975
790.5		0.2627
790		0.3225
789.5		0.2821
789		0.2897
788.5		0.2967
