lambda		value

Calibration:
lambda:	900
Abs:	0

Data:
#
900		0.9406
899.5		1.00679
899		1.02159
898.5		1.02946
898		0.959466
897.5		1.02908
897		1.01728
896.5		1.01156
896		0.971283
895.5		1.00638
895		0.997335
894.5		1.00773
894		0.93884
893.5		1.04665
893		1.03306
892.5		0.967919
892		0.999596
891.5		1.01595
891		1.00738
890.5		0.98048
890		0.977089
889.5		1.01045
889		0.989164
888.5		1.01464
888		1.00261
887.5		1.01821
887		1.0075
886.5		1.00101
886		1.02579
885.5		0.988675
885		0.953397
884.5		1.0081
884		1.01386
883.5		1.01209
883		1.03506
882.5		0.982833
882		0.98022
881.5		0.978149
881		1.00269
880.5		1.00473
880		1.01613
879.5		1.0144
879		1.01237
878.5		0.99388
878		0.999599
877.5		0.981121
877		1.011
876.5		1.00121
876		0.994257
875.5		1.03988
875		1.01472
874.5		0.99261
874		1.00504
873.5		1.0001
873		1.02039
872.5		1.01768
872		0.99363
871.5		1.00642
871		1.02104
870.5		1.00586
870		1.005
869.5		0.994912
869		1.0057
868.5		0.996195
868		1.00978
867.5		0.98551
867		0.997903
866.5		1.00411
866		1.00229
865.5		1.00849
865		1.00926
864.5		0.990204
864		1.00319
863.5		1.00409
863		1.01402
862.5		1.00639
862		1.00564
861.5		0.997012
861		1.00764
860.5		1.01965
860		0.98741
859.5		1.01414
859		1.00773
858.5		1.01033
858		1.01756
857.5		1.01657
857		1.00645
856.5		1.0107
856		1.00624
855.5		1.00841
855		1.00813
854.5		1.00613
854		1.01041
853.5		1.0124
853		1.00337
852.5		1.00837
852		1.00721
851.5		1.02055
851		1.01007
850.5		1.01098
850		1.01772
849.5		1.01352
849		1.01324
848.5		1.00964
848		1.01589
847.5		1.01274
847		1.00395
846.5		1.01301
846		1.00938
845.5		1.02216
845		1.0167
844.5		1.01481
844		1.01649
843.5		1.01229
843		1.01432
842.5		1.01868
842		1.01755
841.5		1.01989
841		1.01905
840.5		1.02185
840		1.0159
839.5		1.01924
839		1.02226
838.5		1.01798
838		1.02475
837.5		1.01889
837		1.02277
836.5		1.02589
836		1.02591
835.5		1.02385
835		1.02778
834.5		1.02611
834		1.02809
833.5		1.02579
833		1.03295
832.5		1.02534
832		1.03072
831.5		1.02981
831		1.02754
830.5		1.03298
830		1.03431
829.5		1.02828
829		1.029
828.5		1.03138
828		1.03435
827.5		1.03388
827		1.03148
826.5		1.03216
826		1.03631
825.5		1.03357
825		1.03881
824.5		1.03512
824		1.03564
823.5		1.04016
823		1.04121
822.5		1.03902
822		1.03869
821.5		1.03834
821		1.04153
820.5		1.03587
820		1.04102
819.5		1.03998
819		1.0433
818.5		1.04331
818		1.04412
817.5		1.0443
817		1.04747
816.5		1.04255
816		1.04669
815.5		1.04207
815		1.04894
814.5		1.04558
814		1.0489
813.5		1.05002
813		1.05108
812.5		1.04855
812		1.05157
811.5		1.05353
811		1.05167
810.5		1.05089
810		1.05427
809.5		1.05444
809		1.05662
808.5		1.05711
808		1.05729
807.5		1.06033
807		1.05978
806.5		1.05753
806		1.05824
805.5		1.05744
805		1.06005
804.5		1.05995
804		1.05743
803.5		1.06283
803		1.06331
802.5		1.06408
802		1.06175
801.5		1.06665
801		1.06671
800.5		1.06528
800		1.06888
799.5		1.07018
799		1.06474
798.5		1.07163
798		1.07053
797.5		1.0747
797		1.07242
796.5		1.07049
796		1.07213
795.5		1.07377
795		1.07286
794.5		1.07844
794		1.07697
793.5		1.0786
793		1.08178
792.5		1.08013
792		1.08227
791.5		1.08137
791		1.07969
790.5		1.08416
790		1.08128
789.5		1.08643
789		1.08382
788.5		1.09015
788		1.08659
787.5		1.08751
