lambda		value

Calibration:
lambda:	900
Abs:	0

Data:
#
900		0.9535
899.5		0.997738
899		0.980228
898.5		0.953156
898		0.978547
897.5		0.996254
897		1.02889
896.5		1.01995
896		0.994017
895.5		0.968182
895		0.998717
894.5		1.03254
894		1.01259
893.5		1.03575
893		1.03944
892.5		0.931729
892		1.01435
891.5		0.980261
891		1.01295
890.5		1.003
890		0.949361
889.5		0.973676
889		0.993679
888.5		1.01773
888		0.975911
887.5		1.00765
887		0.982331
886.5		0.989083
886		1.00713
885.5		0.977648
885		0.996854
884.5		0.993011
884		1.02967
883.5		0.98322
883		1.00278
882.5		1.01212
882		0.986513
881.5		0.968657
881		0.991136
880.5		0.994062
880		1.00264
879.5		1.00101
879		1.00284
878.5		1.00401
878		0.99719
877.5		1.01199
877		1.00591
876.5		1.0001
876		1.00977
875.5		1.01938
875		1.00173
874.5		1.01144
874		1.00111
873.5		0.975555
873		0.999293
872.5		1.01283
872		0.978999
871.5		0.992178
871		0.995246
870.5		0.993245
870		0.993697
869.5		0.996907
869		0.9975
868.5		1.0035
868		0.981942
867.5		0.987309
867		0.999301
866.5		0.993089
866		0.981579
865.5		0.978517
865		0.992958
864.5		0.978231
864		0.993219
863.5		0.988019
863		0.98469
862.5		0.998902
862		0.999604
861.5		0.995318
861		1.00543
860.5		0.997092
860		0.989591
859.5		0.996415
859		0.983343
858.5		1.00079
858		1.00308
857.5		1.00259
857		1.00824
856.5		1.00396
856		0.995145
855.5		1.00238
855		1.00476
854.5		0.999604
854		1.00188
853.5		1.01031
853		1.00387
852.5		0.993104
852		1.00059
851.5		1.00437
851		1.00267
850.5		1.00791
850		0.998218
849.5		1.00385
849		1
848.5		1.00482
848		1.0072
847.5		1.00889
847		1.00365
846.5		1.00089
846		1.00543
845.5		1.00317
845		1.00622
844.5		1.01194
844		1.0076
843.5		1.00531
843		1.01106
842.5		1.01008
842		1.0072
841.5		1.01247
841		1.01086
840.5		1.01493
840		1.0082
839.5		1.01362
839		1.01256
838.5		1.01126
838		1.01802
837.5		1.01721
837		1.01891
836.5		1.01716
836		1.01365
835.5		1.01574
835		1.01964
834.5		1.02095
834		1.01886
833.5		1.01805
833		1.02045
832.5		1.02435
832		1.01819
831.5		1.02385
831		1.02178
830.5		1.02521
830		1.02357
829.5		1.0254
829		1.01976
828.5		1.02421
828		1.02011
827.5		1.02462
827		1.0281
826.5		1.02539
826		1.02773
825.5		1.02481
825		1.02744
824.5		1.02903
824		1.03025
823.5		1.03237
823		1.02774
822.5		1.03291
822		1.03181
821.5		1.03385
821		1.03195
820.5		1.03239
820		1.03054
819.5		1.03539
819		1.0341
818.5		1.03134
818		1.03772
817.5		1.04029
817		1.03608
816.5		1.03606
816		1.03551
815.5		1.03678
815		1.03974
814.5		1.04138
814		1.0411
813.5		1.04481
813		1.04419
812.5		1.04086
812		1.04248
811.5		1.04722
811		1.04707
810.5		1.04181
810		1.04497
809.5		1.04387
809		1.04721
808.5		1.0483
808		1.0494
807.5		1.04782
807		1.04958
806.5		1.05143
806		1.05104
805.5		1.04985
805		1.05735
804.5		1.05426
804		1.05374
803.5		1.05603
803		1.05432
802.5		1.05658
802		1.05357
801.5		1.05775
801		1.0614
800.5		1.05651
800		1.06148
799.5		1.06218
799		1.05786
798.5		1.06114
798		1.06214
797.5		1.06609
797		1.06523
796.5		1.065
796		1.06455
795.5		1.06718
795		1.06947
794.5		1.07054
794		1.06888
793.5		1.07242
793		1.07288
792.5		1.07403
792		1.07636
791.5		1.07539
791		1.07024
790.5		1.07667
790		1.07441
789.5		1.07814
789		1.07893
788.5		1.08126
788		1.07502
787.5		1.07853
