lambda		value

Calibration:
lambda:	900
Abs:	0

Data:
#
900		1.0174
899.5		0.9682
899		0.9688
898.5		0.9864
898		1.0027
897.5		1.0296
897		0.9728
896.5		1.0064
896		0.9569
895.5		1.0038
895		0.992
894.5		0.9559
894		1.0351
893.5		0.9437
893		1.0263
892.5		0.9874
892		1.0077
891.5		1.0019
891		1.0014
890.5		0.9914
890		0.988
889.5		1.0066
889		0.9794
888.5		0.9533
888		0.9845
887.5		1.0025
887		0.9823
886.5		0.9943
886		0.9887
885.5		0.9869
885		1.0116
884.5		0.972
884		0.9749
883.5		0.9823
883		0.9891
882.5		0.9984
882		0.9992
881.5		1.0122
881		1.0094
880.5		0.9892
880		0.9809
879.5		0.999
879		0.99
878.5		0.9826
878		0.9746
877.5		1.0028
877		0.9954
876.5		0.9953
876		0.9841
875.5		0.9733
875		0.9928
874.5		0.9976
874		0.9781
873.5		1.0025
873		1.013
872.5		0.9914
872		0.9892
871.5		1.0046
871		0.9917
870.5		0.9915
870		0.9876
869.5		1.0043
869		0.9976
868.5		0.9952
868		0.9988
867.5		0.9972
867		0.999
866.5		0.995
866		0.9881
865.5		1.0162
865		0.9922
864.5		1.0004
864		0.9902
863.5		0.9905
863		0.9995
862.5		1.003
862		0.9941
861.5		0.9973
861		0.9954
860.5		1.0072
860		1.0076
859.5		1.0068
859		1.012
858.5		1.0031
858		1.0125
857.5		1.0092
857		1.0094
856.5		1.0106
856		1.008
855.5		1.018
855		1.0088
854.5		1.0099
854		1.0116
853.5		1.015
853		1.0111
852.5		1.0169
852		1.0181
851.5		1.0165
851		1.01
850.5		1.0173
850		1.0214
849.5		1.0221
849		1.0161
848.5		1.0211
848		1.0154
847.5		1.0209
847		1.0216
846.5		1.0197
846		1.0264
845.5		1.0192
845		1.0274
844.5		1.0224
844		1.0273
843.5		1.0254
843		1.0283
842.5		1.0245
842		1.0258
841.5		1.0254
841		1.027
840.5		1.0263
840		1.0264
839.5		1.0251
839		1.0288
838.5		1.0296
838		1.0315
837.5		1.0278
837		1.0315
836.5		1.0284
836		1.0294
835.5		1.0313
835		1.0268
834.5		1.0295
834		1.028
833.5		1.0291
833		1.033
832.5		1.0358
832		1.0287
831.5		1.0327
831		1.0302
830.5		1.0288
830		1.0333
829.5		1.0281
829		1.0319
828.5		1.0337
828		1.0299
827.5		1.0343
827		1.0316
826.5		1.0347
826		1.0329
825.5		1.033
825		1.0321
824.5		1.0375
824		1.0328
823.5		1.0348
823		1.034
822.5		1.0341
822		1.0369
821.5		1.0362
821		1.0338
820.5		1.0374
820		1.0382
819.5		1.0427
819		1.0378
818.5		1.0376
818		1.038
817.5		1.0413
817		1.0387
816.5		1.0407
816		1.0434
815.5		1.042
815		1.0466
814.5		1.0409
814		1.044
813.5		1.044
813		1.0442
812.5		1.0447
812		1.048
811.5		1.0485
811		1.049
810.5		1.051
810		1.0483
809.5		1.0471
809		1.0521
808.5		1.052
808		1.0539
807.5		1.0502
807		1.0539
806.5		1.0528
806		1.0545
805.5		1.0543
805		1.0541
804.5		1.0561
804		1.0563
803.5		1.0598
803		1.0566
802.5		1.0587
802		1.0592
801.5		1.0627
801		1.0624
800.5		1.0604
800		1.0636
799.5		1.0639
799		1.0674
798.5		1.0653
798		1.0656
797.5		1.0688
797		1.0681
796.5		1.0692
796		1.0697
795.5		1.074
795		1.0717
794.5		1.0747
794		1.0723
793.5		1.073
793		1.0772
792.5		1.0758
792		1.079
791.5		1.0796
791		1.078
790.5		1.0801
790		1.0801
789.5		1.0815
789		1.0848
788.5		1.085
788		1.0852
787.5		1.0843
787		1.0858
786.5		1.0885
786		1.0879
