lambda		value

Calibration:
lambda:	800
Abs:	-9

Data:
#
900		0.101743
899.5		0.0966595
899		0.0969673
898.5		0.0986311
898		0.100158
897.5		0.102814
897		0.0975512
896.5		0.100872
896		0.0956651
895.5		0.1002
895		0.0990732
894.5		0.0956349
894		0.103337
893.5		0.0946255
893		0.103089
892.5		0.0985223
892		0.10088
891.5		0.100162
891		0.100257
890.5		0.0991529
890		0.0986353
889.5		0.10071
889		0.0979753
888.5		0.0956197
888		0.0984894
887.5		0.100312
887		0.0981044
886.5		0.0995395
886		0.0990602
885.5		0.0986279
885		0.10099
884.5		0.0973265
884		0.0977451
883.5		0.0982212
883		0.0991857
882.5		0.0999399
882		0.099913
881.5		0.101108
881		0.100902
880.5		0.0989863
880		0.0982344
879.5		0.100045
879		0.0991388
878.5		0.0982954
878		0.097497
877.5		0.100272
877		0.0997265
876.5		0.0996047
876		0.0984868
875.5		0.0974743
875		0.0994291
874.5		0.0998849
874		0.0978854
873.5		0.100395
873		0.101397
872.5		0.0992422
872		0.0988765
871.5		0.100491
871		0.0992852
870.5		0.0990876
870		0.0987669
869.5		0.100409
869		0.099761
868.5		0.0995349
868		0.09986
867.5		0.099716
867		0.099889
866.5		0.0995189
866		0.0987705
865.5		0.101615
865		0.0992825
864.5		0.0999371
864		0.0989953
863.5		0.0990371
863		0.0998941
862.5		0.100288
862		0.0993157
861.5		0.0996941
861		0.0995898
860.5		0.100749
860		0.100675
859.5		0.100642
859		0.101116
858.5		0.100243
858		0.101173
857.5		0.100903
857		0.100869
856.5		0.100967
856		0.100709
855.5		0.101697
855		0.10079
854.5		0.100885
854		0.101072
853.5		0.101418
853		0.101024
852.5		0.10154
852		0.101682
851.5		0.101579
851		0.100874
850.5		0.101621
850		0.102039
849.5		0.102079
849		0.101489
848.5		0.101948
848		0.101408
847.5		0.101962
847		0.102026
846.5		0.101823
846		0.102513
845.5		0.101814
845		0.102618
844.5		0.102109
844		0.102604
843.5		0.102368
843		0.102701
842.5		0.102333
842		0.102437
841.5		0.102434
841		0.102569
840.5		0.102516
840		0.102515
839.5		0.102376
839		0.102771
838.5		0.102835
838		0.10305
837.5		0.102669
837		0.103049
836.5		0.102759
836		0.10283
835.5		0.103027
835		0.1026
834.5		0.102878
834		0.102726
833.5		0.102829
833		0.103226
832.5		0.103518
832		0.102813
831.5		0.103208
831		0.102964
830.5		0.102846
830		0.103276
829.5		0.102771
829		0.103121
828.5		0.103334
828		0.102948
827.5		0.103398
827		0.103125
826.5		0.103428
826		0.103267
825.5		0.103264
825		0.103189
824.5		0.103729
824		0.103265
823.5		0.103473
823		0.10338
822.5		0.103417
822		0.103664
821.5		0.103607
821		0.103366
820.5		0.103707
820		0.103802
819.5		0.104269
819		0.103783
818.5		0.103742
818		0.103808
817.5		0.104157
817		0.103867
816.5		0.104061
816		0.104318
815.5		0.10417
815		0.104673
814.5		0.104089
814		0.104403
813.5		0.104406
813		0.10442
812.5		0.104463
812		0.104798
811.5		0.104858
811		0.104897
810.5		0.10508
810		0.104827
809.5		0.104683
809		0.105216
808.5		0.105204
808		0.105392
807.5		0.105028
807		0.105389
806.5		0.105289
806		0.105461
805.5		0.105423
805		0.105423
804.5		0.105605
804		0.10562
803.5		0.105988
803		0.105647
802.5		0.10587
802		0.105898
801.5		0.106265
801		0.10626
800.5		0.106007
800		0.10636
799.5		0.10639
799		0.106718
798.5		0.106523
798		0.106553
797.5		0.106898
797		0.106801
796.5		0.106907
796		0.106949
795.5		0.107384
795		0.107168
794.5		0.107465
794		0.107215
793.5		0.107276
793		0.10772
792.5		0.107574
792		0.107912
791.5		0.107933
791		0.107748
