lambda		value

Calibration:
lambda:	900
Abs:	0

Data:
#
900		0.9756
899.5		1.0396
899		1.0013
898.5		0.9922
898		0.9872
897.5		1.0032
897		0.9902
896.5		0.995
896		1.0036
895.5		0.9934
895		0.9854
894.5		0.9799
894		0.9939
893.5		1.0042
893		0.9768
892.5		0.9936
892		0.9862
891.5		1.0157
891		1.0018
890.5		1.0047
890		1.001
889.5		1.0025
889		0.9825
888.5		1.003
888		0.9948
887.5		0.9763
887		1.0048
886.5		0.9825
886		0.9906
885.5		1.0138
885		1.0183
884.5		0.9985
884		1.0063
883.5		0.9773
883		1.0078
882.5		1.0299
882		1.002
881.5		0.9938
881		0.9916
880.5		0.9999
880		1.0004
879.5		0.99
879		1.0076
878.5		0.9884
878		0.9948
877.5		0.9985
877		0.9904
876.5		1.0082
876		0.9952
875.5		1.0012
875		1.0088
874.5		0.9948
874		0.9935
873.5		1.012
873		0.9975
872.5		1.007
872		0.9984
871.5		0.99
871		0.9948
870.5		0.9979
870		1.0144
869.5		1.0038
869		0.9981
868.5		0.9975
868		1.0099
867.5		1.0049
867		0.9983
866.5		0.9961
866		1.0043
865.5		1.0034
865		1.0026
864.5		0.9945
864		0.9992
863.5		1.0104
863		0.9994
862.5		1.0097
862		1.0018
861.5		1.0037
861		0.997
860.5		1.0102
860		1.0056
859.5		1.0099
859		1.0105
858.5		1.0094
858		1.012
857.5		1.005
857		1.0078
856.5		1.0107
856		1.0126
855.5		1.0147
855		1.0115
854.5		1.0058
854		1.0152
853.5		1.0128
853		1.0143
852.5		1.0119
852		1.0145
851.5		1.0114
851		1.016
850.5		1.0135
850		1.0155
849.5		1.0164
849		1.0189
848.5		1.0154
848		1.0147
847.5		1.0216
847		1.0189
846.5		1.0202
846		1.021
845.5		1.019
845		1.0214
844.5		1.0164
844		1.021
843.5		1.0204
843		1.019
842.5		1.0192
842		1.0186
841.5		1.0197
841		1.0193
840.5		1.0207
840		1.0207
839.5		1.0206
839		1.0209
838.5		1.0204
838		1.018
837.5		1.0215
837		1.0231
836.5		1.0203
836		1.0173
835.5		1.019
835		1.0207
834.5		1.0171
834		1.0192
833.5		1.0177
833		1.0194
832.5		1.0183
832		1.0174
831.5		1.0175
831		1.0192
830.5		1.0186
830		1.0154
829.5		1.0154
829		1.0159
828.5		1.0168
828		1.0157
827.5		1.0152
827		1.017
826.5		1.0131
826		1.0138
825.5		1.016
825		1.0147
824.5		1.015
824		1.016
823.5		1.0138
823		1.0135
822.5		1.0146
822		1.0132
821.5		1.0145
821		1.0159
820.5		1.0141
820		1.013
819.5		1.0148
819		1.014
818.5		1.0149
818		1.0127
817.5		1.013
817		1.0161
816.5		1.0149
816		1.0133
815.5		1.013
815		1.0132
814.5		1.0126
814		1.0141
813.5		1.0118
813		1.0116
812.5		1.0143
812		1.011
811.5		1.014
811		1.0148
810.5		1.0132
810		1.0138
809.5		1.0138
809		1.0126
808.5		1.0146
808		1.0111
807.5		1.0127
807		1.0141
806.5		1.0136
806		1.013
805.5		1.0152
805		1.0154
804.5		1.0136
804		1.0134
803.5		1.0117
803		1.0145
802.5		1.0136
802		1.0127
801.5		1.0153
801		1.0138
800.5		1.0153
800		1.0132
799.5		1.0119
799		1.0142
798.5		1.0132
798		1.0126
797.5		1.0165
797		1.0141
796.5		1.0148
796		1.0156
795.5		1.0141
795		1.0148
794.5		1.0146
794		1.0153
793.5		1.014
793		1.015
792.5		1.015
792		1.0143
791.5		1.015
791		1.0149
790.5		1.0136
790		1.0132
789.5		1.0141
789		1.0146
788.5		1.0163
788		1.0168
787.5		1.0147
787		1.0154
786.5		1.016
786		1.0187
