lambda		value

Calibration:
lambda:	800
Abs:	-0.0006

Data:
#
800		1.72886
799.5		1.72886
799		1.72823
798.5		1.73075
798		1.73594
797.5		1.73791
797		1.73497
796.5		1.73528
796		1.73409
795.5		1.73575
795		1.73871
794.5		1.73969
794		1.73902
793.5		1.73903
793		1.74435
792.5		1.7465
792		1.75058
791.5		1.74369
791		1.7403
790.5		1.7488
790		1.74457
789.5		1.74818
789		1.74741
788.5		1.7555
788		1.75317
787.5		1.75392
787		1.75931
786.5		1.75366
786		1.75202
785.5		1.75856
785		1.75448
784.5		1.75783
784		1.76167
783.5		1.75735
783		1.76831
782.5		1.76386
782		1.76454
781.5		1.76469
781		1.76622
780.5		1.77028
780		1.76886
779.5		1.77142
779		1.77084
778.5		1.77547
778		1.77866
777.5		1.77251
777		1.77604
776.5		1.77929
776		1.7752
775.5		1.78329
775		1.78748
774.5		1.77632
774		1.78966
773.5		1.78926
773		1.78376
772.5		1.79035
772		1.78489
771.5		1.79044
771		1.78883
770.5		1.78983
770		1.79277
769.5		1.79626
769		1.79769
768.5		1.79984
768		1.7955
767.5		1.7995
767		1.79585
766.5		1.80277
766		1.80813
765.5		1.80683
765		1.79851
764.5		1.80998
764		1.80736
763.5		1.8111
763		1.80686
762.5		1.80627
762		1.81126
761.5		1.81159
761		1.8135
760.5		1.8173
760		1.81934
759.5		1.8184
759		1.8175
758.5		1.82092
758		1.82241
757.5		1.81942
757		1.8257
756.5		1.8263
756		1.82702
755.5		1.831
755		1.82489
754.5		1.83027
754		1.82863
753.5		1.83786
753		1.83695
752.5		1.83514
752		1.84034
751.5		1.8346
751		1.83938
750.5		1.84185
750		1.84096
749.5		1.84695
749		1.84136
748.5		1.84641
748		1.85074
747.5		1.84504
747		1.85159
746.5		1.84939
746		1.85272
745.5		1.85737
745		1.85651
744.5		1.85332
744		1.8546
743.5		1.8569
743		1.86221
742.5		1.86085
742		1.86132
741.5		1.86066
741		1.8662
740.5		1.86535
740		1.86449
739.5		1.86918
739		1.86706
738.5		1.87046
738		1.87438
737.5		1.87468
737		1.87002
736.5		1.87557
736		1.87573
735.5		1.87604
735		1.87864
734.5		1.8744
734		1.88089
733.5		1.87984
733		1.8834
732.5		1.88728
732		1.87995
731.5		1.8853
731		1.88617
730.5		1.89183
730		1.89103
729.5		1.88881
729		1.8865
728.5		1.88456
728		1.89051
727.5		1.88685
727		1.89458
726.5		1.89599
726		1.8913
725.5		1.89399
725		1.89052
724.5		1.89263
724		1.89048
723.5		1.89135
723		1.89007
722.5		1.88828
722		1.88699
721.5		1.88743
721		1.87857
720.5		1.88006
720		1.88274
719.5		1.8727
719		1.88207
718.5		1.8735
718		1.87896
717.5		1.88389
717		1.88018
716.5		1.88001
716		1.8864
715.5		1.88934
715		1.89998
714.5		1.90167
714		1.90723
713.5		1.91149
713		1.91529
712.5		1.92161
712		1.92836
711.5		1.93532
711		1.93722
710.5		1.9392
710		1.94506
709.5		1.94788
709		1.95673
708.5		1.95634
708		1.9582
707.5		1.96339
707		1.96356
706.5		1.96307
706		1.97189
705.5		1.97213
705		1.97587
704.5		1.97076
704		1.97674
703.5		1.97795
703		1.97736
702.5		1.98049
702		1.98462
701.5		1.98513
701		1.98433
700.5		1.98886
700		1.99036
699.5		1.99329
699		1.98701
698.5		1.99783
698		2.00335
697.5		1.99616
697		2.00404
696.5		2.00464
696		2.00256
695.5		2.00167
695		2.006
694.5		2.01105
694		2.00897
693.5		2.01282
693		2.01548
692.5		2.01763
692		2.01915
691.5		2.02616
691		2.02188
690.5		2.02824
690		2.0297
689.5		2.02981
689		2.03142
688.5		2.03089
688		2.03926
