lambda		value

Calibration:
lambda:	800
Abs:	-0.0002

Data:
#
900		0.0470047
899.5		0.047797
899		0.0508475
898.5		0.0498452
898		0.0435041
897.5		0.0458399
897		0.0530646
896.5		0.0481989
896		0.0418827
895.5		0.0461599
895		0.0486673
894.5		0.0499247
894		0.0439571
893.5		0.0508631
893		0.052213
892.5		0.0496919
892		0.0459921
891.5		0.0469591
891		0.046434
890.5		0.0482531
890		0.0469073
889.5		0.0501407
889		0.04706
888.5		0.0515517
888		0.0479823
887.5		0.0507042
887		0.0464956
886.5		0.0530732
886		0.0521916
885.5		0.0470939
885		0.0465093
884.5		0.0521677
884		0.0525613
883.5		0.0482469
883		0.0471
882.5		0.0471622
882		0.0495554
881.5		0.0458815
881		0.0502988
880.5		0.0503271
880		0.0501268
879.5		0.049508
879		0.0503955
878.5		0.0493679
878		0.0469691
877.5		0.0490509
877		0.05135
876.5		0.0511736
876		0.0493753
875.5		0.0503349
875		0.0496346
874.5		0.0510276
874		0.0512846
873.5		0.0494015
873		0.049364
872.5		0.0516214
872		0.0492733
871.5		0.050346
871		0.0523973
870.5		0.0501739
870		0.0496248
869.5		0.0514816
869		0.0505949
868.5		0.0496646
868		0.0507883
867.5		0.0506696
867		0.0498352
866.5		0.0501853
866		0.0505875
865.5		0.0511642
865		0.0504075
864.5		0.0510638
864		0.0506632
863.5		0.051323
863		0.0511036
862.5		0.0502297
862		0.0501139
861.5		0.0514047
861		0.0507436
860.5		0.0520405
860		0.05116
859.5		0.0508964
859		0.0513634
858.5		0.0513457
858		0.0510022
857.5		0.051602
857		0.0521247
856.5		0.0514167
856		0.0518232
855.5		0.0514699
855		0.0516302
854.5		0.0514546
854		0.0517395
853.5		0.0519687
853		0.052642
852.5		0.0519212
852		0.0519352
851.5		0.0525218
851		0.0522366
850.5		0.0521318
850		0.0522721
849.5		0.0520237
849		0.0523664
848.5		0.0523571
848		0.0524082
847.5		0.0527251
847		0.0529952
846.5		0.0527301
846		0.0530318
845.5		0.0529388
845		0.053058
844.5		0.0530109
844		0.0533333
843.5		0.0529007
843		0.0533175
842.5		0.0534796
842		0.0534411
841.5		0.0541316
841		0.0535044
840.5		0.0537921
840		0.0532398
839.5		0.053686
839		0.0536209
838.5		0.0537337
838		0.0540648
837.5		0.0545005
837		0.0536634
836.5		0.0542605
836		0.0540113
835.5		0.0540487
835		0.0541667
834.5		0.0545075
834		0.0546953
833.5		0.0545581
833		0.0546953
832.5		0.0543629
832		0.0546883
831.5		0.0546611
831		0.0547932
830.5		0.0549078
830		0.0549035
829.5		0.0551793
829		0.0547224
828.5		0.0552954
828		0.0552624
827.5		0.0555168
827		0.0552013
826.5		0.0555611
826		0.0554669
825.5		0.0557936
825		0.0554779
824.5		0.0557773
824		0.0557053
823.5		0.0561495
823		0.0557829
822.5		0.0561281
822		0.0557495
821.5		0.0563155
821		0.0563099
820.5		0.0562089
820		0.0561932
819.5		0.056583
819		0.0565057
818.5		0.0565925
818		0.056734
817.5		0.0566359
817		0.0565717
816.5		0.0570373
816		0.056969
815.5		0.0567242
815		0.0570571
814.5		0.0574828
814		0.0574057
813.5		0.057523
813		0.0575885
812.5		0.0573484
812		0.057577
811.5		0.0577346
811		0.0575712
810.5		0.0576789
810		0.058071
809.5		0.0579378
809		0.0580232
808.5		0.0584117
808		0.0584
807.5		0.0586352
807		0.0584825
806.5		0.0584409
806		0.058747
805.5		0.0584474
805		0.058959
804.5		0.0587589
804		0.0587354
803.5		0.0592355
803		0.0591172
802.5		0.0589882
802		0.0591639
801.5		0.0593584
801		0.0595012
800.5		0.059105
800		0.0594881
799.5		0.0595881
799		0.0596628
