lambda		value

Calibration:
lambda:	800
Abs:	-0.0004

Data:
#
900		0.269073
899.5		0.254376
899		0.281017
898.5		0.270149
898		0.249407
897.5		0.274591
897		0.278121
896.5		0.265603
896		0.253539
895.5		0.257168
895		0.265792
894.5		0.261324
894		0.266739
893.5		0.26279
893		0.271158
892.5		0.262103
892		0.278929
891.5		0.258274
891		0.273389
890.5		0.264838
890		0.266051
889.5		0.27386
889		0.272472
888.5		0.272858
888		0.264853
887.5		0.273184
887		0.268752
886.5		0.271478
886		0.273848
885.5		0.269792
885		0.264058
884.5		0.273749
884		0.276404
883.5		0.273644
883		0.279354
882.5		0.271405
882		0.265908
881.5		0.265052
881		0.273949
880.5		0.272416
880		0.275439
879.5		0.275789
879		0.272405
878.5		0.269663
878		0.270821
877.5		0.271474
877		0.274931
876.5		0.277671
876		0.272416
875.5		0.278308
875		0.276233
874.5		0.274016
874		0.278835
873.5		0.277688
873		0.275232
872.5		0.276841
872		0.272094
871.5		0.280156
871		0.281756
870.5		0.271084
870		0.274282
869.5		0.277107
869		0.277917
868.5		0.277305
868		0.277235
867.5		0.280276
867		0.275287
866.5		0.278818
866		0.277678
865.5		0.277051
865		0.282467
864.5		0.275749
864		0.27939
863.5		0.283418
863		0.282803
862.5		0.282748
862		0.279038
861.5		0.280478
861		0.286016
860.5		0.285313
860		0.279738
859.5		0.281916
859		0.281451
858.5		0.283587
858		0.282837
857.5		0.286399
857		0.282509
856.5		0.28338
856		0.287993
855.5		0.285106
855		0.285247
854.5		0.284923
854		0.285106
853.5		0.286564
853		0.285559
852.5		0.285165
852		0.287562
851.5		0.287671
851		0.286702
850.5		0.28741
850		0.287241
849.5		0.288097
849		0.288551
848.5		0.288104
848		0.288534
847.5		0.290622
847		0.289393
846.5		0.287741
846		0.291173
845.5		0.293035
845		0.290625
844.5		0.291157
844		0.291103
843.5		0.290798
843		0.292399
842.5		0.29235
842		0.291897
841.5		0.293955
841		0.292637
840.5		0.293821
840		0.293601
839.5		0.294327
839		0.294164
838.5		0.294786
838		0.295515
837.5		0.296677
837		0.297565
836.5		0.297332
836		0.29552
835.5		0.297308
835		0.297362
834.5		0.298094
834		0.29873
833.5		0.298126
833		0.298531
832.5		0.299583
832		0.299831
831.5		0.29998
831		0.300557
830.5		0.302082
830		0.302108
829.5		0.301434
829		0.301758
828.5		0.303317
828		0.302738
827.5		0.303438
827		0.303845
826.5		0.303534
826		0.304309
825.5		0.304512
825		0.305766
824.5		0.305367
824		0.306118
823.5		0.306763
823		0.306595
822.5		0.306792
822		0.307807
821.5		0.307577
821		0.307347
820.5		0.308489
820		0.308452
819.5		0.310345
819		0.309769
818.5		0.30975
818		0.311224
817.5		0.311686
817		0.311482
816.5		0.311395
816		0.311721
815.5		0.311472
815		0.313251
814.5		0.313443
814		0.313969
813.5		0.315163
813		0.314574
812.5		0.314254
812		0.315411
811.5		0.315826
811		0.316578
810.5		0.315774
810		0.316978
809.5		0.317149
809		0.318564
808.5		0.318
808		0.319836
807.5		0.319728
807		0.31984
806.5		0.32016
806		0.320392
805.5		0.321147
805		0.322158
804.5		0.32171
804		0.321782
803.5		0.322929
803		0.323482
802.5		0.32397
802		0.324289
801.5		0.324608
801		0.325989
800.5		0.325262
800		0.326569
799.5		0.327169
799		0.327282
798.5		0.327939
798		0.328339
797.5		0.329528
797		0.329205
796.5		0.329373
796		0.329709
795.5		0.330971
795		0.331801
794.5		0.331102
794		0.331803
793.5		0.332336
793		0.333067
792.5		0.333866
792		0.334534
791.5		0.333932
791		0.333565
790.5		0.334797
790		0.335359
789.5		0.337696
789		0.33646
788.5		0.338697
788		0.336958
