lambda		value

Calibration:
lambda:	800
Abs:	-0.0004

Data:
#
900		0.265273
899.5		0.267257
899		0.268913
898.5		0.258364
898		0.26038
897.5		0.240883
897		0.273802
896.5		0.278187
896		0.270489
895.5		0.272584
895		0.257896
894.5		0.262629
894		0.269885
893.5		0.274913
893		0.282352
892.5		0.269829
892		0.27236
891.5		0.276715
891		0.26287
890.5		0.265339
890		0.25789
889.5		0.264215
889		0.269262
888.5		0.276673
888		0.270072
887.5		0.260913
887		0.269049
886.5		0.277037
886		0.268753
885.5		0.268004
885		0.265533
884.5		0.269091
884		0.269322
883.5		0.268151
883		0.281102
882.5		0.275848
882		0.269004
881.5		0.268809
881		0.26419
880.5		0.272517
880		0.273511
879.5		0.277209
879		0.273013
878.5		0.272673
878		0.268714
877.5		0.272972
877		0.274931
876.5		0.279384
876		0.274028
875.5		0.273843
875		0.276943
874.5		0.276141
874		0.272388
873.5		0.278296
873		0.283004
872.5		0.279063
872		0.278165
871.5		0.27424
871		0.275991
870.5		0.270587
870		0.274682
869.5		0.275312
869		0.275917
868.5		0.274702
868		0.279429
867.5		0.278078
867		0.278183
866.5		0.281923
866		0.278176
865.5		0.279448
865		0.281259
864.5		0.27664
864		0.278991
863.5		0.278027
863		0.279324
862.5		0.279752
862		0.27983
861.5		0.280777
861		0.282801
860.5		0.285313
860		0.279639
859.5		0.28341
859		0.281055
858.5		0.282594
858		0.28502
857.5		0.286997
857		0.283502
856.5		0.282389
856		0.284327
855.5		0.284018
855		0.284157
854.5		0.284032
854		0.283223
853.5		0.285176
853		0.286847
852.5		0.285461
852		0.287759
851.5		0.287175
851		0.286702
850.5		0.286816
850		0.287934
849.5		0.28711
849		0.287859
848.5		0.288301
848		0.28952
847.5		0.289339
847		0.288505
846.5		0.288924
846		0.289889
845.5		0.290067
845		0.291317
844.5		0.291354
844		0.291794
843.5		0.288734
843		0.292201
842.5		0.292449
842		0.292094
841.5		0.292965
841		0.291848
840.5		0.293524
840		0.293206
839.5		0.292452
839		0.293867
838.5		0.293996
838		0.295515
837.5		0.294403
837		0.295486
836.5		0.296142
836		0.295421
835.5		0.295625
835		0.298254
834.5		0.297896
834		0.298035
833.5		0.297828
833		0.298233
832.5		0.299483
832		0.298737
831.5		0.299384
831		0.301054
830.5		0.301684
830		0.300617
829.5		0.301832
829		0.300566
828.5		0.300926
828		0.301344
827.5		0.302541
827		0.302451
826.5		0.302837
826		0.303611
825.5		0.304413
825		0.305367
824.5		0.305267
824		0.304921
823.5		0.306363
823		0.305398
822.5		0.307392
822		0.30701
821.5		0.306778
821		0.307746
820.5		0.307194
820		0.308452
819.5		0.307846
819		0.308769
818.5		0.308951
818		0.310124
817.5		0.310784
817		0.310083
816.5		0.310197
816		0.310723
815.5		0.311173
815		0.31275
814.5		0.312144
814		0.311869
813.5		0.312763
813		0.314274
812.5		0.314055
812		0.314911
811.5		0.314826
811		0.315579
810.5		0.315674
810		0.316379
809.5		0.316251
809		0.317363
808.5		0.3177
808		0.318836
807.5		0.319528
807		0.31914
806.5		0.32026
806		0.321493
805.5		0.321047
805		0.321657
804.5		0.321211
804		0.322181
803.5		0.323029
803		0.322384
802.5		0.323471
802		0.323192
801.5		0.323509
801		0.324286
800.5		0.324664
800		0.326369
799.5		0.32597
799		0.326284
798.5		0.326141
798		0.326541
797.5		0.328627
797		0.328006
796.5		0.328774
796		0.328911
795.5		0.329374
795		0.331201
794.5		0.330802
794		0.331304
793.5		0.331239
793		0.332567
792.5		0.332867
792		0.334134
791.5		0.332934
791		0.333665
790.5		0.334598
790		0.333665
789.5		0.336297
789		0.335961
788.5		0.337198
788		0.337756
