lambda		value

Calibration:
lambda:	800
Abs:	0.0001

Data:
#
900		0.496899
899.5		0.475061
899		0.468463
898.5		0.479916
898		0.479478
897.5		0.484568
897		0.503755
896.5		0.513973
896		0.498155
895.5		0.469889
895		0.488496
894.5		0.481009
894		0.478359
893.5		0.519169
893		0.495081
892.5		0.470254
892		0.483215
891.5		0.476414
891		0.488059
890.5		0.494592
890		0.488786
889.5		0.49211
889		0.474556
888.5		0.50196
888		0.4878
887.5		0.500855
887		0.489681
886.5		0.503286
886		0.504742
885.5		0.483602
885		0.48264
884.5		0.491742
884		0.504005
883.5		0.481215
883		0.507458
882.5		0.490049
882		0.488407
881.5		0.469139
881		0.495168
880.5		0.485803
880		0.478583
879.5		0.493708
879		0.487575
878.5		0.491218
878		0.487501
877.5		0.486959
877		0.501936
876.5		0.494962
876		0.492894
875.5		0.498731
875		0.494974
874.5		0.494531
874		0.496271
873.5		0.493557
873		0.491568
872.5		0.495049
872		0.483322
871.5		0.49368
871		0.495902
870.5		0.484596
870		0.494195
869.5		0.485429
869		0.489198
868.5		0.492588
868		0.485577
867.5		0.488853
867		0.487812
866.5		0.491483
866		0.49487
865.5		0.495902
865		0.495169
864.5		0.485646
864		0.493216
863.5		0.49131
863		0.490204
862.5		0.492458
862		0.489102
861.5		0.492277
861		0.495628
860.5		0.497593
860		0.490826
859.5		0.493474
859		0.488395
858.5		0.491357
858		0.492109
857.5		0.496605
857		0.493098
856.5		0.488951
856		0.491922
855.5		0.490297
855		0.492565
854.5		0.493319
854		0.493456
853.5		0.490079
853		0.49405
852.5		0.490391
852		0.495605
851.5		0.495878
851		0.488443
850.5		0.494855
850		0.493761
849.5		0.491853
849		0.494465
848.5		0.490352
848		0.492842
847.5		0.491951
847		0.494867
846.5		0.493049
846		0.494814
845.5		0.494507
845		0.495157
844.5		0.493038
844		0.495357
843.5		0.493066
843		0.492642
842.5		0.495006
842		0.495019
841.5		0.496535
841		0.494816
840.5		0.496142
840		0.494022
839.5		0.495064
839		0.496883
838.5		0.496789
838		0.496236
837.5		0.496784
837		0.495692
836.5		0.496031
836		0.497031
835.5		0.496089
835		0.497668
834.5		0.497865
834		0.497468
833.5		0.497122
833		0.496177
832.5		0.497664
832		0.499503
831.5		0.497863
831		0.498458
830.5		0.499203
830		0.498557
829.5		0.499253
829		0.497814
828.5		0.498206
828		0.499004
827.5		0.499701
827		0.499651
826.5		0.499004
826		0.498753
825.5		0.498206
825		0.502046
824.5		0.498553
824		0.499601
823.5		0.500899
823		0.499002
822.5		0.5006
822		0.499302
821.5		0.5
821		0.499151
820.5		0.499551
820		0.500699
819.5		0.502
819		0.5004
818.5		0.5001
818		0.501351
817.5		0.501955
817		0.5012
816.5		0.5004
816		0.499401
815.5		0.499601
815		0.500951
814.5		0.5003
814		0.502001
813.5		0.501951
813		0.50105
812.5		0.502199
812		0.50095
811.5		0.502452
811		0.5015
810.5		0.499501
810		0.5012
809.5		0.500349
809		0.501051
808.5		0.501751
808		0.501851
807.5		0.502352
807		0.5021
806.5		0.502503
806		0.503654
805.5		0.500899
805		0.503054
804.5		0.501899
804		0.502698
803.5		0.501852
803		0.501948
802.5		0.50245
802		0.502196
801.5		0.502599
801		0.503307
800.5		0.501795
800		0.50335
799.5		0.50335
799		0.502096
798.5		0.503098
798		0.503498
797.5		0.504809
797		0.502848
796.5		0.502847
796		0.503943
795.5		0.503196
795		0.50345
794.5		0.504498
794		0.503945
793.5		0.502944
793		0.50475
792.5		0.502749
792		0.504706
791.5		0.503791
791		0.50214
790.5		0.504644
790		0.502143
789.5		0.505198
789		0.504143
788.5		0.50445
788		0.504291
