lambda		value

Calibration:
lambda:	800
Abs:	-0.0003

Data:
#
900		0.2529
899.5		0.233651
899		0.235852
898.5		0.238514
898		0.244785
897.5		0.24899
897		0.245141
896.5		0.244449
896		0.245987
895.5		0.245311
895		0.241536
894.5		0.250804
894		0.241101
893.5		0.258091
893		0.254551
892.5		0.239632
892		0.248029
891.5		0.249826
891		0.260368
890.5		0.251752
890		0.248181
889.5		0.245755
889		0.257851
888.5		0.25134
888		0.260062
887.5		0.24917
887		0.243707
886.5		0.26261
886		0.260218
885.5		0.252335
885		0.244814
884.5		0.250988
884		0.255286
883.5		0.248901
883		0.259434
882.5		0.256387
882		0.255445
881.5		0.247973
881		0.251569
880.5		0.25
880		0.253754
879.5		0.260803
879		0.257731
878.5		0.253537
878		0.245559
877.5		0.264409
877		0.258456
876.5		0.257151
876		0.261662
875.5		0.259767
875		0.259616
874.5		0.256125
874		0.260427
873.5		0.261588
873		0.257697
872.5		0.259293
872		0.252314
871.5		0.260128
871		0.262769
870.5		0.255613
870		0.259704
869.5		0.253492
869		0.255349
868.5		0.261013
868		0.258805
867.5		0.260218
867		0.260535
866.5		0.260216
866		0.256895
865.5		0.260492
865		0.265392
864.5		0.258361
864		0.261268
863.5		0.260284
863		0.260165
862.5		0.263904
862		0.25916
861.5		0.263871
861		0.264342
860.5		0.264087
860		0.260533
859.5		0.264715
859		0.265021
858.5		0.264151
858		0.263915
857.5		0.266068
857		0.265065
856.5		0.263596
856		0.267116
855.5		0.264153
855		0.265953
854.5		0.26546
854		0.267195
853.5		0.266263
853		0.267248
852.5		0.264703
852		0.266858
851.5		0.268837
851		0.267773
850.5		0.269139
850		0.268561
849.5		0.269371
849		0.268326
848.5		0.26668
848		0.268134
847.5		0.268832
847		0.270476
846.5		0.270326
846		0.271453
845.5		0.272089
845		0.270599
844.5		0.270951
844		0.271677
843.5		0.271261
843		0.272287
842.5		0.272314
842		0.272109
841.5		0.273798
841		0.272727
840.5		0.273977
840		0.274173
839.5		0.274521
839		0.275002
838.5		0.274568
838		0.275644
837.5		0.275047
837		0.275616
836.5		0.276731
836		0.275964
835.5		0.276848
835		0.277155
834.5		0.278864
834		0.278511
833.5		0.278318
833		0.279603
832.5		0.278843
832		0.279877
831.5		0.280235
831		0.279706
830.5		0.280789
830		0.280855
829.5		0.281645
829		0.281033
828.5		0.281929
828		0.281959
827.5		0.282739
827		0.282754
826.5		0.283055
826		0.284289
825.5		0.283921
825		0.284745
824.5		0.285044
824		0.285486
823.5		0.285714
823		0.285272
822.5		0.286315
822		0.2856
821.5		0.28744
821		0.286912
820.5		0.287195
820		0.287725
819.5		0.288685
819		0.2884
818.5		0.288922
818		0.290045
817.5		0.290268
817		0.290026
816.5		0.291151
816		0.290403
815.5		0.290371
815		0.292163
814.5		0.291883
814		0.292
813.5		0.293488
813		0.293112
812.5		0.293806
812		0.293753
811.5		0.295148
811		0.295223
810.5		0.295151
810		0.295922
809.5		0.295742
809		0.297189
808.5		0.29773
808		0.29827
807.5		0.298049
807		0.297981
806.5		0.29938
806		0.29971
805.5		0.2996
805		0.30027
804.5		0.301059
804		0.300839
803.5		0.301251
803		0.302946
802.5		0.302409
802		0.302275
801.5		0.303657
801		0.303686
800.5		0.303468
800		0.304709
799.5		0.305508
799		0.304968
798.5		0.305095
798		0.306693
797.5		0.307731
797		0.307262
796.5		0.307738
796		0.307094
795.5		0.309044
795		0.309145
794.5		0.310552
794		0.310273
793.5		0.310424
793		0.311706
792.5		0.311819
792		0.313651
791.5		0.312425
791		0.312407
790.5		0.314366
790		0.31288
789.5		0.315048
789		0.314839
788.5		0.316642
788		0.316241
