lambda		value

Calibration:
lambda:	800
Abs:	0.0005

Data:
#
900		0.193555
899.5		0.1739
899		0.188894
898.5		0.187425
898		0.179381
897.5		0.186347
897		0.197283
896.5		0.196928
896		0.185111
895.5		0.173956
895		0.187593
894.5		0.194109
894		0.177918
893.5		0.200514
893		0.2
892.5		0.185298
892		0.186931
891.5		0.182281
891		0.193258
890.5		0.186135
890		0.177819
889.5		0.189744
889		0.184758
888.5		0.190157
888		0.18885
887.5		0.187657
887		0.185617
886.5		0.189074
886		0.188718
885.5		0.190793
885		0.188822
884.5		0.193107
884		0.193959
883.5		0.187525
883		0.195739
882.5		0.187266
882		0.185863
881.5		0.189293
881		0.188677
880.5		0.193997
880		0.196284
879.5		0.200711
879		0.194013
878.5		0.191184
878		0.193331
877.5		0.192442
877		0.198613
876.5		0.195363
876		0.198548
875.5		0.197725
875		0.197461
874.5		0.193313
874		0.195806
873.5		0.196021
873		0.197192
872.5		0.196118
872		0.193246
871.5		0.197009
871		0.19921
870.5		0.198548
870		0.195535
869.5		0.198183
869		0.197218
868.5		0.197996
868		0.198902
867.5		0.19772
867		0.19928
866.5		0.196672
866		0.199502
865.5		0.1997
865		0.201269
864.5		0.197564
864		0.199202
863.5		0.201039
863		0.202268
862.5		0.201059
862		0.199802
861.5		0.200977
861		0.204022
860.5		0.204997
860		0.202203
859.5		0.201635
859		0.204902
858.5		0.203836
858		0.203455
857.5		0.203356
857		0.202881
856.5		0.202934
856		0.204958
855.5		0.205923
855		0.20716
854.5		0.206654
854		0.206606
853.5		0.204843
853		0.206944
852.5		0.206152
852		0.207983
851.5		0.209538
851		0.207806
850.5		0.209265
850		0.20953
849.5		0.207942
849		0.209314
848.5		0.209179
848		0.208889
847.5		0.210355
847		0.210843
846.5		0.21008
846		0.213262
845.5		0.212298
845		0.213466
844.5		0.212882
844		0.212789
843.5		0.211748
843		0.213615
842.5		0.215155
842		0.2148
841.5		0.215389
841		0.215648
840.5		0.215713
840		0.215973
839.5		0.215287
839		0.21681
838.5		0.216072
838		0.217004
837.5		0.217163
837		0.218072
836.5		0.218781
836		0.216888
835.5		0.21892
835		0.219597
834.5		0.220268
834		0.221218
833.5		0.22166
833		0.221119
832.5		0.220985
832		0.221493
831.5		0.222079
831		0.22251
830.5		0.223973
830		0.224047
829.5		0.225556
829		0.223713
828.5		0.224726
828		0.22509
827.5		0.225613
827		0.226643
826.5		0.226385
826		0.226914
825.5		0.22672
825		0.227459
824.5		0.227858
824		0.228571
823.5		0.228954
823		0.22858
822.5		0.229475
822		0.229741
821.5		0.230815
821		0.230592
820.5		0.230677
820		0.230823
819.5		0.231893
819		0.233387
818.5		0.231922
818		0.233904
817.5		0.234527
817		0.234747
816.5		0.234306
816		0.235024
815.5		0.235036
815		0.236302
814.5		0.236094
814		0.23719
813.5		0.237661
813		0.237419
812.5		0.237852
812		0.238772
811.5		0.23881
811		0.239248
810.5		0.239365
810		0.240648
809.5		0.239996
809		0.242266
808.5		0.241818
808		0.24227
807.5		0.243216
807		0.243297
806.5		0.243641
806		0.244967
805.5		0.244651
805		0.245417
804.5		0.2456
804		0.245802
803.5		0.247221
803		0.246428
802.5		0.246923
802		0.248003
801.5		0.2485
801		0.25
800.5		0.248953
800		0.249825
799.5		0.250725
799		0.250998
798.5		0.25115
798		0.25145
797.5		0.252656
797		0.252824
796.5		0.253323
796		0.25342
795.5		0.253946
795		0.255077
794.5		0.2553
794		0.25557
793.5		0.256165
793		0.256828
792.5		0.257874
792		0.258413
791.5		0.258782
791		0.258389
790.5		0.259367
790		0.260094
789.5		0.2604
789		0.260761
788.5		0.261979
788		0.261482
