lambda		value

Calibration:
lambda:	800
Abs:	0.0003

Data:
#
900		0.327496
899.5		0.330316
899		0.336933
898.5		0.336298
898		0.33673
897.5		0.321827
897		0.351065
896.5		0.355995
896		0.329642
895.5		0.32318
895		0.337481
894.5		0.33799
894		0.339433
893.5		0.345327
893		0.355423
892.5		0.323449
892		0.348402
891.5		0.333167
891		0.329757
890.5		0.343049
890		0.321921
889.5		0.340605
889		0.332095
888.5		0.344956
888		0.333835
887.5		0.338198
887		0.335407
886.5		0.325377
886		0.345844
885.5		0.334294
885		0.323561
884.5		0.342353
884		0.347781
883.5		0.335699
883		0.349007
882.5		0.334849
882		0.330468
881.5		0.330728
881		0.332735
880.5		0.342296
880		0.340102
879.5		0.341454
879		0.345846
878.5		0.342737
878		0.340998
877.5		0.33913
877		0.345056
876.5		0.342874
876		0.333401
875.5		0.349782
875		0.34508
874.5		0.339242
874		0.339012
873.5		0.349234
873		0.337542
872.5		0.338185
872		0.338114
871.5		0.341361
871		0.339945
870.5		0.331809
870		0.340941
869.5		0.338491
869		0.338735
868.5		0.341415
868		0.338225
867.5		0.335766
867		0.343425
866.5		0.343155
866		0.336854
865.5		0.338332
865		0.343668
864.5		0.33505
864		0.340152
863.5		0.34046
863		0.340396
862.5		0.341692
862		0.337396
861.5		0.338782
861		0.343621
860.5		0.342697
860		0.33945
859.5		0.338117
859		0.338492
858.5		0.340918
858		0.338727
857.5		0.344318
857		0.340419
856.5		0.341659
856		0.340736
855.5		0.339473
855		0.341166
854.5		0.339867
854		0.34044
853.5		0.339849
853		0.341301
852.5		0.340069
852		0.341203
851.5		0.344393
851		0.341237
850.5		0.340855
850		0.343601
849.5		0.341235
849		0.342626
848.5		0.339996
848		0.342648
847.5		0.342586
847		0.34143
846.5		0.341288
846		0.343543
845.5		0.344223
845		0.343812
844.5		0.341531
844		0.342391
843.5		0.341859
843		0.343969
842.5		0.343982
842		0.343494
841.5		0.345149
841		0.343111
840.5		0.344579
840		0.343512
839.5		0.343799
839		0.343858
838.5		0.34203
838		0.344957
837.5		0.34379
837		0.344923
836.5		0.34468
836		0.344418
835.5		0.344855
835		0.345112
834.5		0.345783
834		0.345019
833.5		0.345375
833		0.345913
832.5		0.345829
832		0.346299
831.5		0.344834
831		0.347329
830.5		0.347757
830		0.346801
829.5		0.347285
829		0.345588
828.5		0.346591
828		0.346683
827.5		0.347228
827		0.34832
826.5		0.345786
826		0.347739
825.5		0.347787
825		0.348408
824.5		0.348607
824		0.348781
823.5		0.347961
823		0.348842
822.5		0.35005
822		0.348433
821.5		0.34975
821		0.348816
820.5		0.348689
820		0.349611
819.5		0.34957
819		0.35061
818.5		0.349411
818		0.350686
817.5		0.351018
817		0.3505
816.5		0.351089
816		0.350369
815.5		0.349591
815		0.351627
814.5		0.35097
814		0.351611
813.5		0.351416
813		0.351706
812.5		0.351759
812		0.352435
811.5		0.353689
811		0.3522
810.5		0.352037
810		0.3528
809.5		0.353088
809		0.353718
808.5		0.353848
808		0.354277
807.5		0.35449
807		0.353771
806.5		0.355326
806		0.355662
805.5		0.354558
805		0.355734
804.5		0.355029
804		0.354587
803.5		0.355491
803		0.354681
802.5		0.356707
802		0.356059
801.5		0.356429
801		0.357887
800.5		0.356103
800		0.357807
799.5		0.358007
799		0.357457
798.5		0.358457
798		0.358357
797.5		0.358918
797		0.358621
796.5		0.358577
796		0.359788
795.5		0.359169
795		0.359536
794.5		0.359528
794		0.360304
793.5		0.359617
793		0.360308
792.5		0.361192
792		0.361206
791.5		0.360407
791		0.360577
790.5		0.362301
790		0.361607
789.5		0.363527
789		0.362956
788.5		0.363936
788		0.362547
