lambda		value

Calibration:
lambda:	800
Abs:	0.0005

Data:
#
900		0.334067
899.5		0.333038
899		0.357698
898.5		0.326369
898		0.337192
897.5		0.316168
897		0.351549
896.5		0.347977
896		0.331204
895.5		0.327568
895		0.333004
894.5		0.339968
894		0.336253
893.5		0.341285
893		0.350785
892.5		0.320478
892		0.343314
891.5		0.331637
891		0.343491
890.5		0.338609
890		0.33704
889.5		0.334942
889		0.323727
888.5		0.337185
888		0.332195
887.5		0.337964
887		0.336165
886.5		0.331614
886		0.345506
885.5		0.335951
885		0.334252
884.5		0.335631
884		0.354017
883.5		0.343762
883		0.346712
882.5		0.331986
882		0.333833
881.5		0.335939
881		0.334795
880.5		0.340048
880		0.339663
879.5		0.338477
879		0.339219
878.5		0.341299
878		0.33494
877.5		0.3335
877		0.341252
876.5		0.334879
876		0.3373
875.5		0.338479
875		0.346775
874.5		0.335157
874		0.336459
873.5		0.341184
873		0.338115
872.5		0.335625
872		0.340771
871.5		0.339322
871		0.336977
870.5		0.331875
870		0.335803
869.5		0.334365
869		0.340704
868.5		0.343587
868		0.336795
867.5		0.338634
867		0.335799
866.5		0.340718
866		0.335625
865.5		0.3361
865		0.337294
864.5		0.336304
864		0.334631
863.5		0.336331
863		0.337479
862.5		0.340961
862		0.332706
861.5		0.337653
861		0.338059
860.5		0.341561
860		0.337037
859.5		0.33948
859		0.336475
858.5		0.336911
858		0.33661
857.5		0.338094
857		0.337109
856.5		0.336473
856		0.33763
855.5		0.33746
855		0.335383
854.5		0.334786
854		0.338326
853.5		0.337832
853		0.339286
852.5		0.335404
852		0.336528
851.5		0.339394
851		0.338043
850.5		0.339735
850		0.338023
849.5		0.337647
849		0.338541
848.5		0.336419
848		0.336099
847.5		0.338306
847		0.338337
846.5		0.337706
846		0.338867
845.5		0.33835
845		0.338343
844.5		0.338338
844		0.338802
843.5		0.337794
843		0.339295
842.5		0.338016
842		0.338727
841.5		0.339968
841		0.341104
840.5		0.338611
840		0.340417
839.5		0.338633
839		0.340263
838.5		0.340417
838		0.339576
837.5		0.339998
837		0.340038
836.5		0.341275
836		0.339735
835.5		0.339376
835		0.341308
834.5		0.340288
834		0.340618
833.5		0.340778
833		0.341413
832.5		0.341522
832		0.342189
831.5		0.342715
831		0.341726
830.5		0.342441
830		0.341097
829.5		0.342271
829		0.342377
828.5		0.342672
828		0.342467
827.5		0.343008
827		0.342307
826.5		0.342069
826		0.343716
825.5		0.342373
825		0.344084
824.5		0.343585
824		0.343357
823.5		0.344031
823		0.343319
822.5		0.344914
822		0.344012
821.5		0.344325
821		0.343591
820.5		0.343173
820		0.343887
819.5		0.343938
819		0.344776
818.5		0.344886
818		0.344648
817.5		0.346173
817		0.344269
816.5		0.345062
816		0.344848
815.5		0.344074
815		0.345788
814.5		0.345538
814		0.346777
813.5		0.346181
813		0.345873
812.5		0.345331
812		0.346504
811.5		0.346551
811		0.346569
810.5		0.345217
810		0.347369
809.5		0.345973
809		0.348083
808.5		0.348113
808		0.347443
807.5		0.347752
807		0.348639
806.5		0.349089
806		0.348122
805.5		0.34883
805		0.349594
804.5		0.3482
804		0.34906
803.5		0.349454
803		0.348256
802.5		0.349775
802		0.349341
801.5		0.3497
801		0.350942
800.5		0.349192
800		0.351676
799.5		0.350875
799		0.350339
798.5		0.34943
798		0.35143
797.5		0.352876
797		0.351894
796.5		0.351654
796		0.350774
795.5		0.351948
795		0.352306
794.5		0.3526
794		0.353182
793.5		0.352002
793		0.353577
792.5		0.353565
792		0.353966
791.5		0.353693
791		0.352683
790.5		0.353682
790		0.353105
789.5		0.3548
789		0.355038
788.5		0.355107
788		0.355032
