lambda		value

Calibration:
lambda:	800
Abs:	-0.0001

Data:
#
800		0.0490951
799.5		0.0490951
799		0.0489922
798.5		0.0492606
798		0.0494604
797.5		0.0494792
797		0.0494555
796.5		0.0496355
796		0.0496956
795.5		0.0497204
795		0.049985
794.5		0.0501699
794		0.0502247
793.5		0.0500848
793		0.050495
792.5		0.0503647
792		0.0505506
791.5		0.050369
791		0.0505523
790.5		0.0507239
790		0.0506127
789.5		0.0510694
789		0.0508035
788.5		0.0514846
788		0.0511874
787.5		0.0512974
787		0.0514588
786.5		0.0516657
786		0.0514735
785.5		0.0518482
785		0.0517567
784.5		0.0519908
784		0.0523795
783.5		0.0522433
783		0.052379
782.5		0.0524793
782		0.0522172
781.5		0.0526946
781		0.0528415
780.5		0.0526473
780		0.0528309
779.5		0.0530832
779		0.0532775
778.5		0.0533971
778		0.0534145
777.5		0.0533652
777		0.0537013
776.5		0.0537334
776		0.0537634
775.5		0.0537313
775		0.0541296
774.5		0.0540084
774		0.0547343
773.5		0.054531
773		0.0543608
772.5		0.0547576
772		0.0546992
771.5		0.054785
771		0.0549582
770.5		0.0548313
770		0.0551236
769.5		0.0555943
769		0.0554836
768.5		0.0556385
768		0.0557269
767.5		0.0557769
767		0.055887
766.5		0.0559817
766		0.0563422
765.5		0.0559872
765		0.0561787
764.5		0.0567242
764		0.0567446
763.5		0.0568465
763		0.0569583
762.5		0.0569721
762		0.0571372
761.5		0.0572053
761		0.057453
760.5		0.0575468
760		0.0577919
759.5		0.0579104
759		0.0578471
758.5		0.0580979
758		0.0580344
757.5		0.0582679
757		0.0584609
756.5		0.0584261
756		0.0586186
755.5		0.0586831
755		0.0588645
754.5		0.0590927
754		0.0592027
753.5		0.0595499
753		0.0596198
752.5		0.0594836
752		0.059841
751.5		0.0596512
751		0.0598291
750.5		0.0604887
750		0.0603894
749.5		0.0604554
749		0.060573
748.5		0.0606934
748		0.0609041
747.5		0.0608437
747		0.0613625
746.5		0.0611678
746		0.0615064
745.5		0.0615262
745		0.0618117
744.5		0.0616758
744		0.0617944
743.5		0.0622645
743		0.0622831
742.5		0.0623699
742		0.0624381
741.5		0.0626733
741		0.0626733
740.5		0.0631005
740		0.0631371
739.5		0.0632623
739		0.06339
738.5		0.0637119
738		0.0637308
737.5		0.0636804
737		0.0640316
736.5		0.0641241
736		0.0642419
735.5		0.0643823
735		0.0646117
734.5		0.0644081
734		0.0648121
733.5		0.0650888
733		0.0654768
732.5		0.0653415
732		0.0652131
731.5		0.06573
731		0.0655802
730.5		0.0660572
730		0.0657843
729.5		0.066255
729		0.0663146
728.5		0.0664325
728		0.0667448
727.5		0.0665823
727		0.0671605
726.5		0.0672318
726		0.0674234
725.5		0.0676371
725		0.0675375
724.5		0.0680436
724		0.0679761
723.5		0.0681097
723		0.0682342
722.5		0.0683843
722		0.0687321
721.5		0.0686769
721		0.0686488
720.5		0.0685941
720		0.0691414
719.5		0.0693153
719		0.0695333
718.5		0.0698829
718		0.0698285
717.5		0.0701294
717		0.0701442
716.5		0.0707525
716		0.070671
715.5		0.0709247
715		0.0716652
714.5		0.0715981
714		0.071585
713.5		0.0717425
713		0.07201
712.5		0.0726574
712		0.0723449
711.5		0.0729348
711		0.0732771
710.5		0.0729764
710		0.0736112
709.5		0.0735352
709		0.073744
708.5		0.0742049
708		0.0744159
707.5		0.0747268
707		0.0750813
706.5		0.0749754
706		0.0754047
705.5		0.0752709
705		0.0753917
704.5		0.0758322
704		0.0758383
703.5		0.0762186
703		0.0764231
702.5		0.076506
702		0.0770217
701.5		0.0769458
701		0.0772037
700.5		0.0775377
700		0.0775896
699.5		0.0778952
