lambda		value

Calibration:
lambda:	800
Abs:	-2.5257

Data:
#
800		0.490654
799.5		0.490654
799		0.491213
798.5		0.491436
798		0.492911
797.5		0.492622
797		0.49267
796.5		0.492897
796		0.492842
795.5		0.493139
795		0.493519
794.5		0.493903
794		0.494032
793.5		0.494317
793		0.495051
792.5		0.495874
792		0.496425
791.5		0.495749
791		0.495596
790.5		0.49681
790		0.496387
789.5		0.496313
789		0.496556
788.5		0.498284
788		0.498299
787.5		0.498441
787		0.499546
786.5		0.498583
786		0.498754
785.5		0.499405
785		0.499561
784.5		0.499589
784		0.500751
783.5		0.499773
783		0.501957
782.5		0.501375
782		0.501998
781.5		0.501502
781		0.502296
780.5		0.503415
780		0.503117
779.5		0.503487
779		0.503359
778.5		0.505213
778		0.50533
777.5		0.504589
777		0.505341
776.5		0.50605
776		0.505354
775.5		0.507874
775		0.507726
774.5		0.506032
774		0.508308
773.5		0.508884
773		0.50779
772.5		0.509013
772		0.50851
771.5		0.508858
771		0.509235
770.5		0.509701
770		0.509918
769.5		0.511093
769		0.511574
768.5		0.512478
768		0.511316
767.5		0.512126
767		0.511667
766.5		0.513019
766		0.514142
765.5		0.514138
765		0.513119
764.5		0.514779
764		0.514546
763.5		0.514951
763		0.514951
762.5		0.514053
762		0.515693
761.5		0.516631
761		0.516219
760.5		0.517337
760		0.517624
759.5		0.517872
759		0.518022
758.5		0.518664
758		0.519494
757.5		0.518421
757		0.520247
756.5		0.52064
756		0.520253
755.5		0.521609
755		0.519978
754.5		0.521327
754		0.522043
753.5		0.523117
753		0.523043
752.5		0.523382
752		0.524493
751.5		0.524047
751		0.524294
750.5		0.525224
750		0.524969
749.5		0.526265
749		0.52579
748.5		0.526484
748		0.527646
747.5		0.526393
747		0.527513
746.5		0.528082
746		0.528171
745.5		0.529986
745		0.529815
744.5		0.52913
744		0.529982
743.5		0.530191
743		0.531594
742.5		0.531281
742		0.531602
741.5		0.531791
741		0.533375
740.5		0.532941
740		0.533073
739.5		0.533658
739		0.53407
738.5		0.534894
738		0.535901
737.5		0.536289
737		0.535222
736.5		0.536846
736		0.536778
735.5		0.537207
735		0.537764
734.5		0.537758
734		0.538977
733.5		0.53879
733		0.539848
732.5		0.541758
732		0.540409
731.5		0.541796
731		0.542351
730.5		0.543481
730		0.54428
729.5		0.543755
729		0.543884
728.5		0.544343
728		0.54538
727.5		0.545836
727		0.547543
726.5		0.548101
726		0.548448
725.5		0.549113
725		0.54924
724.5		0.550832
724		0.551148
723.5		0.551738
723		0.552304
722.5		0.552567
722		0.55402
721.5		0.555006
721		0.554178
720.5		0.555469
720		0.556371
719.5		0.555608
719		0.557686
718.5		0.556873
718		0.558274
717.5		0.559629
717		0.558969
716.5		0.558661
716		0.559968
715.5		0.559952
715		0.560568
714.5		0.559868
714		0.560527
713.5		0.56038
713		0.560548
712.5		0.560949
712		0.561463
711.5		0.56237
711		0.562112
710.5		0.561679
710		0.561509
709.5		0.562204
709		0.563623
708.5		0.562606
708		0.563061
707.5		0.563409
707		0.563141
706.5		0.56304
706		0.564852
705.5		0.565639
705		0.56659
704.5		0.565405
704		0.566561
703.5		0.567507
703		0.567297
702.5		0.567756
702		0.568821
701.5		0.569367
701		0.568817
700.5		0.569915
700		0.571106
699.5		0.570863
699		0.570146
698.5		0.572768
698		0.573867
697.5		0.572127
697		0.574306
696.5		0.573992
696		0.574124
695.5		0.574071
695		0.575556
694.5		0.57591
694		0.5758
693.5		0.576781
693		0.577463
692.5		0.578527
692		0.578107
691.5		0.580114
691		0.579541
690.5		0.580547
690		0.581372
689.5		0.581199
689		0.581291
688.5		0.581591
688		0.583124
