Data1:
lambda		value

Calibration:
lambda:	800
Abs:	0.0002

Data:
#
900		0.131366
899.5		0.130854
899		0.140795
898.5		0.1425
898		0.127596
897.5		0.136884
897		0.158128
896.5		0.148956
896		0.136672
895.5		0.142268
895		0.151689
894.5		0.144408
894		0.138613
893.5		0.151007
893		0.154716
892.5		0.15295
892		0.148448
891.5		0.147217
891		0.156766
890.5		0.149725
890		0.137236
889.5		0.157117
889		0.14204
888.5		0.150799
888		0.140691
887.5		0.138084
887		0.140826
886.5		0.139361
886		0.145013
885.5		0.138853
885		0.142731
884.5		0.146737
884		0.146452
883.5		0.144599
883		0.145267
882.5		0.145989
882		0.141029
881.5		0.141755
881		0.143483
880.5		0.14349
880		0.147599
879.5		0.148787
879		0.139684
878.5		0.138928
878		0.145984
877.5		0.146212
877		0.150749
876.5		0.145521
876		0.15
875.5		0.148122
875		0.149269
874.5		0.147473
874		0.150186
873.5		0.148265
873		0.145425
872.5		0.151592
872		0.145788
871.5		0.144477
871		0.149261
870.5		0.143723
870		0.145131
869.5		0.143927
869		0.144543
868.5		0.147551
868		0.145738
867.5		0.143571
867		0.145869
866.5		0.147109
866		0.146842
865.5		0.149655
865		0.146653
864.5		0.142659
864		0.144368
863.5		0.144941
863		0.145116
862.5		0.144655
862		0.146834
861.5		0.1472
861		0.147668
860.5		0.147858
860		0.1463
859.5		0.145775
859		0.146216
858.5		0.145554
858		0.145523
857.5		0.146081
857		0.146106
856.5		0.146085
856		0.146213
855.5		0.146252
855		0.145732
854.5		0.146803
854		0.145959
853.5		0.146642
853		0.146583
852.5		0.145377
852		0.145693
851.5		0.146504
851		0.146004
850.5		0.145077
850		0.145786
849.5		0.14606
849		0.146288
848.5		0.145122
848		0.14613
847.5		0.146484
847		0.145325
846.5		0.145435
846		0.145426
845.5		0.146902
845		0.144905
844.5		0.144677
844		0.145539
843.5		0.143714
843		0.145002
842.5		0.144877
842		0.14421
841.5		0.144837
841		0.145368
840.5		0.14492
840		0.14417
839.5		0.144141
839		0.1442
838.5		0.14417
838		0.144032
837.5		0.144667
837		0.144414
836.5		0.143793
836		0.14379
835.5		0.143989
835		0.144105
834.5		0.144418
834		0.143396
833.5		0.144091
833		0.143496
832.5		0.143269
832		0.143639
831.5		0.144164
831		0.143056
830.5		0.142658
830		0.143483
829.5		0.143782
829		0.142275
828.5		0.142928
828		0.142743
827.5		0.142786
827		0.142544
826.5		0.142444
826		0.142116
825.5		0.14253
825		0.142643
824.5		0.142144
824		0.142115
823.5		0.142129
823		0.142458
822.5		0.141828
822		0.141973
821.5		0.142244
821		0.14173
820.5		0.141077
820		0.141687
819.5		0.142014
819		0.141571
818.5		0.141887
818		0.141441
817.5		0.141496
817		0.141086
816.5		0.140801
816		0.140733
815.5		0.140521
815		0.141098
814.5		0.140414
814		0.14057
813.5		0.140813
813		0.140028
812.5		0.14043
812		0.1402
811.5		0.140541
811		0.140286
810.5		0.140262
810		0.139886
809.5		0.139465
809		0.139712
808.5		0.139884
808		0.139756
807.5		0.13994
807		0.139614
806.5		0.139754
806		0.139467
805.5		0.13943
805		0.139696
804.5		0.139158
804		0.139003
803.5		0.139039
803		0.138761
802.5		0.138528
802		0.138637
801.5		0.138558
801		0.138491
800.5		0.1378
800		0.138328
799.5		0.138028
799		0.137539
798.5		0.137531
798		0.137731
797.5		0.138363
797		0.137617
796.5		0.137263
796		0.137353
795.5		0.137721
795		0.1373
794.5		0.137359
794		0.137335
793.5		0.136926
793		0.137828
792.5		0.136845
792		0.137178
791.5		0.136686
791		0.135875
790.5		0.136536
790		0.136137
789.5		0.136559
789		0.135982
788.5		0.1364
