lambda		value

Calibration:
lambda:	800
Abs:	-0.0002

Data:
#
900		0.0847085
899.5		0.0866444
899		0.0838378
898.5		0.0854061
898		0.0869092
897.5		0.0831033
897		0.0889552
896.5		0.0759312
896		0.0820702
895.5		0.0823021
895		0.0816387
894.5		0.0787544
894		0.0902744
893.5		0.0830251
893		0.0928116
892.5		0.0821677
892		0.0885475
891.5		0.080658
891		0.086697
890.5		0.0858945
890		0.0776871
889.5		0.0857114
889		0.0851896
888.5		0.0909372
888		0.0888376
887.5		0.0859155
887		0.086772
886.5		0.0886575
886		0.0885831
885.5		0.0854446
885		0.0879056
884.5		0.0861021
884		0.0863361
883.5		0.0860054
883		0.0878239
882.5		0.0897798
882		0.0845239
881.5		0.0874122
881		0.0846614
880.5		0.0886764
880		0.0858447
879.5		0.0879578
879		0.0875076
878.5		0.0842866
878		0.08611
877.5		0.0884116
877		0.0858889
876.5		0.0867332
876		0.0868601
875.5		0.0875786
875		0.0875964
874.5		0.0869697
874		0.0880605
873.5		0.0857172
873		0.0880275
872.5		0.0902111
872		0.0868007
871.5		0.0856484
871		0.0873963
870.5		0.0879285
870		0.0878439
869.5		0.0869001
869		0.0857914
868.5		0.0889156
868		0.0867092
867.5		0.086748
867		0.0894837
866.5		0.0878493
866		0.0900219
865.5		0.0904367
865		0.0891438
864.5		0.088669
864		0.0882617
863.5		0.0894658
863		0.0877908
862.5		0.0882764
862		0.0889373
861.5		0.0903566
861		0.0900322
860.5		0.0890404
860		0.0885386
859.5		0.088745
859		0.0885473
858.5		0.0897805
858		0.0879143
857.5		0.0890308
857		0.0884631
856.5		0.0896572
856		0.089675
855.5		0.0888845
855		0.0901794
854.5		0.0887592
854		0.089999
853.5		0.0902509
853		0.0891246
852.5		0.0891626
852		0.0891588
851.5		0.0901509
851		0.0894638
850.5		0.0891285
850		0.0895951
849.5		0.0892399
849		0.0885288
848.5		0.0901486
848		0.0894197
847.5		0.0895537
847		0.0892135
846.5		0.0896905
846		0.0904602
845.5		0.0906392
845		0.0900109
844.5		0.0892399
844		0.0906667
843.5		0.0895772
843		0.0902449
842.5		0.0900554
842		0.0895287
841.5		0.0899555
841		0.0896347
840.5		0.090181
840		0.0904781
839.5		0.0894108
839		0.0901266
838.5		0.0903793
838		0.0909001
837.5		0.0908012
837		0.090396
836.5		0.0909632
836		0.0900188
835.5		0.0897842
835		0.0905754
834.5		0.0906473
834		0.0904308
833.5		0.090368
833		0.0906293
832.5		0.091135
832		0.0902854
831.5		0.0905387
831		0.090891
830.5		0.0910812
830		0.0908096
829.5		0.0906375
829		0.0901778
828.5		0.0907642
828		0.0908095
827.5		0.090302
827		0.0908729
826.5		0.0909091
826		0.0907821
825.5		0.0912623
825		0.0911994
824.5		0.0909998
824		0.0905461
823.5		0.091118
823		0.0908093
822.5		0.0907454
822		0.0908547
821.5		0.0908637
821		0.0907548
820.5		0.0906916
820		0.091027
819.5		0.0910727
819		0.0908091
818.5		0.0907276
818		0.0911547
817.5		0.0911187
817		0.0910545
816.5		0.0908001
816		0.0907912
815.5		0.0909182
815		0.090991
814.5		0.0906728
814		0.090409
813.5		0.0910364
813		0.0906819
812.5		0.0907184
812		0.0907637
811.5		0.0909546
811		0.0909545
810.5		0.0908093
810		0.0908546
809.5		0.090347
809		0.0908363
808.5		0.0910182
808		0.0907
807.5		0.0909546
807		0.0906728
806.5		0.0909637
806		0.0903723
805.5		0.0904186
805		0.0905906
804.5		0.0906366
804		0.0905004
803.5		0.0907545
803		0.0908728
802.5		0.0903819
802		0.0906914
801.5		0.0902368
801		0.0904538
800.5		0.090003
800		0.0903819
799.5		0.0904819
