lambda		value

Calibration:
lambda:	800
Abs:	0

Data:
#
900		0.0714214
899.5		0.0677749
899		0.0667003
898.5		0.0714357
898		0.0792128
897.5		0.0671465
897		0.0801275
896.5		0.0753327
896		0.0726112
895.5		0.0709234
895		0.0795814
894.5		0.0791721
894		0.0716042
893.5		0.0722508
893		0.069911
892.5		0.06878
892		0.0695582
891.5		0.0666135
891		0.0749772
890.5		0.0679884
890		0.0736697
889.5		0.0728643
889		0.0740666
888.5		0.0757966
888		0.0731928
887.5		0.0771785
887		0.0726698
886.5		0.0764408
886		0.0723899
885.5		0.0734373
885		0.0677616
884.5		0.0796353
884		0.0748537
883.5		0.0715356
883		0.0778646
882.5		0.0741414
882		0.0754472
881.5		0.0696271
881		0.0725244
880.5		0.0761099
880		0.0804831
879.5		0.0756976
879		0.0744422
878.5		0.0739663
878		0.0714716
877.5		0.0726419
877		0.0747987
876.5		0.0720403
876		0.0757912
875.5		0.0768372
875		0.0770558
874.5		0.0744304
874		0.0761866
873.5		0.0744724
873		0.0730008
872.5		0.0754774
872		0.0758662
871.5		0.0738289
871		0.0784096
870.5		0.0736361
870		0.0712499
869.5		0.0742441
869		0.0742074
868.5		0.0750125
868		0.0741517
867.5		0.0758697
867		0.0778144
866.5		0.0738403
866		0.0736056
865.5		0.0741629
865		0.0760793
864.5		0.0735425
864		0.074015
863.5		0.0743034
863		0.0750796
862.5		0.0764083
862		0.0729074
861.5		0.0762256
861		0.0749749
860.5		0.0759202
860		0.0758628
859.5		0.0762104
859		0.0741843
858.5		0.0756929
858		0.0750298
857.5		0.0747729
857		0.0746773
856.5		0.0752081
856		0.0747275
855.5		0.0753391
855		0.0756269
854.5		0.0756136
854		0.0766333
853.5		0.0742982
853		0.0759544
852.5		0.0756799
852		0.0755481
851.5		0.0761668
851		0.0759506
850.5		0.0755912
850		0.075255
849.5		0.0747433
849		0.0760945
848.5		0.0754996
848		0.076308
847.5		0.0762394
847		0.0766953
846.5		0.0764984
846		0.0762544
845.5		0.0765044
845		0.0764898
844.5		0.0756319
844		0.0767559
843.5		0.0766129
843		0.0758444
842.5		0.0768242
842		0.0759369
841.5		0.0771058
841		0.0757306
840.5		0.0767481
840		0.0767635
839.5		0.076794
839		0.0757966
838.5		0.0768623
838		0.0770526
837.5		0.0766719
837		0.0776391
836.5		0.0767933
836		0.0765806
835.5		0.0771287
835		0.0769994
834.5		0.0772592
834		0.0774424
833.5		0.0771902
833		0.076946
832.5		0.0769384
832		0.077275
831.5		0.0775348
831		0.0769843
830.5		0.0772451
830		0.0775965
829.5		0.0775055
829		0.0771829
828.5		0.077429
828		0.077084
827.5		0.0774599
827		0.0772374
826.5		0.0769844
826		0.0774297
825.5		0.0770304
825		0.0773453
824.5		0.0775449
824		0.0768847
823.5		0.0777456
823		0.0774528
822.5		0.0772541
822		0.0774065
821.5		0.0771996
821		0.0774915
820.5		0.0767544
820		0.0774683
819.5		0.0773923
819		0.0774232
818.5		0.077069
818		0.0770616
817.5		0.0770002
817		0.0773768
816.5		0.0768309
816		0.0770382
815.5		0.0768771
815		0.0770925
814.5		0.0768923
814		0.0773232
813.5		0.0771463
813		0.0771
812.5		0.0769461
812		0.0766847
811.5		0.0771617
811		0.076577
810.5		0.0766544
810		0.0769769
809.5		0.0768003
809		0.0764459
808.5		0.0771309
808		0.0766153
807.5		0.0770616
807		0.0767923
806.5		0.0769693
806		0.076977
805.5		0.0765464
805		0.0767922
804.5		0.0768616
804		0.0765311
803.5		0.0766613
803		0.0765082
802.5		0.0764
802		0.0762399
801.5		0.0762619
801		0.0763451
800.5		0.0762636
800		0.0761
799.5		0.0764
