lambda		value

Calibration:
lambda:	800
Abs:	-0.0003

Data:
#
900		0.1018
899.5		0.0915785
899		0.110006
898.5		0.09996
898		0.0909951
897.5		0.1027
897		0.101083
896.5		0.110563
896		0.104195
895.5		0.0943164
895		0.0988925
894.5		0.103308
894		0.096298
893.5		0.111051
893		0.11406
892.5		0.0988234
892		0.104606
891.5		0.0998794
891		0.11337
890.5		0.100902
890		0.0986185
889.5		0.098524
889		0.0988513
888.5		0.112658
888		0.102658
887.5		0.101089
887		0.0969434
886.5		0.0991096
886		0.099111
885.5		0.101555
885		0.0971491
884.5		0.107309
884		0.105366
883.5		0.103552
883		0.102035
882.5		0.102682
882		0.0994011
881.5		0.0995185
881		0.0979948
880.5		0.100888
880		0.106752
879.5		0.104857
879		0.103311
878.5		0.10016
878		0.101207
877.5		0.101178
877		0.102747
876.5		0.10521
876		0.102126
875.5		0.100905
875		0.104963
874.5		0.104433
874		0.104948
873.5		0.104321
873		0.106165
872.5		0.102642
872		0.0996606
871.5		0.105691
871		0.106698
870.5		0.101752
870		0.102782
869.5		0.102209
869		0.10106
868.5		0.103748
868		0.100935
867.5		0.102058
867		0.100219
866.5		0.102628
866		0.101624
865.5		0.100938
865		0.103235
864.5		0.0994795
864		0.101133
863.5		0.103768
863		0.100313
862.5		0.101894
862		0.100618
861.5		0.101804
861		0.101855
860.5		0.103135
860		0.101526
859.5		0.100574
859		0.100956
858.5		0.102757
858		0.101096
857.5		0.101394
857		0.100724
856.5		0.100187
856		0.101797
855.5		0.0990291
855		0.100738
854.5		0.100929
854		0.101956
853.5		0.101095
853		0.100622
852.5		0.099473
852		0.100295
851.5		0.102104
851		0.0995359
850.5		0.10038
850		0.101127
849.5		0.100549
849		0.100044
848.5		0.0996457
848		0.100022
847.5		0.100393
847		0.101366
846.5		0.100523
846		0.100336
845.5		0.100733
845		0.0996532
844.5		0.100061
844		0.100842
843.5		0.0994691
843		0.100295
842.5		0.100729
842		0.100505
841.5		0.100459
841		0.100159
840.5		0.100593
840		0.100278
839.5		0.0999043
839		0.101084
838.5		0.100668
838		0.101068
837.5		0.0996746
837		0.100264
836.5		0.101037
836		0.100478
835.5		0.100617
835		0.100958
834.5		0.101217
834		0.100487
833.5		0.100643
833		0.101176
832.5		0.10122
832		0.101223
831.5		0.100628
831		0.101143
830.5		0.101667
830		0.100689
829.5		0.100871
829		0.100389
828.5		0.101428
828		0.10081
827.5		0.101111
827		0.100951
826.5		0.100612
826		0.100795
825.5		0.100535
825		0.100637
824.5		0.101035
824		0.100338
823.5		0.100598
823		0.100358
822.5		0.10108
822		0.0998404
821.5		0.100279
821		0.100159
820.5		0.0997997
820		0.1
819.5		0.10092
819		0.0999
818.5		0.0995016
818		0.1003
817.5		0.100261
817		0.0998801
816.5		0.0996607
816		0.0994222
815.5		0.099065
815		0.10048
814.5		0.0995204
814		0.0994
813.5		0.0996598
813		0.0991405
812.5		0.0995009
812		0.0993006
811.5		0.0991992
811		0.0988813
810.5		0.0986654
810		0.0983819
809.5		0.0987266
809		0.0987592
808.5		0.0988198
808		0.0990802
807.5		0.098999
807		0.0986211
806.5		0.0989187
806		0.0985379
805.5		0.0977045
805		0.0986775
804.5		0.0980431
804		0.0980645
803.5		0.0984984
803		0.0977066
802.5		0.0979412
802		0.0974318
801.5		0.0973442
801		0.0979131
800.5		0.0965424
800		0.0973416
799.5		0.0973416
799		0.0969342
798.5		0.0971057
798		0.0970059
797.5		0.097573
797		0.0968867
796.5		0.0968094
796		0.0964558
795.5		0.0964525
795		0.0966034
794.5		0.0964456
794		0.0960731
793.5		0.0960194
793		0.0962422
792.5		0.0959273
