lambda		value

Calibration:
lambda:	800
Abs:	0.0002

Data:
#
900		0.231732
899.5		0.245192
899		0.26149
898.5		0.268524
898		0.248894
897.5		0.265514
897		0.276359
896.5		0.264637
896		0.257463
895.5		0.259094
895		0.257275
894.5		0.265092
894		0.254821
893.5		0.283408
893		0.275148
892.5		0.239591
892		0.265358
891.5		0.261638
891		0.281356
890.5		0.257171
890		0.25637
889.5		0.258077
889		0.261685
888.5		0.274489
888		0.265526
887.5		0.255561
887		0.25279
886.5		0.284129
886		0.274965
885.5		0.25745
885		0.251385
884.5		0.269159
884		0.287631
883.5		0.266626
883		0.281757
882.5		0.272838
882		0.253446
881.5		0.264894
881		0.265287
880.5		0.273257
880		0.27823
879.5		0.27688
879		0.276394
878.5		0.267832
878		0.269149
877.5		0.265582
877		0.2751
876.5		0.272988
876		0.273559
875.5		0.27406
875		0.272109
874.5		0.273298
874		0.275739
873.5		0.27116
873		0.274045
872.5		0.273616
872		0.266259
871.5		0.276523
871		0.279457
870.5		0.274442
870		0.269886
869.5		0.273161
869		0.274764
868.5		0.275235
868		0.275209
867.5		0.27449
867		0.273308
866.5		0.277665
866		0.271532
865.5		0.275234
865		0.279928
864.5		0.268352
864		0.277024
863.5		0.275294
863		0.271658
862.5		0.278742
862		0.274078
861.5		0.278603
861		0.28536
860.5		0.28104
860		0.274874
859.5		0.276903
859		0.276404
858.5		0.274914
858		0.277183
857.5		0.281156
857		0.278499
856.5		0.277483
856		0.276807
855.5		0.277381
855		0.280301
854.5		0.279469
854		0.278152
853.5		0.281042
853		0.281803
852.5		0.277149
852		0.278841
851.5		0.283433
851		0.280946
850.5		0.280577
850		0.284063
849.5		0.282047
849		0.281963
848.5		0.281589
848		0.282814
847.5		0.282354
847		0.283051
846.5		0.283491
846		0.285199
845.5		0.286035
845		0.285676
844.5		0.284779
844		0.285158
843.5		0.2838
843		0.286256
842.5		0.288012
842		0.285759
841.5		0.289228
841		0.287216
840.5		0.288966
840		0.289412
839.5		0.286754
839		0.290428
838.5		0.289217
838		0.291436
837.5		0.289627
837		0.291967
836.5		0.292577
836		0.291644
835.5		0.291754
835		0.293915
834.5		0.293692
834		0.294759
833.5		0.294448
833		0.294167
832.5		0.295462
832		0.296152
831.5		0.296452
831		0.296904
830.5		0.298347
830		0.297517
829.5		0.299142
829		0.297421
828.5		0.299917
828		0.29936
827.5		0.300157
827		0.300275
826.5		0.300154
826		0.300597
825.5		0.301109
825		0.302311
824.5		0.302211
824		0.302413
823.5		0.303496
823		0.302571
822.5		0.30575
822		0.302407
821.5		0.303532
821		0.304768
820.5		0.304271
820		0.304486
819.5		0.306062
819		0.306906
818.5		0.305782
818		0.307114
817.5		0.309028
817		0.308938
816.5		0.30727
816		0.306534
815.5		0.30694
815		0.309466
814.5		0.308962
814		0.30951
813.5		0.310898
813		0.310324
812.5		0.31029
812		0.3106
811.5		0.310922
811		0.311038
810.5		0.311341
810		0.311638
809.5		0.311802
809		0.313502
808.5		0.314277
808		0.313851
807.5		0.313727
807		0.314162
806.5		0.315394
806		0.315557
805.5		0.314286
805		0.315884
804.5		0.31511
804		0.31476
803.5		0.316934
803		0.316267
802.5		0.317628
802		0.316695
801.5		0.31771
801		0.320043
800.5		0.317059
800		0.318728
799.5		0.319128
799		0.318389
798.5		0.31918
798		0.32078
797.5		0.321821
797		0.321414
796.5		0.320459
796		0.320745
795.5		0.321563
795		0.3221
794.5		0.322406
794		0.322426
793.5		0.321911
793		0.32383
792.5		0.323741
792		0.326047
791.5		0.324207
791		0.322923
790.5		0.325219
790		0.323596
789.5		0.326204
789		0.326155
788.5		0.3264
788		0.326857
