lambda		value

Calibration:
lambda:	800
Abs:	0.0003

Data:
#
900		0.188626
899.5		0.171368
899		0.167603
898.5		0.18348
898		0.183185
897.5		0.180643
897		0.208979
896.5		0.189529
896		0.183953
895.5		0.177462
895		0.186118
894.5		0.196157
894		0.177916
893.5		0.189928
893		0.201993
892.5		0.191078
892		0.207318
891.5		0.178407
891		0.184297
890.5		0.174658
890		0.186242
889.5		0.184652
889		0.179094
888.5		0.191437
888		0.192653
887.5		0.183882
887		0.179582
886.5		0.187412
886		0.188271
885.5		0.180922
885		0.178849
884.5		0.189816
884		0.198228
883.5		0.186676
883		0.195217
882.5		0.182541
882		0.181056
881.5		0.179013
881		0.182322
880.5		0.191978
880		0.197686
879.5		0.190909
879		0.190921
878.5		0.191995
878		0.182795
877.5		0.185614
877		0.19473
876.5		0.18406
876		0.187424
875.5		0.192778
875		0.193785
874.5		0.192394
874		0.19267
873.5		0.195918
873		0.190146
872.5		0.190313
872		0.184683
871.5		0.191198
871		0.192453
870.5		0.184677
870		0.193286
869.5		0.185831
869		0.18815
868.5		0.186471
868		0.190253
867.5		0.187662
867		0.190595
866.5		0.191241
866		0.186716
865.5		0.189424
865		0.192533
864.5		0.185668
864		0.187673
863.5		0.187524
863		0.187804
862.5		0.191456
862		0.188516
861.5		0.188156
861		0.190615
860.5		0.191624
860		0.188336
859.5		0.190266
859		0.187094
858.5		0.18927
858		0.188538
857.5		0.189469
857		0.189354
856.5		0.185975
856		0.18713
855.5		0.18731
855		0.186676
854.5		0.187983
854		0.187733
853.5		0.188843
853		0.186922
852.5		0.186551
852		0.186777
851.5		0.187874
851		0.185643
850.5		0.18748
850		0.187287
849.5		0.187971
849		0.187035
848.5		0.185275
848		0.187214
847.5		0.185898
847		0.187665
846.5		0.187087
846		0.187144
845.5		0.188179
845		0.187427
844.5		0.187874
844		0.187669
843.5		0.186011
843		0.18746
842.5		0.187612
842		0.18704
841.5		0.188021
841		0.188069
840.5		0.188016
840		0.188292
839.5		0.18786
839		0.189182
838.5		0.187511
838		0.188048
837.5		0.187933
837		0.188697
836.5		0.18941
836		0.18797
835.5		0.188427
835		0.188659
834.5		0.188959
834		0.188489
833.5		0.188819
833		0.188983
832.5		0.189434
832		0.189425
831.5		0.189434
831		0.189363
830.5		0.190456
830		0.188746
829.5		0.190166
829		0.189368
828.5		0.189286
828		0.189457
827.5		0.190134
827		0.189822
826.5		0.189358
826		0.190775
825.5		0.189188
825		0.189954
824.5		0.190751
824		0.189744
823.5		0.190348
823		0.189593
822.5		0.19018
822		0.189863
821.5		0.18972
821		0.189483
820.5		0.188604
820		0.189668
819.5		0.190076
819		0.189628
818.5		0.18907
818		0.189516
817.5		0.190704
817		0.1895
816.5		0.189172
816		0.18872
815.5		0.188519
815		0.189368
814.5		0.189376
814		0.189628
813.5		0.18914
813		0.189214
812.5		0.188948
812		0.189538
811.5		0.189316
811		0.1885
810.5		0.188696
810		0.1886
809.5		0.187437
809		0.18854
808.5		0.188364
808		0.188388
807.5		0.188414
807		0.188176
806.5		0.188652
806		0.18849
805.5		0.18765
805		0.188264
804.5		0.187426
804		0.187475
803.5		0.187913
803		0.187163
802.5		0.187412
802		0.187225
801.5		0.187226
801		0.188127
800.5		0.185858
800		0.186512
799.5		0.186912
799		0.185731
798.5		0.18645
798		0.185952
797.5		0.187549
797		0.186714
796.5		0.185866
796		0.185569
795.5		0.185255
795		0.186038
794.5		0.186026
794		0.185092
793.5		0.184
793		0.185912
792.5		0.185888
792		0.18582
791.5		0.184587
791		0.183742
790.5		0.184594
790		0.183786
789.5		0.185126
789		0.183948
788.5		0.184736
788		0.183837
