lambda		value

Calibration:
lambda:	800
Abs:	-0.0007

Data:
#
900		0.2496
899.5		0.257513
899		0.264167
898.5		0.241825
898		0.246107
897.5		0.249412
897		0.279863
896.5		0.258815
896		0.256305
895.5		0.255746
895		0.249712
894.5		0.254734
894		0.250893
893.5		0.273708
893		0.279881
892.5		0.254464
892		0.264161
891.5		0.2567
891		0.273381
890.5		0.264116
890		0.257172
889.5		0.256199
889		0.259503
888.5		0.280988
888		0.262529
887.5		0.261872
887		0.252828
886.5		0.273097
886		0.278095
885.5		0.253637
885		0.250071
884.5		0.272461
884		0.28173
883.5		0.256479
883		0.29476
882.5		0.271833
882		0.267052
881.5		0.252017
881		0.269469
880.5		0.277622
880		0.272476
879.5		0.278843
879		0.277123
878.5		0.271573
878		0.266953
877.5		0.265303
877		0.2859
876.5		0.276751
876		0.276716
875.5		0.280658
875		0.274082
874.5		0.279251
874		0.273719
873.5		0.276936
873		0.28159
872.5		0.275769
872		0.274097
871.5		0.276124
871		0.280788
870.5		0.272077
870		0.2771
869.5		0.271974
869		0.273272
868.5		0.270833
868		0.274018
867.5		0.276791
867		0.277101
866.5		0.27506
866		0.273622
865.5		0.273743
865		0.280937
864.5		0.273157
864		0.279309
863.5		0.283465
863		0.276801
862.5		0.279537
862		0.274374
861.5		0.280086
861		0.283331
860.5		0.282441
860		0.279195
859.5		0.280866
859		0.276108
858.5		0.282208
858		0.283868
857.5		0.282343
857		0.280366
856.5		0.27993
856		0.279845
855.5		0.280997
855		0.281666
854.5		0.281613
854		0.280993
853.5		0.28172
853		0.28346
852.5		0.278499
852		0.282145
851.5		0.285881
851		0.282103
850.5		0.283499
850		0.283948
849.5		0.282715
849		0.285461
848.5		0.28438
848		0.284647
847.5		0.285067
847		0.287607
846.5		0.285513
846		0.28781
845.5		0.286798
845		0.288582
844.5		0.288362
844		0.287575
843.5		0.286872
843		0.289644
842.5		0.290624
842		0.290303
841.5		0.291453
841		0.289335
840.5		0.292359
840		0.29153
839.5		0.290915
839		0.292355
838.5		0.293089
838		0.294444
837.5		0.293217
837		0.295071
836.5		0.297658
836		0.294253
835.5		0.295248
835		0.296734
834.5		0.297107
834		0.298564
833.5		0.297266
833		0.298663
832.5		0.298881
832		0.29908
831.5		0.30125
831		0.300423
830.5		0.301583
830		0.301531
829.5		0.30257
829		0.300733
828.5		0.302355
828		0.302391
827.5		0.30329
827		0.303605
826.5		0.303975
826		0.304133
825.5		0.305032
825		0.30515
824.5		0.305846
824		0.305952
823.5		0.30694
823		0.307002
822.5		0.308
822		0.307429
821.5		0.308166
821		0.309101
820.5		0.307001
820		0.309114
819.5		0.310403
819		0.310852
818.5		0.309811
818		0.311662
817.5		0.313189
817		0.311976
816.5		0.312001
816		0.310161
815.5		0.310858
815		0.313914
814.5		0.313298
814		0.31355
813.5		0.314138
813		0.31406
812.5		0.315017
812		0.315332
811.5		0.316764
811		0.315568
810.5		0.314761
810		0.316566
809.5		0.315315
809		0.317536
808.5		0.31781
808		0.318282
807.5		0.318664
807		0.31869
806.5		0.319128
806		0.320692
805.5		0.319605
805		0.31982
804.5		0.319533
804		0.319975
803.5		0.322264
803		0.321477
802.5		0.322748
802		0.321099
801.5		0.322625
801		0.32498
800.5		0.321551
800		0.324446
799.5		0.324446
799		0.323387
798.5		0.324591
798		0.326286
797.5		0.326553
797		0.326121
796.5		0.326259
796		0.326136
795.5		0.326263
795		0.32801
794.5		0.327713
794		0.328021
793.5		0.327399
793		0.330038
792.5		0.329742
792		0.330864
791.5		0.328892
791		0.327884
790.5		0.330212
790		0.329362
789.5		0.331703
789		0.330944
788.5		0.333
788		0.330944
