lambda		value

Calibration:
lambda:	900
Abs:	0

Data:
#
900		0.0435
899.5		0.0381552
899		0.0389388
898.5		0.0420495
898		0.0389521
897.5		0.0334155
897		0.0462725
896.5		0.0433848
896		0.0365939
895.5		0.0426201
895		0.0371138
894.5		0.0434914
894		0.0374631
893.5		0.0406863
893		0.0416405
892.5		0.0416667
892		0.0393168
891.5		0.0421693
891		0.0411693
890.5		0.0416416
890		0.0412979
889.5		0.0392846
889		0.0429417
888.5		0.0429897
888		0.0445649
887.5		0.0477819
887		0.0414569
886.5		0.0410391
886		0.0411783
885.5		0.0425194
885		0.0403107
884.5		0.04173
884		0.0419832
883.5		0.0417499
883		0.0439075
882.5		0.0459457
882		0.0447552
881.5		0.0416255
881		0.0424261
880.5		0.0404589
880		0.0440341
879.5		0.0411848
879		0.0454223
878.5		0.0464533
878		0.0436528
877.5		0.0435521
877		0.0450285
876.5		0.0454271
876		0.0435264
875.5		0.0452562
875		0.0450624
874.5		0.0459607
874		0.0430183
873.5		0.0438178
873		0.0441102
872.5		0.0427273
872		0.0447895
871.5		0.0443241
871		0.0458177
870.5		0.0430161
870		0.0439176
869.5		0.042897
869		0.044891
868.5		0.0449539
868		0.0442981
867.5		0.0440692
867		0.0441382
866.5		0.0447716
866		0.0443095
865.5		0.0457634
865		0.0453722
864.5		0.0454186
864		0.0454727
863.5		0.0451278
863		0.0448355
862.5		0.045332
862		0.0463458
861.5		0.0459209
861		0.0471215
860.5		0.0447163
860		0.0455041
859.5		0.0453142
859		0.0456078
858.5		0.0462761
858		0.0457387
857.5		0.047006
857		0.0467587
856.5		0.0458643
856		0.0467651
855.5		0.0469121
855		0.0463734
854.5		0.0467992
854		0.0473736
853.5		0.0471043
853		0.0469865
852.5		0.0473845
852		0.0469938
851.5		0.0473543
851		0.0476896
850.5		0.0478734
850		0.0488022
849.5		0.0477742
849		0.0484094
848.5		0.0476284
848		0.0482582
847.5		0.0480798
847		0.0482534
846.5		0.0479945
846		0.048583
845.5		0.0485802
845		0.0485082
844.5		0.0485638
844		0.0485878
843.5		0.0484711
843		0.049067
842.5		0.0489275
842		0.0487035
841.5		0.0493766
841		0.0494522
840.5		0.0494364
840		0.0494815
839.5		0.0495362
839		0.0497576
838.5		0.0498765
838		0.05
837.5		0.0499456
837		0.0501931
836.5		0.0503868
836		0.0504451
835.5		0.0504801
835		0.0507886
834.5		0.0508289
834		0.0505211
833.5		0.0509819
833		0.0507196
832.5		0.051277
832		0.0515013
831.5		0.0508795
831		0.0515064
830.5		0.0519131
830		0.0515167
829.5		0.0516881
829		0.0516385
828.5		0.052102
828		0.0517722
827.5		0.0520231
827		0.0526054
826.5		0.0521705
826		0.0523691
825.5		0.0524009
825		0.0529782
824.5		0.0527786
824		0.0530046
823.5		0.0528472
823		0.0527839
822.5		0.0532213
822		0.0533506
821.5		0.0530152
821		0.0531097
820.5		0.0532138
820		0.0535928
819.5		0.0536785
819		0.0537
818.5		0.0537924
818		0.054027
817.5		0.0540243
817		0.0541675
816.5		0.0542349
816		0.0544693
815.5		0.0543262
815		0.0548494
814.5		0.054878
814		0.0547
813.5		0.0552166
813		0.0550835
812.5		0.0553447
812		0.0555722
811.5		0.0550275
811		0.0553668
810.5		0.0553782
810		0.0556666
809.5		0.0554392
809		0.0561168
808.5		0.0559056
808		0.0563944
807.5		0.0565283
807		0.0564774
806.5		0.0568341
806		0.0565396
805.5		0.0567433
805		0.0568512
804.5		0.0568545
804		0.0571314
803.5		0.0572286
803		0.057314
802.5		0.0577827
802		0.0572626
801.5		0.0576539
801		0.0578926
800.5		0.0578035
800		0.0583825
799.5		0.0581825
