lambda		value

Calibration:
lambda:	800
Abs:	0.0002

Data:
#
900		0.31996
899.5		0.309229
899		0.319035
898.5		0.317877
898		0.322156
897.5		0.313807
897		0.343827
896.5		0.334459
896		0.325319
895.5		0.317449
895		0.315919
894.5		0.322179
894		0.323856
893.5		0.33676
893		0.337067
892.5		0.328408
892		0.319446
891.5		0.332735
891		0.322133
890.5		0.317276
890		0.323266
889.5		0.341677
889		0.316703
888.5		0.338525
888		0.32386
887.5		0.323772
887		0.321647
886.5		0.330906
886		0.333265
885.5		0.326707
885		0.318808
884.5		0.329347
884		0.337476
883.5		0.327171
883		0.32644
882.5		0.335926
882		0.326937
881.5		0.316945
881		0.329713
880.5		0.335918
880		0.334281
879.5		0.339085
879		0.338608
878.5		0.324232
878		0.320884
877.5		0.330602
877		0.333605
876.5		0.336189
876		0.332964
875.5		0.335025
875		0.331438
874.5		0.334853
874		0.338071
873.5		0.333367
873		0.331751
872.5		0.335018
872		0.32852
871.5		0.325775
871		0.334952
870.5		0.327701
870		0.325593
869.5		0.330772
869		0.328499
868.5		0.331764
868		0.330006
867.5		0.329734
867		0.333899
866.5		0.335705
866		0.329747
865.5		0.3321
865		0.334273
864.5		0.327492
864		0.332834
863.5		0.332634
863		0.326437
862.5		0.331568
862		0.332012
861.5		0.330576
861		0.331926
860.5		0.335741
860		0.334457
859.5		0.331905
859		0.333102
858.5		0.334526
858		0.333135
857.5		0.334199
857		0.333631
856.5		0.332706
856		0.333565
855.5		0.333894
855		0.335184
854.5		0.332904
854		0.334854
853.5		0.333466
853		0.335019
852.5		0.332643
852		0.334354
851.5		0.337306
851		0.334683
850.5		0.335082
850		0.336536
849.5		0.336263
849		0.336661
848.5		0.334646
848		0.335703
847.5		0.336823
847		0.337447
846.5		0.337113
846		0.337483
845.5		0.338943
845		0.338045
844.5		0.338633
844		0.337812
843.5		0.337202
843		0.338898
842.5		0.338113
842		0.338528
841.5		0.339669
841		0.338238
840.5		0.339401
840		0.338636
839.5		0.339224
839		0.340558
838.5		0.340613
838		0.33997
837.5		0.340392
837		0.340828
836.5		0.341669
836		0.340228
835.5		0.341553
835		0.341703
834.5		0.341677
834		0.34141
833.5		0.342463
833		0.342105
832.5		0.343508
832		0.34338
831.5		0.34311
831		0.343613
830.5		0.343635
830		0.343483
829.5		0.344061
829		0.343964
828.5		0.34536
828		0.344556
827.5		0.3449
827		0.344697
826.5		0.345054
826		0.346208
825.5		0.345261
825		0.346476
824.5		0.346975
824		0.346949
823.5		0.347026
823		0.34731
822.5		0.348213
822		0.346004
821.5		0.348017
821		0.347383
820.5		0.347458
820		0.347978
819.5		0.347835
819		0.349075
818.5		0.348278
818		0.35005
817.5		0.34988
817		0.349865
816.5		0.349355
816		0.349736
815.5		0.349855
815		0.350591
814.5		0.350835
814		0.351276
813.5		0.351982
813		0.35167
812.5		0.351924
812		0.3528
811.5		0.352553
811		0.352765
810.5		0.351702
810		0.353065
809.5		0.352853
809		0.354183
808.5		0.353612
808		0.353341
807.5		0.354855
807		0.354435
806.5		0.35459
806		0.355326
805.5		0.354523
805		0.356199
804.5		0.356593
804		0.355951
803.5		0.356356
803		0.354945
802.5		0.356771
802		0.357321
801.5		0.357593
801		0.358553
800.5		0.357264
800		0.358372
799.5		0.358672
799		0.358619
798.5		0.358621
798		0.358621
797.5		0.360986
797		0.360184
796.5		0.359241
796		0.360052
795.5		0.360132
795		0.3625
794.5		0.361392
794		0.361466
793.5		0.362076
793		0.362573
792.5		0.362655
792		0.363773
791.5		0.362367
791		0.362831
790.5		0.364263
790		0.362169
789.5		0.364291
789		0.364517
788.5		0.3658
788		0.365206
