lambda		value

Calibration:
lambda:	900
Abs:	0

Data:
#
900		0.2583
899.5		0.260104
899		0.258549
898.5		0.247203
898		0.259812
897.5		0.25934
897		0.26036
896.5		0.267574
896		0.249377
895.5		0.243641
895		0.247656
894.5		0.266975
894		0.254572
893.5		0.259016
893		0.268362
892.5		0.251369
892		0.260562
891.5		0.24843
891		0.255715
890.5		0.255255
890		0.247001
889.5		0.250678
889		0.256246
888.5		0.253093
888		0.26227
887.5		0.256312
887		0.251209
886.5		0.258263
886		0.252676
885.5		0.251739
885		0.254351
884.5		0.261319
884		0.263704
883.5		0.2503
883		0.269512
882.5		0.255175
882		0.26004
881.5		0.24916
881		0.258142
880.5		0.256844
880		0.263393
879.5		0.25989
879		0.261584
878.5		0.261563
878		0.25429
877.5		0.253122
877		0.269051
876.5		0.258259
876		0.256826
875.5		0.265348
875		0.262458
874.5		0.262401
874		0.261838
873.5		0.262704
873		0.261835
872.5		0.266364
872		0.259879
871.5		0.26063
871		0.261657
870.5		0.256805
870		0.260304
869.5		0.259677
869		0.262847
868.5		0.263216
868		0.261499
867.5		0.263016
867		0.265029
866.5		0.260917
866		0.262372
865.5		0.258893
865		0.262173
864.5		0.258163
864		0.263363
863.5		0.261881
863		0.262849
862.5		0.263005
862		0.260745
861.5		0.263771
861		0.268864
860.5		0.264788
860		0.26202
859.5		0.265511
859		0.266805
858.5		0.265541
858		0.26451
857.5		0.267166
857		0.265561
856.5		0.266865
856		0.264837
855.5		0.265439
855		0.265458
854.5		0.265559
854		0.267691
853.5		0.265966
853		0.268834
852.5		0.266673
852		0.267252
851.5		0.268242
851		0.265304
850.5		0.268942
850		0.268561
849.5		0.26947
849		0.270006
848.5		0.267565
848		0.269417
847.5		0.269721
847		0.270081
846.5		0.269242
846		0.270761
845.5		0.271297
845		0.271784
844.5		0.271543
844		0.271282
843.5		0.27077
843		0.27209
842.5		0.272709
842		0.273095
841.5		0.272808
841		0.273912
840.5		0.274273
840		0.273877
839.5		0.273929
839		0.273123
838.5		0.274568
838		0.27505
837.5		0.275245
837		0.274923
836.5		0.275937
836		0.275964
835.5		0.276354
835		0.276262
834.5		0.277574
834		0.277221
833.5		0.277524
833		0.277122
832.5		0.278346
832		0.278982
831.5		0.278943
831		0.278811
830.5		0.280291
830		0.279761
829.5		0.278956
829		0.27994
828.5		0.281331
828		0.280566
827.5		0.281842
827		0.281459
826.5		0.281959
826		0.282494
825.5		0.281729
825		0.283548
824.5		0.284047
824		0.283889
823.5		0.283616
823		0.284674
822.5		0.284714
822		0.284404
821.5		0.284944
821		0.285515
820.5		0.284504
820		0.285529
819.5		0.286285
819		0.2871
818.5		0.287126
818		0.287344
817.5		0.289065
817		0.287328
816.5		0.288354
816		0.28731
815.5		0.288776
815		0.289961
814.5		0.289784
814		0.2903
813.5		0.290387
813		0.289913
812.5		0.290609
812		0.292054
811.5		0.291746
811		0.293224
810.5		0.291658
810		0.292325
809.5		0.292751
809		0.293188
808.5		0.294429
808		0.294171
807.5		0.295248
807		0.294882
806.5		0.295477
806		0.295407
805.5		0.295904
805		0.297268
804.5		0.297062
804		0.297643
803.5		0.298249
803		0.297554
802.5		0.29871
802		0.299082
801.5		0.298661
801		0.300381
800.5		0.299282
800		0.30101
799.5		0.30111
799		0.301776
798.5		0.301898
798		0.302398
797.5		0.303625
797		0.302767
796.5		0.303844
796		0.303502
795.5		0.304252
795		0.305247
794.5		0.304456
794		0.305381
793.5		0.304938
793		0.306908
792.5		0.307523
792		0.308547
791.5		0.30724
791		0.307134
790.5		0.309075
790		0.3077
789.5		0.310552
789		0.310548
788.5		0.310545
788		0.311053
